Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,3325.0,3248,3381.875979400713,0.0,0.0,0.0
2015-07-16 02:00:00,3162.0,3098,3182.0564342794532,0.0,0.0,0.0
2015-07-16 03:00:00,3046.0,2981,3076.2663731303064,0.0,0.0,0.0
2015-07-16 04:00:00,2756.0,2685,2746.234597905774,0.0,0.0,0.0
2015-07-16 05:00:00,2463.0,2359,2401.534476683857,0.0,0.0,0.0
2015-07-16 06:00:00,2221.0,2120,2125.5745874498493,0.0,0.0,0.0
2015-07-16 07:00:00,2035.0,1961,1967.1938661313532,0.0,0.0,0.0
2015-07-16 08:00:00,1911.0,1851,1824.5360939411948,0.0,0.0,0.0
2015-07-16 09:00:00,1867.0,1800,1759.0945421661027,0.0,0.0,0.0
2015-07-16 10:00:00,1829.0,1786,1709.7492034560912,0.0,0.0,0.0
2015-07-16 11:00:00,1921.0,1851,1819.6690727577482,0.0,0.0,0.0
2015-07-16 12:00:00,2009.0,1984,1881.3914983766315,0.0,0.0,0.0
2015-07-16 13:00:00,2181.0,2128,2083.2527233337505,0.0,0.0,0.0
2015-07-16 14:00:00,2386.0,2288,2273.5777139813545,0.0,0.0,0.0
2015-07-16 15:00:00,2612.0,2499,2484.7034857764293,0.0,0.0,0.0
2015-07-16 16:00:00,2906.0,2733,2724.204713907381,0.0,0.0,0.0
2015-07-16 17:00:00,3111.0,2948,2940.6153736455235,0.0,0.0,0.0
2015-07-16 18:00:00,3308.0,3109,3089.5863766514317,0.0,0.0,0.0
2015-07-16 19:00:00,3471.0,3269,3204.4077976820795,0.0,0.0,0.0
2015-07-16 20:00:00,3605.0,3394,3255.2581942876354,0.0,0.0,0.0
2015-07-16 21:00:00,3678.0,3469,3312.973482206434,0.0,0.0,0.0
2015-07-16 22:00:00,3775.0,3554,3321.2989513395305,0.0,0.0,0.0
2015-07-16 23:00:00,3780.0,3580,3353.612627579486,0.0,0.0,0.0
2015-07-17 00:00:00,3731.0,3531,3326.6008334125045,0.0,0.0,0.0
2015-07-17 01:00:00,3537.0,3375,3570.248283911264,0.0,0.0,0.0
2015-07-17 02:00:00,3359.0,3217,3391.449680745396,0.0,0.0,0.0
2015-07-17 03:00:00,3266.0,3109,3276.100558076694,0.0,0.0,0.0
2015-07-17 04:00:00,2969.0,2820,2974.697503690083,0.0,0.0,0.0
2015-07-17 05:00:00,2634.0,2485,2668.1312120492958,0.0,0.0,0.0
2015-07-17 06:00:00,2389.0,2236,2415.4801674418245,0.0,0.0,0.0
2015-07-17 07:00:00,2210.0,2072,2238.6112442561903,0.0,0.0,0.0
2015-07-17 08:00:00,2145.0,1961,2109.11108215381,0.0,0.0,0.0
2015-07-17 09:00:00,2007.0,1890,2059.909337604112,0.0,0.0,0.0
