Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,2519.0,2472,2556.008013663876,0.0,0.0,0.0
2015-09-29 02:00:00,2415.0,2412,2470.3726567177555,0.0,0.0,0.0
2015-09-29 03:00:00,2218.0,2220,2292.751878970445,0.0,0.0,0.0
2015-09-29 04:00:00,1996.0,1962,2118.884644559464,0.0,0.0,0.0
2015-09-29 05:00:00,1750.0,1708,1902.6208129201623,0.0,0.0,0.0
2015-09-29 06:00:00,1586.0,1571,1745.3157234284195,0.0,0.0,0.0
2015-09-29 07:00:00,1521.0,1478,1706.5058597708053,0.0,0.0,0.0
2015-09-29 08:00:00,1454.0,1421,1633.2798459622445,0.0,0.0,0.0
2015-09-29 09:00:00,1476.0,1387,1609.1717405391214,0.0,0.0,0.0
2015-09-29 10:00:00,1524.0,1401,1596.5021806145999,0.0,0.0,0.0
2015-09-29 11:00:00,1571.0,1508,1702.6033191685447,0.0,0.0,0.0
2015-09-29 12:00:00,1846.0,1710,1871.0916779043591,0.0,0.0,0.0
2015-09-29 13:00:00,1873.0,1744,1944.698931001227,0.0,0.0,0.0
2015-09-29 14:00:00,1868.0,1742,1968.576483255213,0.0,0.0,0.0
2015-09-29 15:00:00,1876.0,1802,2057.0161335862745,0.0,0.0,0.0
2015-09-29 16:00:00,1975.0,1901,2144.639548876428,0.0,0.0,0.0
2015-09-29 17:00:00,2085.0,2001,2291.111597967445,0.0,0.0,0.0
2015-09-29 18:00:00,2202.0,2100,2421.4989870500435,0.0,0.0,0.0
2015-09-29 19:00:00,2283.0,2203,2530.5151893436555,0.0,0.0,0.0
2015-09-29 20:00:00,2344.0,2272,2612.075545593444,0.0,0.0,0.0
2015-09-29 21:00:00,2412.0,2331,2668.572845260306,0.0,0.0,0.0
2015-09-29 22:00:00,2419.0,2384,2712.4737357436925,0.0,0.0,0.0
2015-09-29 23:00:00,2430.0,2411,2737.9656346772463,0.0,0.0,0.0
2015-09-30 00:00:00,2362.0,2361,2701.3530233693923,0.0,0.0,0.0
2015-09-30 01:00:00,2395.0,2311,2727.463323659707,0.0,0.0,0.0
2015-09-30 02:00:00,2347.0,2262,2635.622276144772,0.0,0.0,0.0
2015-09-30 03:00:00,2145.0,2094,2455.398973021302,0.0,0.0,0.0
2015-09-30 04:00:00,1905.0,1874,2279.552554947988,0.0,0.0,0.0
2015-09-30 05:00:00,1654.0,1639,2061.419586548202,0.0,0.0,0.0
2015-09-30 06:00:00,1531.0,1474,1903.6441971222725,0.0,0.0,0.0
2015-09-30 07:00:00,1459.0,1392,1867.8338299820418,0.0,0.0,0.0
2015-09-30 08:00:00,1436.0,1352,1792.4507080687035,0.0,0.0,0.0
2015-09-30 09:00:00,1378.0,1332,1768.6500772320167,0.0,0.0,0.0
2015-09-30 10:00:00,1425.0,1360,1755.0563943283207,0.0,0.0,0.0
2015-09-30 11:00:00,1548.0,1472,1872.783534187208,0.0,0.0,0.0
2015-09-30 12:00:00,1777.0,1690,2052.512971509589,0.0,0.0,0.0
2015-09-30 13:00:00,1802.0,1725,2125.119292176218,0.0,0.0,0.0
2015-09-30 14:00:00,1767.0,1693,2131.8272011887593,0.0,0.0,0.0
2015-09-30 15:00:00,1763.0,1696,2219.0349473877986,0.0,0.0,0.0
2015-09-30 16:00:00,1772.0,1718,2309.8151116710665,0.0,0.0,0.0
2015-09-30 17:00:00,1788.0,1775,2463.3705988398087,0.0,0.0,0.0
2015-09-30 18:00:00,1797.0,1828,2593.3730183378398,0.0,0.0,0.0
2015-09-30 19:00:00,1856.0,1886,2706.546890927857,0.0,0.0,0.0
2015-09-30 20:00:00,1891.0,1935,2789.3391494836274,0.0,0.0,0.0
2015-09-30 21:00:00,1901.0,1979,2845.143504087456,0.0,0.0,0.0
2015-09-30 22:00:00,1982.0,2038,2892.124150374947,0.0,0.0,0.0
2015-09-30 23:00:00,1986.0,2062,2915.5372141380003,0.0,0.0,0.0
2015-10-01 00:00:00,2008.0,2041,2878.5396333539197,0.0,0.0,0.0
2015-10-01 01:00:00,2059.0,2039,2902.956684953613,0.0,0.0,0.0
2015-10-01 02:00:00,2053.0,2036,2812.8375784213454,0.0,0.0,0.0
2015-10-01 03:00:00,1951.0,1919,2633.33641815272,0.0,0.0,0.0
2015-10-01 04:00:00,1709.0,1733,2458.039179485405,0.0,0.0,0.0
2015-10-01 05:00:00,1560.0,1543,2240.424854926204,0.0,0.0,0.0
2015-10-01 06:00:00,1417.0,1387,2082.7799632622628,0.0,0.0,0.0
2015-10-01 07:00:00,1350.0,1340,2046.137302612812,0.0,0.0,0.0
2015-10-01 08:00:00,1368.0,1326,1971.352730177324,0.0,0.0,0.0
2015-10-01 09:00:00,1338.0,1325,1947.466781987855,0.0,0.0,0.0
2015-10-01 10:00:00,1392.0,1376,1934.129522638189,0.0,0.0,0.0
2015-10-01 11:00:00,1521.0,1514,2048.6307059512988,0.0,0.0,0.0
2015-10-01 12:00:00,1776.0,1753,2225.2409942131585,0.0,0.0,0.0
2015-10-01 13:00:00,1789.0,1787,2298.125051346567,0.0,0.0,0.0
2015-10-01 14:00:00,1762.0,1718,2309.597154130517,0.0,0.0,0.0
2015-10-01 15:00:00,1707.0,1693,2397.146726301723,0.0,0.0,0.0
2015-10-01 16:00:00,1761.0,1671,2487.0509630144866,0.0,0.0,0.0
2015-10-01 17:00:00,1765.0,1671,2638.640953807125,0.0,0.0,0.0
2015-10-01 18:00:00,1770.0,1681,2768.7501937947363,0.0,0.0,0.0
2015-10-01 19:00:00,1779.0,1716,2880.7704054349506,0.0,0.0,0.0
