Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,3122.0,2972,3146.5767322835536,0.0,0.0,0.0
2015-08-07 02:00:00,3009.0,2854,3066.424769772077,0.0,0.0,0.0
2015-08-07 03:00:00,2879.0,2760,2962.1460270028965,0.0,0.0,0.0
2015-08-07 04:00:00,2633.0,2495,2679.2966788062195,0.0,0.0,0.0
2015-08-07 05:00:00,2336.0,2193,2429.829561577053,0.0,0.0,0.0
2015-08-07 06:00:00,2056.0,1871,2256.397362119054,0.0,0.0,0.0
2015-08-07 07:00:00,1948.0,1736,2141.0313620004918,0.0,0.0,0.0
2015-08-07 08:00:00,1829.0,1661,2055.640490219369,0.0,0.0,0.0
2015-08-07 09:00:00,1768.0,1609,2014.5973215383856,0.0,0.0,0.0
2015-08-07 10:00:00,1790.0,1602,2024.8606360837039,0.0,0.0,0.0
2015-08-07 11:00:00,1810.0,1670,2104.783940015305,0.0,0.0,0.0
2015-08-07 12:00:00,1949.0,1781,2230.066691415611,0.0,0.0,0.0
2015-08-07 13:00:00,2065.0,1907,2339.8121283486107,0.0,0.0,0.0
2015-08-07 14:00:00,2254.0,2048,2425.49820857578,0.0,0.0,0.0
2015-08-07 15:00:00,2453.0,2215,2568.3772005502833,0.0,0.0,0.0
2015-08-07 16:00:00,2691.0,2402,2722.793091737669,0.0,0.0,0.0
2015-08-07 17:00:00,2937.0,2575,2870.940560303263,0.0,0.0,0.0
2015-08-07 18:00:00,3156.0,2732,3013.013365069517,0.0,0.0,0.0
2015-08-07 19:00:00,3330.0,2883,3167.042673054334,0.0,0.0,0.0
2015-08-07 20:00:00,3419.0,3012,3289.056862009404,0.0,0.0,0.0
2015-08-07 21:00:00,3529.0,3115,3370.8026167096446,0.0,0.0,0.0
2015-08-07 22:00:00,3602.0,3187,3435.519992644702,0.0,0.0,0.0
2015-08-07 23:00:00,3621.0,3215,3485.2515580664203,0.0,0.0,0.0
2015-08-08 00:00:00,3555.0,3169,3438.9840538360772,0.0,0.0,0.0
