Date,Demand,Forecast,Prediction
01/07/2015,12819.79167,13609.41667,13564.41667
02/07/2015,12585.41667,13337.66667,13292.66667
03/07/2015,11159.29167,12173.625,12128.625
04/07/2015,11064.625,11495.125,11450.125
05/07/2015,11321.16667,10950.41667,10905.41667
06/07/2015,12939.66667,12764.29167,12719.29167
07/07/2015,14079.70833,14011.91667,13966.91667
08/07/2015,14771.83333,14782.125,14737.125
09/07/2015,14908.54167,15064.125,15019.125
10/07/2015,15323.75,14953.54167,14908.54167
11/07/2015,14058.29167,14367.20833,14322.20833
12/07/2015,13066.875,13585.70833,13540.70833
13/07/2015,14275.70833,14623.08333,14578.08333
14/07/2015,13599.79167,14848.625,14803.625
15/07/2015,14026.25,14540.75,14495.75
16/07/2015,13913.91667,14117.16667,14072.16667
17/07/2015,14120.70833,13845.95833,13800.95833
18/07/2015,13932.54167,13823.75,13778.75
19/07/2015,13090.66667,13890.20833,13845.20833
20/07/2015,15039.04167,15463.375,15418.375
21/07/2015,15509.91667,15890.625,15845.625
22/07/2015,14773,15247.91667,15202.91667
23/07/2015,14671.75,14268.70833,14223.70833
24/07/2015,13775.70833,13827.5,13782.5
25/07/2015,13039.20833,13086.5,13041.5
26/07/2015,12983,12774.75,12729.75
27/07/2015,14441.95833,14136.125,14091.125
28/07/2015,14733.125,14730.16667,14685.16667
29/07/2015,14589,14858.58333,14813.58333
30/07/2015,15407.20833,15404.75,15359.75
31/07/2015,14907.91667,14302.45833,14257.45833
01/08/2015,13168,12848.20833,12803.20833
02/08/2015,12577.29167,12277,12232
03/08/2015,14147.25,13960.625,13915.625
04/08/2015,15284.875,15148.41667,15103.41667
05/08/2015,15294.91667,15722.54167,15677.54167
06/08/2015,14385.70833,15097.75,15052.75
07/08/2015,12918.79167,13681.75,13636.75
08/08/2015,12378.79167,12716.66667,12671.66667
09/08/2015,12299.75,12517.16667,12472.16667
10/08/2015,13400.95833,13867.58333,13822.58333
11/08/2015,13648.04167,14058.45833,14013.45833
12/08/2015,13501.08333,13640.375,13595.375
13/08/2015,13099.79167,13268.16667,13223.16667
14/08/2015,13386.25,13120,13075
