Hourly,Demand,Forecast,Prediction
01/07/2015 00:00,14762,16594,16544
01/07/2015 01:00,14128,15871,15821
01/07/2015 02:00,13836,15470,15420
01/07/2015 03:00,12813,14185,14135
01/07/2015 04:00,11595,12787,12737
01/07/2015 05:00,10611,11159,11109
01/07/2015 06:00,9942,10373,10323
01/07/2015 07:00,9515,9781,9731
01/07/2015 08:00,9273,9448,9398
01/07/2015 09:00,9256,9333,9283
01/07/2015 10:00,9632,9679,9629
01/07/2015 11:00,10215,10166,10116
01/07/2015 12:00,10837,10859,10809
01/07/2015 13:00,11429,11647,11597
01/07/2015 14:00,12118,12648,12598
01/07/2015 15:00,13036,13808,13758
01/07/2015 16:00,13948,14768,14718
01/07/2015 17:00,14801,15686,15636
01/07/2015 18:00,15552,16406,16356
01/07/2015 19:00,16045,16996,16946
01/07/2015 20:00,16386,17445,17395
01/07/2015 21:00,16386,17514,17464
01/07/2015 22:00,16077,17275,17225
01/07/2015 23:00,15482,16728,16678
02/07/2015 00:00,14794,16013,15963
02/07/2015 01:00,14315,15367,15317
02/07/2015 02:00,13968,14960,14910
02/07/2015 03:00,12931,13765,13715
02/07/2015 04:00,11751,12354,12304
02/07/2015 05:00,10785,11499,11449
02/07/2015 06:00,10156,10776,10726
02/07/2015 07:00,9781,10167,10117
02/07/2015 08:00,9492,9861,9811
02/07/2015 09:00,9483,9815,9765
02/07/2015 10:00,9837,10121,10071
02/07/2015 11:00,10410,10605,10555
02/07/2015 12:00,10975,11217,11167
02/07/2015 13:00,11443,11846,11796
02/07/2015 14:00,12069,12632,12582
02/07/2015 15:00,13016,13432,13382
02/07/2015 16:00,13858,14210,14160
02/07/2015 17:00,14546,14995,14945
02/07/2015 18:00,15001,15712,15662
02/07/2015 19:00,15147,16223,16173
02/07/2015 20:00,15099,16571,16521
02/07/2015 21:00,14837,16535,16485
02/07/2015 22:00,14405,16014,15964
02/07/2015 23:00,13951,15414,15364
03/07/2015 00:00,13384,14887,14837
03/07/2015 01:00,13027,14451,14401
03/07/2015 02:00,12881,14157,14107
03/07/2015 03:00,12053,13129,13079
03/07/2015 04:00,10998,11917,11867
03/07/2015 05:00,10065,10477,10427
03/07/2015 06:00,9457,9967,9917
03/07/2015 07:00,9120,9448,9398
03/07/2015 08:00,8878,9151,9101
03/07/2015 09:00,8836,9055,9005
03/07/2015 10:00,8986,9184,9134
03/07/2015 11:00,9183,9123,9073
03/07/2015 12:00,9527,9433,9383
03/07/2015 13:00,10068,10221,10171
03/07/2015 14:00,10639,11341,11291
03/07/2015 15:00,11107,12378,12328
03/07/2015 16:00,11438,13216,13166
03/07/2015 17:00,11800,13937,13887
03/07/2015 18:00,12027,14620,14570
03/07/2015 19:00,12356,14872,14822
03/07/2015 20:00,12743,14946,14896
03/07/2015 21:00,13069,14853,14803
03/07/2015 22:00,13208,14030,13980
03/07/2015 23:00,12973,13374,13324
04/07/2015 00:00,12540,12756,12706
04/07/2015 01:00,12196,12571,12521
04/07/2015 02:00,12058,12182,12132
04/07/2015 03:00,11410,11590,11540
04/07/2015 04:00,10595,10800,10750
04/07/2015 05:00,9857,10321,10271
04/07/2015 06:00,9267,9603,9553
04/07/2015 07:00,8857,9128,9078
04/07/2015 08:00,8559,8814,8764
04/07/2015 09:00,8437,8780,8730
04/07/2015 10:00,8537,8767,8717
04/07/2015 11:00,8487,8576,8526
04/07/2015 12:00,8799,8863,8813
04/07/2015 13:00,9578,9669,9619
04/07/2015 14:00,10440,10743,10693
04/07/2015 15:00,11281,11733,11683
04/07/2015 16:00,11867,12694,12644
04/07/2015 17:00,12263,13409,13359
04/07/2015 18:00,12589,13918,13868
04/07/2015 19:00,12930,14080,14030
04/07/2015 20:00,13406,14371,14321
04/07/2015 21:00,13932,14420,14370
04/07/2015 22:00,14029,14207,14157
04/07/2015 23:00,13637,13888,13838
05/07/2015 00:00,12973,13466,13416
05/07/2015 01:00,12350,12834,12784
05/07/2015 02:00,11953,12342,12292
05/07/2015 03:00,11385,11717,11667
05/07/2015 04:00,10844,10831,10781
05/07/2015 05:00,10076,9541,9491
05/07/2015 06:00,9448,8890,8840
05/07/2015 07:00,8985,8501,8451
05/07/2015 08:00,8727,8277,8227
05/07/2015 09:00,8567,8172,8122
05/07/2015 10:00,8565,8263,8213
05/07/2015 11:00,8527,8215,8165
05/07/2015 12:00,8869,8546,8496
05/07/2015 13:00,9616,9241,9191
05/07/2015 14:00,10450,9984,9934
05/07/2015 15:00,11171,10652,10602
05/07/2015 16:00,11906,11270,11220
05/07/2015 17:00,12822,11959,11909
05/07/2015 18:00,13629,12578,12528
05/07/2015 19:00,14126,12976,12926
05/07/2015 20:00,14253,13366,13316
05/07/2015 21:00,14209,13682,13632
05/07/2015 22:00,14224,13870,13820
05/07/2015 23:00,14033,13637,13587
06/07/2015 00:00,13577,13340,13290
06/07/2015 01:00,13087,12810,12760
06/07/2015 02:00,12871,12541,12491
06/07/2015 03:00,12025,11755,11705
06/07/2015 04:00,11013,10754,10704
06/07/2015 05:00,10130,10216,10166
06/07/2015 06:00,9499,9640,9590
06/07/2015 07:00,9128,9223,9173
06/07/2015 08:00,8899,9036,8986
06/07/2015 09:00,8972,9027,8977
06/07/2015 10:00,9475,9495,9445
06/07/2015 11:00,10132,10213,10163
06/07/2015 12:00,10958,10945,10895
06/07/2015 13:00,11788,11681,11631
06/07/2015 14:00,12706,12532,12482
