Date,Demand,Forecast,Prediction
31/07/2015,13836.43145,14025.03763,1051.877823
31/08/2015,13210.57258,13311.11828,998.333871
30/09/2015,11599.22639,11734.84583,880.1134375
31/10/2015,10031.82124,9963.19086,747.2393145
30/11/2015,10312.97218,10460.19054,784.5142907
31/12/2015,10475.27419,10486.50538,786.4879032
31/01/2016,12844.86156,12893.87097,967.0403226
29/02/2016,12240.91523,12387.87931,929.0909483
31/03/2016,10180.35887,10279.63172,770.972379
30/04/2016,10164.03194,10133.57361,760.0180208
31/05/2016,10609.06452,10717.11962,803.7839718
30/06/2016,13255.77778,13419.66389,1006.474792
31/07/2016,14460.73398,14714.14067,1103.56055
31/08/2016,14276.88038,14448.90591,1083.667944
30/09/2016,12717.91111,12744.47778,955.8358333
31/10/2016,10173.12231,10225.26747,766.8950605
30/11/2016,10465.45833,10467.12778,785.0345833
31/12/2016,11807.68707,11859.10431,889.4328234
31/01/2017,11850.42479,11916.51671,893.7387535
28/02/2017,10750.18308,10926.75538,819.5066538
31/03/2017,10878.21505,10861.49731,814.6122984
30/04/2017,10240.87222,10296.06528,772.2048958
31/05/2017,11065.19624,11084.24597,831.3184476
30/06/2017,12580.66528,12777.025,958.276875
31/07/2017,13957.93817,14243.20968,1068.240726
31/08/2017,13308.72984,13271.40591,995.3554435
30/09/2017,11479.45694,11660.31944,874.5239583
31/10/2017,10607.06048,10607.61559,795.5711694
30/11/2017,10871.3125,10859.07917,814.4309375
31/12/2017,12156.29542,12149.42164,911.2066227
31/01/2018,14184.46304,14129.74198,1059.730649
28/02/2018,11115.9069,11239.34992,842.951244
31/03/2018,11380.46774,11456.98253,859.2736895
30/04/2018,10041.98844,8604.624277,645.3468208
