Date,Demand,Forecast,Prediction
05/07/2015,11790.05833,12313.25,12303.25
12/07/2015,14164.09524,14218.41667,14208.41667
19/07/2015,13851.36905,14241.3631,14231.3631
26/07/2015,14255.94643,14365.625,14355.625
02/08/2015,14260.64286,14079.6131,14069.6131
09/08/2015,13815.72619,14120.70238,14110.70238
16/08/2015,13128.3631,13334.85119,13324.85119
23/08/2015,13459.13095,13381.54167,13371.54167
30/08/2015,12664.22024,12725.51786,12715.51786
06/09/2015,13124.23214,13342.10714,13332.10714
13/09/2015,12122.05357,12392.90476,12382.90476
20/09/2015,10865.4881,11049.19643,11039.19643
27/09/2015,10360.7381,10292.92857,10282.92857
04/10/2015,10614.84524,10549.45833,10539.45833
11/10/2015,10048.75,10024.29167,10014.29167
18/10/2015,9913.25,9809.678571,9799.678571
25/10/2015,10145.44048,10091.95833,10081.95833
01/11/2015,9982.916168,9936.640719,9926.640719
08/11/2015,9968.732143,9902.178571,9892.178571
15/11/2015,10497.57738,10716.61905,10706.61905
22/11/2015,10497.67857,10657.3631,10647.3631
29/11/2015,10511.85714,10787.23214,10777.23214
06/12/2015,11244.35119,11098.25595,11088.25595
13/12/2015,10682.2381,10774.58929,10764.58929
20/12/2015,10928.65476,11043.27381,11033.27381
27/12/2015,9512.970238,9692.232143,9682.232143
03/01/2016,9835.208333,9779.255952,9769.255952
10/01/2016,12645.24405,12767.94048,12757.94048
17/01/2016,12685.6369,12854.00595,12844.00595
24/01/2016,14670.33929,14583.01786,14573.01786
31/01/2016,12509.40476,12435.01786,12425.01786
07/02/2016,11254.17262,11397.89286,11387.89286
14/02/2016,14241.90476,14401.25,14391.25
21/02/2016,12368.1369,12521.80952,12511.80952
28/02/2016,11386.42857,11472.79167,11462.79167
06/03/2016,11004.55952,11219.89286,11209.89286
13/03/2016,10123.14286,10171.56548,10161.56548
20/03/2016,9951.303571,9903.369048,9893.369048
27/03/2016,9868.083333,10072.16667,10062.16667
03/04/2016,9586.511905,9694.702381,9684.702381
10/04/2016,10139.95833,10053.65476,10043.65476
17/04/2016,9771.142857,9760.767857,9750.767857
24/04/2016,10072.45833,9997.125,9987.125
01/05/2016,10947.14286,11006.15476,10996.15476
08/05/2016,10268.2381,10242.80952,10232.80952
15/05/2016,11019.3869,11119.02976,11109.02976
22/05/2016,9876.107143,9904.642857,9894.642857
29/05/2016,11200.15476,11511.69048,11501.69048
05/06/2016,12542.48214,12662.95833,12652.95833
12/06/2016,12556.48214,12543.89881,12533.89881
19/06/2016,13455.33333,13505.55357,13495.55357
26/06/2016,13838.56548,14187.19048,14177.19048
03/07/2016,13318.70238,13571.2381,13561.2381
10/07/2016,13594.83929,14164.14881,14154.14881
17/07/2016,14495.46479,14575.75352,14565.75352
24/07/2016,14716.51786,14907.45238,14897.45238
