Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
16/07/2015 01:00,15706,0,15953.05063,0,0,0
16/07/2015 02:00,15256,0,15247.16517,0,0,0
16/07/2015 03:00,14014,0,14107.27066,0,0,0
16/07/2015 04:00,12584,0,12826.16563,0,0,0
16/07/2015 05:00,11567,0,11878.40105,0,0,0
16/07/2015 06:00,10793,0,11197.15683,0,0,0
16/07/2015 07:00,10270,0,10768.78006,0,0,0
16/07/2015 08:00,9979,0,10485.45398,0,0,0
16/07/2015 09:00,9938,0,10485.54726,0,0,0
16/07/2015 10:00,10317,0,10837.92812,0,0,0
16/07/2015 11:00,10893,0,11441.12793,0,0,0
16/07/2015 12:00,11629,0,12198.28303,0,0,0
16/07/2015 13:00,12491,0,12997.42984,0,0,0
16/07/2015 14:00,13261,0,13790.19683,0,0,0
16/07/2015 15:00,14185,0,14631.98457,0,0,0
16/07/2015 16:00,15069,0,15319.56268,0,0,0
16/07/2015 17:00,15825,0,15722.53208,0,0,0
16/07/2015 18:00,16493,0,16204.92099,0,0,0
16/07/2015 19:00,16990,0,16604.60633,0,0,0
16/07/2015 20:00,17357,0,16852.47186,0,0,0
16/07/2015 21:00,17706,0,17127.74276,0,0,0
16/07/2015 22:00,17754,0,17190.7676,0,0,0
16/07/2015 23:00,17403,0,16952.03766,0,0,0
17/07/2015 00:00,16739,0,16388.23606,0,0,0
17/07/2015 01:00,15984,0,16058.32135,0,0,0
17/07/2015 02:00,15625,0,15553.49569,0,0,0
17/07/2015 03:00,14389,0,14343.04745,0,0,0
17/07/2015 04:00,12997,0,12965.01807,0,0,0
17/07/2015 05:00,11808,0,11960.48009,0,0,0
17/07/2015 06:00,10993,0,11228.42344,0,0,0
17/07/2015 07:00,10453,0,10741.53453,0,0,0
17/07/2015 08:00,10114,0,10455.30677,0,0,0
17/07/2015 09:00,10033,0,10427.978,0,0,0
17/07/2015 10:00,10400,0,10790.2087,0,0,0
17/07/2015 11:00,10957,0,11372.19869,0,0,0
17/07/2015 12:00,11579,0,12116.92571,0,0,0
17/07/2015 13:00,12291,0,13009.98492,0,0,0
17/07/2015 14:00,13032,0,13859.85444,0,0,0
17/07/2015 15:00,14016,0,14836.6014,0,0,0
17/07/2015 16:00,14929,0,15689.01105,0,0,0
17/07/2015 17:00,15916,0,16338.74742,0,0,0
17/07/2015 18:00,16778,0,16934.69996,0,0,0
17/07/2015 19:00,17467,0,17338.49058,0,0,0
17/07/2015 20:00,17955,0,17561.98838,0,0,0
17/07/2015 21:00,18245,0,17849.46727,0,0,0
17/07/2015 22:00,18262,0,17903.18225,0,0,0
17/07/2015 23:00,17935,0,17602.12268,0,0,0
18/07/2015 00:00,17240,0,16970.09746,0,0,0
18/07/2015 01:00,16488,0,16444.56745,0,0,0
18/07/2015 02:00,15949,0,16025.4339,0,0,0
18/07/2015 03:00,14858,0,14765.89536,0,0,0
18/07/2015 04:00,13554,0,13346.13025,0,0,0
18/07/2015 05:00,12359,0,12202.50857,0,0,0
18/07/2015 06:00,11546,0,11393.17971,0,0,0
18/07/2015 07:00,10981,0,10853.23916,0,0,0
18/07/2015 08:00,10538,0,10526.03325,0,0,0
18/07/2015 09:00,10341,0,10455.34142,0,0,0
18/07/2015 10:00,10375,0,10824.29277,0,0,0
18/07/2015 11:00,10409,0,11386.10576,0,0,0
18/07/2015 12:00,10760,0,12044.40648,0,0,0
18/07/2015 13:00,11619,0,12804.7741,0,0,0
18/07/2015 14:00,12977,0,13554.75855,0,0,0
18/07/2015 15:00,14505,0,14518.77012,0,0,0
18/07/2015 16:00,15756,0,15422.02769,0,0,0
18/07/2015 17:00,16628,0,16333.26941,0,0,0
18/07/2015 18:00,17061,0,17131.66892,0,0,0
18/07/2015 19:00,16770,0,17757.75995,0,0,0
18/07/2015 20:00,16425,0,18206.10685,0,0,0
18/07/2015 21:00,16128,0,18515.36411,0,0,0
18/07/2015 22:00,15797,0,18542.47379,0,0,0
18/07/2015 23:00,15317,0,18207.5983,0,0,0
19/07/2015 00:00,14772,0,17522.7242,0,0,0
19/07/2015 01:00,14302,0,14120.46247,0,0,0
19/07/2015 02:00,14014,0,13708.37988,0,0,0
19/07/2015 03:00,13024,0,12626.54863,0,0,0
19/07/2015 04:00,12045,0,11334.07834,0,0,0
19/07/2015 05:00,11006,0,10168.16331,0,0,0
19/07/2015 06:00,10337,0,9374.220562,0,0,0
19/07/2015 07:00,9851,0,8830.866145,0,0,0
19/07/2015 08:00,9530,0,8429.210152,0,0,0
19/07/2015 09:00,9326,0,8274.295422,0,0,0
19/07/2015 10:00,9378,0,8413.31161,0,0,0
19/07/2015 11:00,9334,0,8607.747597,0,0,0
19/07/2015 12:00,9721,0,9042.650397,0,0,0
19/07/2015 13:00,10805,0,9859.605707,0,0,0
19/07/2015 14:00,12149,0,11034.25572,0,0,0
19/07/2015 15:00,13540,0,12400.3688,0,0,0
19/07/2015 16:00,14852,0,13550.88623,0,0,0
19/07/2015 17:00,16021,0,14457.85804,0,0,0
19/07/2015 18:00,16830,0,15019.71535,0,0,0
19/07/2015 19:00,17229,0,15022.47483,0,0,0
19/07/2015 20:00,17039,0,14927.13455,0,0,0
19/07/2015 21:00,16454,0,14806.06835,0,0,0
19/07/2015 22:00,16364,0,14579.38809,0,0,0
19/07/2015 23:00,16253,0,14145.28178,0,0,0
20/07/2015 00:00,15930,0,13555.41446,0,0,0
20/07/2015 01:00,15520,0,15556.58276,0,0,0
20/07/2015 02:00,15183,0,15318.81324,0,0,0
20/07/2015 03:00,14090,0,14389.78988,0,0,0
20/07/2015 04:00,12888,0,13367.79285,0,0,0
20/07/2015 05:00,11875,0,12323.15696,0,0,0
20/07/2015 06:00,11185,0,11638.62211,0,0,0
20/07/2015 07:00,10702,0,11149.25671,0,0,0
20/07/2015 08:00,10347,0,10803.42156,0,0,0
20/07/2015 09:00,10338,0,10613.37139,0,0,0
20/07/2015 10:00,10775,0,10667.43258,0,0,0
20/07/2015 11:00,11504,0,10655.5678,0,0,0
20/07/2015 12:00,12312,0,11034.42514,0,0,0
20/07/2015 13:00,13330,0,12045.12673,0,0,0
20/07/2015 14:00,14673,0,13395.86665,0,0,0
20/07/2015 15:00,16211,0,14834.63846,0,0,0
20/07/2015 16:00,17518,0,16126.98758,0,0,0
20/07/2015 17:00,18505,0,17196.1779,0,0,0
20/07/2015 18:00,19209,0,17878.42696,0,0,0
20/07/2015 19:00,19653,0,18044.26931,0,0,0
20/07/2015 20:00,19890,0,17802.05924,0,0,0
20/07/2015 21:00,19884,0,17314.69323,0,0,0
20/07/2015 22:00,19809,0,17143.25686,0,0,0
20/07/2015 23:00,19606,0,16907.4681,0,0,0
21/07/2015 00:00,18917,0,16509.40064,0,0,0
21/07/2015 01:00,18156,0,18284.777,0,0,0
21/07/2015 02:00,17332,0,17825.09388,0,0,0
21/07/2015 03:00,15825,0,16671.09692,0,0,0
21/07/2015 04:00,14274,0,15482.44407,0,0,0
21/07/2015 05:00,13003,0,14409.88988,0,0,0
21/07/2015 06:00,12205,0,13692.60274,0,0,0
21/07/2015 07:00,11563,0,13183.61722,0,0,0
21/07/2015 08:00,11238,0,12823.8284,0,0,0
21/07/2015 09:00,11075,0,12729.13828,0,0,0
21/07/2015 10:00,11411,0,13012.69063,0,0,0
21/07/2015 11:00,12023,0,13445.01192,0,0,0
21/07/2015 12:00,12726,0,14090.4274,0,0,0
21/07/2015 13:00,13507,0,15130.13449,0,0,0
21/07/2015 14:00,14564,0,16471.3235,0,0,0
21/07/2015 15:00,15874,0,17952.53803,0,0,0
21/07/2015 16:00,17076,0,19260.32504,0,0,0
21/07/2015 17:00,17983,0,20314.94615,0,0,0
21/07/2015 18:00,18799,0,21057.85826,0,0,0
21/07/2015 19:00,19266,0,21484.56272,0,0,0
21/07/2015 20:00,19534,0,21560.83073,0,0,0
21/07/2015 21:00,19378,0,21337.05946,0,0,0
21/07/2015 22:00,18660,0,21256.28676,0,0,0
21/07/2015 23:00,17849,0,21087.76283,0,0,0
22/07/2015 00:00,17126,0,20536.23188,0,0,0
22/07/2015 01:00,16548,0,16367.6815,0,0,0
22/07/2015 02:00,16163,0,15616.26172,0,0,0
22/07/2015 03:00,14943,0,14180.96159,0,0,0
22/07/2015 04:00,13554,0,12697.16116,0,0,0
22/07/2015 05:00,12424,0,11476.82393,0,0,0
22/07/2015 06:00,11585,0,10692.29897,0,0,0
22/07/2015 07:00,11010,0,10084.37612,0,0,0
22/07/2015 08:00,10606,0,9740.90913,0,0,0
22/07/2015 09:00,10519,0,9617.06926,0,0,0
22/07/2015 10:00,10854,0,9978.367517,0,0,0
22/07/2015 11:00,11409,0,10621.82795,0,0,0
22/07/2015 12:00,12189,0,11353.69825,0,0,0
22/07/2015 13:00,12999,0,12203.65254,0,0,0
22/07/2015 14:00,13983,0,13344.72724,0,0,0
22/07/2015 15:00,15129,0,14721.85727,0,0,0
22/07/2015 16:00,16147,0,15954.54866,0,0,0
22/07/2015 17:00,17032,0,16884.96379,0,0,0
22/07/2015 18:00,17753,0,17667.23033,0,0,0
22/07/2015 19:00,18237,0,18127.14001,0,0,0
22/07/2015 20:00,18597,0,18385.72889,0,0,0
22/07/2015 21:00,18698,0,18274.36122,0,0,0
22/07/2015 22:00,18695,0,17748.10052,0,0,0
22/07/2015 23:00,18352,0,17118.4223,0,0,0
23/07/2015 00:00,17743,0,16405.52326,0,0,0
23/07/2015 01:00,16919,0,17174.05191,0,0,0
23/07/2015 02:00,16372,0,16688.29601,0,0,0
23/07/2015 03:00,15156,0,15405.2643,0,0,0
23/07/2015 04:00,13727,0,13985.95092,0,0,0
23/07/2015 05:00,12694,0,12825.399,0,0,0
23/07/2015 06:00,11891,0,12013.59132,0,0,0
23/07/2015 07:00,11330,0,11424.57735,0,0,0
23/07/2015 08:00,11014,0,11054.48181,0,0,0
23/07/2015 09:00,10964,0,10945.77084,0,0,0
23/07/2015 10:00,11342,0,11284.39813,0,0,0
23/07/2015 11:00,12055,0,11861.47787,0,0,0
23/07/2015 12:00,12654,0,12616.4422,0,0,0
23/07/2015 13:00,13224,0,13417.56132,0,0,0
23/07/2015 14:00,13979,0,14427.68891,0,0,0
23/07/2015 15:00,14879,0,15631.11187,0,0,0
23/07/2015 16:00,15778,0,16713.29492,0,0,0
23/07/2015 17:00,16566,0,17606.21461,0,0,0
23/07/2015 18:00,17202,0,18360.34691,0,0,0
23/07/2015 19:00,17697,0,18838.60398,0,0,0
23/07/2015 20:00,18022,0,19166.82611,0,0,0
23/07/2015 21:00,17781,0,19178.83584,0,0,0
23/07/2015 22:00,17024,0,18928.10112,0,0,0
23/07/2015 23:00,16109,0,18422.95037,0,0,0
24/07/2015 00:00,15495,0,17774.46958,0,0,0
24/07/2015 01:00,15110,0,14789.95694,0,0,0
24/07/2015 02:00,14862,0,14322.61085,0,0,0
24/07/2015 03:00,13911,0,13118.49591,0,0,0
24/07/2015 04:00,12749,0,11713.9683,0,0,0
24/07/2015 05:00,11823,0,10651.30289,0,0,0
24/07/2015 06:00,11185,0,9839.550714,0,0,0
24/07/2015 07:00,10742,0,9276.66082,0,0,0
24/07/2015 08:00,10506,0,8930.042216,0,0,0
24/07/2015 09:00,10515,0,8867.851795,0,0,0
24/07/2015 10:00,10863,0,9230.919819,0,0,0
24/07/2015 11:00,11456,0,9885.519285,0,0,0
24/07/2015 12:00,12085,0,10552.984,0,0,0
24/07/2015 13:00,12746,0,11213.39699,0,0,0
24/07/2015 14:00,13373,0,12054.56197,0,0,0
24/07/2015 15:00,14162,0,13047.01392,0,0,0
24/07/2015 16:00,14725,0,13990.78403,0,0,0
24/07/2015 17:00,15250,0,14815.26124,0,0,0
24/07/2015 18:00,15845,0,15483.20794,0,0,0
24/07/2015 19:00,16277,0,15974.1365,0,0,0
24/07/2015 20:00,16583,0,16312.29772,0,0,0
24/07/2015 21:00,16871,0,16199.56084,0,0,0
24/07/2015 22:00,16951,0,15725.29994,0,0,0
24/07/2015 23:00,16532,0,15024.79071,0,0,0
25/07/2015 00:00,15835,0,14412.67495,0,0,0
25/07/2015 01:00,15112,0,15202.10618,0,0,0
25/07/2015 02:00,14724,0,14783.58849,0,0,0
25/07/2015 03:00,13639,0,13689.04995,0,0,0
25/07/2015 04:00,12401,0,12391.48606,0,0,0
25/07/2015 05:00,11330,0,11404.5329,0,0,0
25/07/2015 06:00,10619,0,10685.2393,0,0,0
25/07/2015 07:00,10055,0,10184.16951,0,0,0
25/07/2015 08:00,9725,0,9908.563112,0,0,0
25/07/2015 09:00,9496,0,9888.508654,0,0,0
25/07/2015 10:00,9515,0,10246.59547,0,0,0
25/07/2015 11:00,9577,0,10888.92457,0,0,0
25/07/2015 12:00,9938,0,11503.73708,0,0,0
25/07/2015 13:00,10846,0,12124.88974,0,0,0
25/07/2015 14:00,11913,0,12805.88186,0,0,0
25/07/2015 15:00,13016,0,13641.81224,0,0,0
25/07/2015 16:00,13992,0,14348.00449,0,0,0
25/07/2015 17:00,14728,0,14985.11209,0,0,0
25/07/2015 18:00,15380,0,15597.45313,0,0,0
25/07/2015 19:00,15864,0,16056.24322,0,0,0
25/07/2015 20:00,16221,0,16370.2725,0,0,0
25/07/2015 21:00,16459,0,16432.22257,0,0,0
25/07/2015 22:00,16466,0,16154.6136,0,0,0
25/07/2015 23:00,16090,0,15523.69206,0,0,0
26/07/2015 00:00,15357,0,14862.12743,0,0,0
26/07/2015 01:00,14779,0,14719.07393,0,0,0
26/07/2015 02:00,14301,0,14352.86442,0,0,0
26/07/2015 03:00,13328,0,13297.4023,0,0,0
26/07/2015 04:00,12141,0,12073.18025,0,0,0
26/07/2015 05:00,11198,0,11047.96516,0,0,0
26/07/2015 06:00,10509,0,10357.86183,0,0,0
26/07/2015 07:00,9949,0,9835.989592,0,0,0
26/07/2015 08:00,9599,0,9539.156053,0,0,0
26/07/2015 09:00,9345,0,9401.05551,0,0,0
26/07/2015 10:00,9287,0,9547.512314,0,0,0
26/07/2015 11:00,9209,0,9816.901949,0,0,0
26/07/2015 12:00,9479,0,10282.33029,0,0,0
26/07/2015 13:00,10439,0,11092.65454,0,0,0
26/07/2015 14:00,11535,0,11986.32515,0,0,0
26/07/2015 15:00,12643,0,12965.63861,0,0,0
26/07/2015 16:00,13698,0,13779.13991,0,0,0
26/07/2015 17:00,14719,0,14432.08165,0,0,0
26/07/2015 18:00,15636,0,15061.5827,0,0,0
26/07/2015 19:00,16280,0,15525.07907,0,0,0
26/07/2015 20:00,16733,0,15861.98964,0,0,0
26/07/2015 21:00,17101,0,16119.60369,0,0,0
26/07/2015 22:00,17282,0,16155.26605,0,0,0
26/07/2015 23:00,17045,0,15762.3525,0,0,0
27/07/2015 00:00,16439,0,15043.48757,0,0,0
27/07/2015 01:00,15806,0,15884.78461,0,0,0
27/07/2015 02:00,15302,0,15495.66744,0,0,0
27/07/2015 03:00,14132,0,14518.24237,0,0,0
27/07/2015 04:00,12849,0,13338.34628,0,0,0
27/07/2015 05:00,11758,0,12365.18171,0,0,0
27/07/2015 06:00,10989,0,11680.61227,0,0,0
27/07/2015 07:00,10477,0,11127.97334,0,0,0
27/07/2015 08:00,10176,0,10791.72872,0,0,0
27/07/2015 09:00,10117,0,10551.49846,0,0,0
27/07/2015 10:00,10509,0,10525.68148,0,0,0
27/07/2015 11:00,11216,0,10502.84849,0,0,0
27/07/2015 12:00,11854,0,10808.80027,0,0,0
