Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,14662.0,16262,14355.153982952199,0.0,0.0,0.0
2015-08-07 02:00:00,14043.0,15624,13553.465524450052,0.0,0.0,0.0
2015-08-07 03:00:00,13024.0,14295,12156.455466345169,0.0,0.0,0.0
2015-08-07 04:00:00,12091.0,12908,10808.727673253083,0.0,0.0,0.0
2015-08-07 05:00:00,11175.0,11787,9718.840648351144,0.0,0.0,0.0
2015-08-07 06:00:00,10608.0,11024,8918.418868867418,0.0,0.0,0.0
2015-08-07 07:00:00,10256.0,10533,8330.656159781034,0.0,0.0,0.0
2015-08-07 08:00:00,10071.0,10202,7928.927805037998,0.0,0.0,0.0
2015-08-07 09:00:00,10080.0,10061,7810.640534636587,0.0,0.0,0.0
2015-08-07 10:00:00,10516.0,10353,8176.950576913787,0.0,0.0,0.0
2015-08-07 11:00:00,11250.0,10960,8917.769248591461,0.0,0.0,0.0
2015-08-07 12:00:00,11743.0,11484,9457.311779417352,0.0,0.0,0.0
2015-08-07 13:00:00,12189.0,12151,10022.083921537369,0.0,0.0,0.0
2015-08-07 14:00:00,12735.0,12904,10824.487234117,0.0,0.0,0.0
2015-08-07 15:00:00,13294.0,13636,11902.933051388822,0.0,0.0,0.0
2015-08-07 16:00:00,13718.0,14408,12969.765877826898,0.0,0.0,0.0
2015-08-07 17:00:00,14022.0,15223,14004.329999396394,0.0,0.0,0.0
2015-08-07 18:00:00,14410.0,15873,14868.43433770696,0.0,0.0,0.0
2015-08-07 19:00:00,14813.0,16438,15173.492293035788,0.0,0.0,0.0
2015-08-07 20:00:00,15110.0,16724,15046.69835925794,0.0,0.0,0.0
2015-08-07 21:00:00,15279.0,16777,14883.226892414265,0.0,0.0,0.0
2015-08-07 22:00:00,15236.0,16371,14485.96337263896,0.0,0.0,0.0
2015-08-07 23:00:00,14846.0,15654,13907.192789571012,0.0,0.0,0.0
2015-08-08 00:00:00,14245.0,14859,13216.121132949494,0.0,0.0,0.0
2015-08-08 01:00:00,13888.0,14487,12618.536648016609,0.0,0.0,0.0
2015-08-08 02:00:00,13539.0,14090,11758.729726664367,0.0,0.0,0.0
2015-08-08 03:00:00,12708.0,13085,10335.949184381523,0.0,0.0,0.0
2015-08-08 04:00:00,11598.0,11742,8986.70383246154,0.0,0.0,0.0
2015-08-08 05:00:00,10757.0,11077,7895.710718213788,0.0,0.0,0.0
2015-08-08 06:00:00,10112.0,10397,7094.729963187022,0.0,0.0,0.0
2015-08-08 07:00:00,9738.0,9928,6502.229799543466,0.0,0.0,0.0
2015-08-08 08:00:00,9451.0,9596,6103.273120094408,0.0,0.0,0.0
2015-08-08 09:00:00,9402.0,9415,5984.3745378990625,0.0,0.0,0.0
2015-08-08 10:00:00,9473.0,9485,6355.232038953811,0.0,0.0,0.0
2015-08-08 11:00:00,9632.0,9682,7117.252165302441,0.0,0.0,0.0
2015-08-08 12:00:00,9815.0,9934,7648.361909258805,0.0,0.0,0.0
2015-08-08 13:00:00,10582.0,10715,8174.527718772958,0.0,0.0,0.0
2015-08-08 14:00:00,11417.0,11534,8955.651553276859,0.0,0.0,0.0
2015-08-08 15:00:00,12255.0,12469,10006.712693750993,0.0,0.0,0.0
2015-08-08 16:00:00,13038.0,13569,11042.439856240091,0.0,0.0,0.0
2015-08-08 17:00:00,13648.0,14425,12047.785648905352,0.0,0.0,0.0
2015-08-08 18:00:00,14271.0,15009,12865.283205494896,0.0,0.0,0.0
