Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,1430.0,1329,1455.7144890395914,0.0,0.0,0.0
2015-09-29 02:00:00,1393.0,1326,1444.6847406396096,0.0,0.0,0.0
2015-09-29 03:00:00,1348.0,1274,1395.4426783230551,0.0,0.0,0.0
2015-09-29 04:00:00,1242.0,1167,1328.8795895143226,0.0,0.0,0.0
2015-09-29 05:00:00,1116.0,1036,1230.0435653093252,0.0,0.0,0.0
2015-09-29 06:00:00,990.0,920,1140.6078905533086,0.0,0.0,0.0
2015-09-29 07:00:00,913.0,837,1067.6077368120384,0.0,0.0,0.0
2015-09-29 08:00:00,861.0,814,1019.2222030629688,0.0,0.0,0.0
2015-09-29 09:00:00,821.0,776,986.0541343820413,0.0,0.0,0.0
2015-09-29 10:00:00,790.0,762,973.1266136048517,0.0,0.0,0.0
2015-09-29 11:00:00,792.0,766,961.5005662139874,0.0,0.0,0.0
2015-09-29 12:00:00,830.0,815,989.0079285829344,0.0,0.0,0.0
2015-09-29 13:00:00,903.0,895,1035.6371494659177,0.0,0.0,0.0
2015-09-29 14:00:00,917.0,919,1049.9995511865727,0.0,0.0,0.0
2015-09-29 15:00:00,967.0,980,1091.8314882885002,0.0,0.0,0.0
2015-09-29 16:00:00,1036.0,1075,1177.602496150661,0.0,0.0,0.0
2015-09-29 17:00:00,1114.0,1148,1262.747456839546,0.0,0.0,0.0
2015-09-29 18:00:00,1200.0,1230,1344.4344332528815,0.0,0.0,0.0
2015-09-29 19:00:00,1291.0,1324,1438.1329607706534,0.0,0.0,0.0
2015-09-29 20:00:00,1378.0,1389,1524.109858561785,0.0,0.0,0.0
2015-09-29 21:00:00,1443.0,1449,1595.0983074573508,0.0,0.0,0.0
2015-09-29 22:00:00,1481.0,1496,1640.8693153195716,0.0,0.0,0.0
2015-09-29 23:00:00,1510.0,1521,1664.8083860795575,0.0,0.0,0.0
2015-09-30 00:00:00,1471.0,1463,1656.6024961506466,0.0,0.0,0.0
2015-09-30 01:00:00,1407.0,1412,1610.5110822367335,0.0,0.0,0.0
2015-09-30 02:00:00,1393.0,1416,1601.0348176863306,0.0,0.0,0.0
2015-09-30 03:00:00,1350.0,1344,1548.4165359643882,0.0,0.0,0.0
2015-09-30 04:00:00,1255.0,1234,1482.4560240360966,0.0,0.0,0.0
