Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,60380.0,60559,60326.249607591926,0.0,0.0,0.0
2015-07-16 02:00:00,57753.0,58034,57600.27202217817,0.0,0.0,0.0
2015-07-16 03:00:00,55682.0,56236,55478.44991225978,0.0,0.0,0.0
2015-07-16 04:00:00,51667.0,51897,51148.85419519837,0.0,0.0,0.0
2015-07-16 05:00:00,47173.0,47349,46380.834590204766,0.0,0.0,0.0
2015-07-16 06:00:00,43306.0,43197,42390.749438273095,0.0,0.0,0.0
2015-07-16 07:00:00,40675.0,40534,39525.372730069954,0.0,0.0,0.0
2015-07-16 08:00:00,38781.0,38590,37524.277232856584,0.0,0.0,0.0
2015-07-16 09:00:00,37628.0,37520,36231.319905868,0.0,0.0,0.0
2015-07-16 10:00:00,37344.0,37225,35861.640604153275,0.0,0.0,0.0
2015-07-16 11:00:00,38385.0,38191,36858.09152954912,0.0,0.0,0.0
2015-07-16 12:00:00,39830.0,39883,38312.008703672116,0.0,0.0,0.0
2015-07-16 13:00:00,41039.0,41083,39418.66671191718,0.0,0.0,0.0
2015-07-16 14:00:00,43719.0,43704,42055.58505370665,0.0,0.0,0.0
2015-07-16 15:00:00,46964.0,47025,45403.49014672584,0.0,0.0,0.0
2015-07-16 16:00:00,50614.0,50698,49124.842143491966,0.0,0.0,0.0
2015-07-16 17:00:00,53898.0,54277,52671.4413662762,0.0,0.0,0.0
2015-07-16 18:00:00,56805.0,57308,55907.17776235591,0.0,0.0,0.0
2015-07-16 19:00:00,59723.0,60171,58790.410686341194,0.0,0.0,0.0
2015-07-16 20:00:00,61975.0,62529,60943.649830665876,0.0,0.0,0.0
2015-07-16 21:00:00,63559.0,63979,62505.58060301053,0.0,0.0,0.0
2015-07-16 22:00:00,64375.0,64379,63493.79882547694,0.0,0.0,0.0
2015-07-16 23:00:00,63950.0,63851,63204.588995233884,0.0,0.0,0.0
2015-07-17 00:00:00,62327.0,62982,61834.40860719695,0.0,0.0,0.0
2015-07-17 01:00:00,59977.0,60591,59626.50869579519,0.0,0.0,0.0
2015-07-17 02:00:00,57602.0,58307,56850.875326147936,0.0,0.0,0.0
2015-07-17 03:00:00,55760.0,56643,54670.31829036224,0.0,0.0,0.0
2015-07-17 04:00:00,51958.0,53020,50541.352052134025,0.0,0.0,0.0
2015-07-17 05:00:00,47701.0,48579,45956.850151239276,0.0,0.0,0.0
2015-07-17 06:00:00,44053.0,44317,42031.23652115212,0.0,0.0,0.0
2015-07-17 07:00:00,41309.0,41580,39340.18119091437,0.0,0.0,0.0
2015-07-17 08:00:00,39394.0,39574,37409.74020445686,0.0,0.0,0.0
2015-07-17 09:00:00,38288.0,38058,36223.443361761616,0.0,0.0,0.0
2015-07-17 10:00:00,37970.0,37788,35915.99262027869,0.0,0.0,0.0
2015-07-17 11:00:00,38805.0,38486,36941.69771856997,0.0,0.0,0.0
2015-07-17 12:00:00,39933.0,40214,38380.66912237372,0.0,0.0,0.0
2015-07-17 13:00:00,41121.0,40980,39571.299643191516,0.0,0.0,0.0
2015-07-17 14:00:00,43822.0,43543,42242.07195520373,0.0,0.0,0.0
2015-07-17 15:00:00,47442.0,46829,45495.87570958499,0.0,0.0,0.0
2015-07-17 16:00:00,51099.0,51139,49150.42876280866,0.0,0.0,0.0
2015-07-17 17:00:00,54518.0,54447,52462.811074585006,0.0,0.0,0.0
2015-07-17 18:00:00,57500.0,57616,55406.76205461263,0.0,0.0,0.0
2015-07-17 19:00:00,60180.0,60856,58317.37372860452,0.0,0.0,0.0
2015-07-17 20:00:00,62122.0,63091,60553.57863665689,0.0,0.0,0.0
2015-07-17 21:00:00,63287.0,63792,62135.897592342764,0.0,0.0,0.0
2015-07-17 22:00:00,64041.0,64953,62975.9306610899,0.0,0.0,0.0
2015-07-17 23:00:00,63701.0,64683,62566.875046032335,0.0,0.0,0.0
2015-07-18 00:00:00,62008.0,63562,60972.507641648066,0.0,0.0,0.0
2015-07-18 01:00:00,59529.0,60903,59556.05373822372,0.0,0.0,0.0
2015-07-18 02:00:00,57036.0,58515,57085.4843804399,0.0,0.0,0.0
2015-07-18 03:00:00,55421.0,56810,55165.980565908845,0.0,0.0,0.0
2015-07-18 04:00:00,52098.0,53166,51299.860728930165,0.0,0.0,0.0
2015-07-18 05:00:00,48294.0,48812,46983.60034099562,0.0,0.0,0.0
2015-07-18 06:00:00,44973.0,44115,43285.18282867655,0.0,0.0,0.0
2015-07-18 07:00:00,42357.0,41407,40543.319291454456,0.0,0.0,0.0
2015-07-18 08:00:00,40545.0,39224,38620.71692441895,0.0,0.0,0.0
2015-07-18 09:00:00,39244.0,37948,37499.958185651936,0.0,0.0,0.0
2015-07-18 10:00:00,38413.0,37124,37180.86418873898,0.0,0.0,0.0
2015-07-18 11:00:00,38215.0,37104,38041.05874549366,0.0,0.0,0.0
2015-07-18 12:00:00,38143.0,37220,39211.376329835744,0.0,0.0,0.0
2015-07-18 13:00:00,38733.0,37625,40399.86405711703,0.0,0.0,0.0
2015-07-18 14:00:00,42025.0,40979,43095.92932891238,0.0,0.0,0.0
2015-07-18 15:00:00,45875.0,45340,46660.43630177275,0.0,0.0,0.0
2015-07-18 16:00:00,49872.0,50344,50315.35137885308,0.0,0.0,0.0
2015-07-18 17:00:00,53490.0,54337,53714.08162932188,0.0,0.0,0.0
2015-07-18 18:00:00,56458.0,57429,56684.66273512736,0.0,0.0,0.0
2015-07-18 19:00:00,58868.0,60049,59398.51748391157,0.0,0.0,0.0
2015-07-18 20:00:00,60884.0,61838,61384.8653258025,0.0,0.0,0.0
2015-07-18 21:00:00,62211.0,63412,62610.011988575294,0.0,0.0,0.0
2015-07-18 22:00:00,62932.0,63767,63372.75697176415,0.0,0.0,0.0
2015-07-18 23:00:00,62657.0,63632,63020.35826814537,0.0,0.0,0.0
2015-07-19 00:00:00,61497.0,62129,61337.34070069628,0.0,0.0,0.0
2015-07-19 01:00:00,59238.0,59884,59430.931276841526,0.0,0.0,0.0
2015-07-19 02:00:00,56779.0,56989,57257.02504325281,0.0,0.0,0.0
2015-07-19 03:00:00,55133.0,55049,55881.76106234248,0.0,0.0,0.0
2015-07-19 04:00:00,51839.0,51666,52737.54029557207,0.0,0.0,0.0
2015-07-19 05:00:00,48206.0,47927,49069.81256130037,0.0,0.0,0.0
2015-07-19 06:00:00,44798.0,45415,45854.458340896366,0.0,0.0,0.0
2015-07-19 07:00:00,42054.0,42602,43322.561224582765,0.0,0.0,0.0
2015-07-19 08:00:00,39989.0,40324,41575.388015838864,0.0,0.0,0.0
2015-07-19 09:00:00,38439.0,38964,40330.077131606224,0.0,0.0,0.0
2015-07-19 10:00:00,37283.0,37820,39549.5258230562,0.0,0.0,0.0
2015-07-19 11:00:00,36698.0,37633,39403.58461918531,0.0,0.0,0.0
2015-07-19 12:00:00,36236.0,36270,39380.0593536935,0.0,0.0,0.0
2015-07-19 13:00:00,36588.0,37012,40000.71408682685,0.0,0.0,0.0
2015-07-19 14:00:00,39700.0,39898,43294.695741574484,0.0,0.0,0.0
2015-07-19 15:00:00,43497.0,44788,47150.88315699501,0.0,0.0,0.0
2015-07-19 16:00:00,47514.0,49033,51149.31236932834,0.0,0.0,0.0
2015-07-19 17:00:00,51471.0,52841,54769.721764056514,0.0,0.0,0.0
2015-07-19 18:00:00,54999.0,55969,57743.033236188254,0.0,0.0,0.0
2015-07-19 19:00:00,58095.0,58880,60162.471232567776,0.0,0.0,0.0
2015-07-19 20:00:00,60149.0,61279,62179.93952104392,0.0,0.0,0.0
2015-07-19 21:00:00,61845.0,63378,63505.91257335016,0.0,0.0,0.0
2015-07-19 22:00:00,62808.0,63532,64229.37490673378,0.0,0.0,0.0
2015-07-19 23:00:00,62936.0,63083,63954.41206667259,0.0,0.0,0.0
2015-07-20 00:00:00,62107.0,61161,62784.49625438446,0.0,0.0,0.0
2015-07-20 01:00:00,60055.0,59562,60120.383794479385,0.0,0.0,0.0
2015-07-20 02:00:00,57822.0,56730,57883.56403917152,0.0,0.0,0.0
2015-07-20 03:00:00,56186.0,55215,56413.855855190595,0.0,0.0,0.0
2015-07-20 04:00:00,52476.0,52341,53250.621154431654,0.0,0.0,0.0
2015-07-20 05:00:00,48238.0,48835,49704.45620489059,0.0,0.0,0.0
2015-07-20 06:00:00,44605.0,44943,46383.57179850175,0.0,0.0,0.0
2015-07-20 07:00:00,41806.0,41866,43712.28035588465,0.0,0.0,0.0
