Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,47733.0,47231,47558.75967606049,0.0,0.0,0.0
2015-09-29 02:00:00,46915.0,46202,46407.84636847764,0.0,0.0,0.0
2015-09-29 03:00:00,44323.0,43549,43925.04144726149,0.0,0.0,0.0
2015-09-29 04:00:00,40618.0,40363,40841.91887032068,0.0,0.0,0.0
2015-09-29 05:00:00,36828.0,37086,37335.71639842903,0.0,0.0,0.0
2015-09-29 06:00:00,33957.0,34399,34597.64262350849,0.0,0.0,0.0
2015-09-29 07:00:00,32119.0,32548,32719.080334440278,0.0,0.0,0.0
2015-09-29 08:00:00,30939.0,31387,31544.627967983106,0.0,0.0,0.0
2015-09-29 09:00:00,30347.0,30581,31068.803563274254,0.0,0.0,0.0
2015-09-29 10:00:00,30465.0,30975,31252.632953964847,0.0,0.0,0.0
2015-09-29 11:00:00,32175.0,32528,32818.110846889045,0.0,0.0,0.0
2015-09-29 12:00:00,35506.0,35727,35712.61344594105,0.0,0.0,0.0
2015-09-29 13:00:00,36527.0,37512,36817.873372182185,0.0,0.0,0.0
2015-09-29 14:00:00,37230.0,37861,37374.20237338801,0.0,0.0,0.0
2015-09-29 15:00:00,39763.0,39796,39197.49630323089,0.0,0.0,0.0
2015-09-29 16:00:00,42821.0,42264,41292.62608780383,0.0,0.0,0.0
2015-09-29 17:00:00,46038.0,44875,43625.605143704066,0.0,0.0,0.0
2015-09-29 18:00:00,48899.0,47375,45914.25902258633,0.0,0.0,0.0
2015-09-29 19:00:00,51178.0,50379,48061.48022690143,0.0,0.0,0.0
2015-09-29 20:00:00,52982.0,52359,49692.71711089066,0.0,0.0,0.0
2015-09-29 21:00:00,54316.0,53743,50768.225314131145,0.0,0.0,0.0
2015-09-29 22:00:00,55093.0,54215,51468.91543295651,0.0,0.0,0.0
2015-09-29 23:00:00,54631.0,53653,51052.03652866831,0.0,0.0,0.0
2015-09-30 00:00:00,52689.0,51186,49616.4466478257,0.0,0.0,0.0
2015-09-30 01:00:00,51265.0,50151,48703.56821834858,0.0,0.0,0.0
2015-09-30 02:00:00,49988.0,48924,47586.90162067024,0.0,0.0,0.0
2015-09-30 03:00:00,46892.0,46114,45121.961175605196,0.0,0.0,0.0
2015-09-30 04:00:00,42694.0,42392,42046.503917013775,0.0,0.0,0.0
2015-09-30 05:00:00,38603.0,38525,38537.159001164924,0.0,0.0,0.0
2015-09-30 06:00:00,35475.0,35771,35804.200399815214,0.0,0.0,0.0
2015-09-30 07:00:00,33389.0,33554,33933.96543301274,0.0,0.0,0.0
2015-09-30 08:00:00,31969.0,32183,32767.54478069781,0.0,0.0,0.0
2015-09-30 09:00:00,31196.0,31475,32305.08234253684,0.0,0.0,0.0
2015-09-30 10:00:00,31229.0,31346,32509.594642293243,0.0,0.0,0.0
2015-09-30 11:00:00,32880.0,32757,34112.62566158102,0.0,0.0,0.0
2015-09-30 12:00:00,36119.0,35475,37066.913440919336,0.0,0.0,0.0
2015-09-30 13:00:00,37004.0,36314,38188.66628861418,0.0,0.0,0.0
2015-09-30 14:00:00,37764.0,37225,38721.85690882973,0.0,0.0,0.0
2015-09-30 15:00:00,40364.0,39838,40523.15826140181,0.0,0.0,0.0
2015-09-30 16:00:00,43748.0,42604,42604.870870692015,0.0,0.0,0.0
2015-09-30 17:00:00,47038.0,45338,44927.590131768186,0.0,0.0,0.0
2015-09-30 18:00:00,50020.0,48138,47206.743430050126,0.0,0.0,0.0
2015-09-30 19:00:00,52948.0,51049,49353.5050427383,0.0,0.0,0.0
2015-09-30 20:00:00,55100.0,53049,50990.266326738085,0.0,0.0,0.0
2015-09-30 21:00:00,56825.0,54992,52069.97761909208,0.0,0.0,0.0
2015-09-30 22:00:00,57658.0,55926,52779.26327921953,0.0,0.0,0.0
2015-09-30 23:00:00,56834.0,55277,52357.37855835348,0.0,0.0,0.0
2015-10-01 00:00:00,54569.0,53392,50913.32107772934,0.0,0.0,0.0
2015-10-01 01:00:00,52847.0,51857,49992.979632417526,0.0,0.0,0.0
2015-10-01 02:00:00,50853.0,50010,48871.431926635116,0.0,0.0,0.0
