Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,20305.0,18596,20404.215446160782,0.0,0.0,0.0
2015-08-07 02:00:00,19248.0,17327,19413.54674857797,0.0,0.0,0.0
2015-08-07 03:00:00,17733.0,15862,17900.899586875912,0.0,0.0,0.0
2015-08-07 04:00:00,15874.0,14374,16271.692027148667,0.0,0.0,0.0
2015-08-07 05:00:00,14742.0,13657,14953.486984103582,0.0,0.0,0.0
2015-08-07 06:00:00,13681.0,12880,14023.968263330007,0.0,0.0,0.0
2015-08-07 07:00:00,12913.0,12133,13342.02051400944,0.0,0.0,0.0
2015-08-07 08:00:00,12366.0,11856,12887.586569085832,0.0,0.0,0.0
2015-08-07 09:00:00,12137.0,11782,12694.422469488924,0.0,0.0,0.0
2015-08-07 10:00:00,12420.0,12544,12989.596147525936,0.0,0.0,0.0
2015-08-07 11:00:00,13069.0,12952,13699.828057496408,0.0,0.0,0.0
2015-08-07 12:00:00,13667.0,13984,14325.655081814068,0.0,0.0,0.0
2015-08-07 13:00:00,15173.0,15604,15811.760368755007,0.0,0.0,0.0
2015-08-07 14:00:00,17062.0,17295,17644.391396431005,0.0,0.0,0.0
2015-08-07 15:00:00,18799.0,18952,19404.95695777405,0.0,0.0,0.0
2015-08-07 16:00:00,20305.0,20217,20940.786530325804,0.0,0.0,0.0
2015-08-07 17:00:00,21160.0,21220,21918.01166946626,0.0,0.0,0.0
2015-08-07 18:00:00,21928.0,22010,22655.322759745453,0.0,0.0,0.0
2015-08-07 19:00:00,22354.0,22414,23190.137116620863,0.0,0.0,0.0
2015-08-07 20:00:00,22596.0,21504,23513.646949679707,0.0,0.0,0.0
2015-08-07 21:00:00,22498.0,21022,23334.855994703965,0.0,0.0,0.0
2015-08-07 22:00:00,21905.0,20615,22709.29242757957,0.0,0.0,0.0
2015-08-07 23:00:00,20786.0,19621,22017.593685408912,0.0,0.0,0.0
2015-08-08 00:00:00,19917.0,18676,21119.125105417843,0.0,0.0,0.0
2015-08-08 01:00:00,19513.0,18348,20695.363156950843,0.0,0.0,0.0
2015-08-08 02:00:00,18703.0,17247,19758.717864967362,0.0,0.0,0.0
2015-08-08 03:00:00,17417.0,15940,18242.592378544745,0.0,0.0,0.0
2015-08-08 04:00:00,16107.0,14604,16657.847847897396,0.0,0.0,0.0
2015-08-08 05:00:00,14655.0,13606,15271.314660120332,0.0,0.0,0.0
2015-08-08 06:00:00,13596.0,12846,14382.596674154956,0.0,0.0,0.0
2015-08-08 07:00:00,12872.0,12373,13729.091527572413,0.0,0.0,0.0
2015-08-08 08:00:00,12331.0,11879,13277.085270676354,0.0,0.0,0.0
2015-08-08 09:00:00,12024.0,11767,13086.748635919317,0.0,0.0,0.0
2015-08-08 10:00:00,11943.0,11691,13386.207407478845,0.0,0.0,0.0
