Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,2787.0,2956,2797.758401612037,0.0,0.0,0.0
2015-08-07 02:00:00,2728.0,2908,2752.850351824144,0.0,0.0,0.0
2015-08-07 03:00:00,2651.0,2802,2666.8498634177818,0.0,0.0,0.0
2015-08-07 04:00:00,2601.0,2668,2615.085728238365,0.0,0.0,0.0
2015-08-07 05:00:00,2452.0,2478,2448.5834662152824,0.0,0.0,0.0
2015-08-07 06:00:00,2260.0,2248,2242.6798008192122,0.0,0.0,0.0
2015-08-07 07:00:00,2093.0,2156,2088.1966217672984,0.0,0.0,0.0
2015-08-07 08:00:00,2004.0,2071,1994.153074613662,0.0,0.0,0.0
2015-08-07 09:00:00,1942.0,1950,1919.8704084039805,0.0,0.0,0.0
2015-08-07 10:00:00,1909.0,1915,1858.965735453467,0.0,0.0,0.0
2015-08-07 11:00:00,1884.0,1896,1834.5809137213535,0.0,0.0,0.0
2015-08-07 12:00:00,1934.0,1934,1869.9138909191292,0.0,0.0,0.0
2015-08-07 13:00:00,2023.0,2034,1961.5014958138388,0.0,0.0,0.0
2015-08-07 14:00:00,2114.0,2136,2063.421747767194,0.0,0.0,0.0
2015-08-07 15:00:00,2212.0,2246,2167.37417955538,0.0,0.0,0.0
2015-08-07 16:00:00,2291.0,2334,2252.8362140614586,0.0,0.0,0.0
2015-08-07 17:00:00,2356.0,2399,2322.721877780522,0.0,0.0,0.0
2015-08-07 18:00:00,2405.0,2469,2390.296963327617,0.0,0.0,0.0
2015-08-07 19:00:00,2415.0,2534,2449.60741161649,0.0,0.0,0.0
2015-08-07 20:00:00,2460.0,2604,2524.8177079902193,0.0,0.0,0.0
2015-08-07 21:00:00,2495.0,2688,2590.0493263603807,0.0,0.0,0.0
2015-08-07 22:00:00,2543.0,2739,2628.2137513928924,0.0,0.0,0.0
2015-08-07 23:00:00,2551.0,2776,2659.576298815653,0.0,0.0,0.0
2015-08-08 00:00:00,2533.0,2708,2691.246650819471,0.0,0.0,0.0
2015-08-08 01:00:00,2481.0,2688,2698.748983198812,0.0,0.0,0.0
2015-08-08 02:00:00,2428.0,2622,2653.409018540748,0.0,0.0,0.0
2015-08-08 03:00:00,2398.0,2495,2567.013154893904,0.0,0.0,0.0
2015-08-08 04:00:00,2393.0,2412,2521.089979508643,0.0,0.0,0.0
2015-08-08 05:00:00,2306.0,2268,2357.951367603018,0.0,0.0,0.0
2015-08-08 06:00:00,2165.0,2096,2155.965763247885,0.0,0.0,0.0
2015-08-08 07:00:00,2038.0,2104,1999.6956633409281,0.0,0.0,0.0
2015-08-08 08:00:00,1972.0,1966,1904.4824996249786,0.0,0.0,0.0
2015-08-08 09:00:00,1900.0,1947,1835.8502896625225,0.0,0.0,0.0
2015-08-08 10:00:00,1875.0,1918,1777.6772185174793,0.0,0.0,0.0
2015-08-08 11:00:00,1839.0,1895,1756.213952634492,0.0,0.0,0.0
2015-08-08 12:00:00,1855.0,1904,1793.3932801043743,0.0,0.0,0.0
2015-08-08 13:00:00,1879.0,1935,1882.7703384490546,0.0,0.0,0.0
2015-08-08 14:00:00,1910.0,1987,1980.7659784550617,0.0,0.0,0.0
2015-08-08 15:00:00,2003.0,2105,2082.3635320604726,0.0,0.0,0.0
2015-08-08 16:00:00,2090.0,2189,2162.4997680167817,0.0,0.0,0.0
2015-08-08 17:00:00,2171.0,2246,2235.199978303745,0.0,0.0,0.0
2015-08-08 18:00:00,2244.0,2305,2308.877409565705,0.0,0.0,0.0
2015-08-08 19:00:00,2292.0,2342,2364.900110090572,0.0,0.0,0.0
2015-08-08 20:00:00,2322.0,2392,2440.422826004416,0.0,0.0,0.0
2015-08-08 21:00:00,2381.0,2451,2506.749660937885,0.0,0.0,0.0
2015-08-08 22:00:00,2457.0,2515,2557.904370612811,0.0,0.0,0.0
2015-08-08 23:00:00,2517.0,2567,2595.0577310677,0.0,0.0,0.0
2015-08-09 00:00:00,2572.0,2624,2629.2321942150265,0.0,0.0,0.0
2015-08-09 01:00:00,2569.0,2624,2638.418296434173,0.0,0.0,0.0
2015-08-09 02:00:00,2527.0,2580,2593.249204286378,0.0,0.0,0.0
2015-08-09 03:00:00,2441.0,2494,2507.009757480986,0.0,0.0,0.0
2015-08-09 04:00:00,2400.0,2420,2458.775803912102,0.0,0.0,0.0
2015-08-09 05:00:00,2275.0,2303,2294.306477606337,0.0,0.0,0.0
2015-08-09 06:00:00,2109.0,2158,2090.7708249209777,0.0,0.0,0.0
2015-08-09 07:00:00,1974.0,2053,1935.2076598113545,0.0,0.0,0.0
2015-08-09 08:00:00,1886.0,1942,1840.4572153283807,0.0,0.0,0.0
2015-08-09 09:00:00,1823.0,1897,1769.5895934670614,0.0,0.0,0.0
2015-08-09 10:00:00,1792.0,1873,1710.3358564586395,0.0,0.0,0.0
2015-08-09 11:00:00,1749.0,1850,1687.7167758197106,0.0,0.0,0.0
2015-08-09 12:00:00,1752.0,1855,1724.165657253528,0.0,0.0,0.0
2015-08-09 13:00:00,1756.0,1873,1814.4172435734315,0.0,0.0,0.0
2015-08-09 14:00:00,1787.0,1898,1913.9655235542914,0.0,0.0,0.0
2015-08-09 15:00:00,1904.0,2065,2016.4947050636927,0.0,0.0,0.0
2015-08-09 16:00:00,2006.0,2195,2098.7379130817785,0.0,0.0,0.0
2015-08-09 17:00:00,2115.0,2302,2170.324643215538,0.0,0.0,0.0
2015-08-09 18:00:00,2219.0,2397,2241.587887795001,0.0,0.0,0.0
2015-08-09 19:00:00,2328.0,2476,2298.9112745212315,0.0,0.0,0.0
2015-08-09 20:00:00,2419.0,2546,2374.310392210993,0.0,0.0,0.0
2015-08-09 21:00:00,2515.0,2638,2440.2039417546907,0.0,0.0,0.0
2015-08-09 22:00:00,2588.0,2726,2486.219484681136,0.0,0.0,0.0
2015-08-09 23:00:00,2619.0,2794,2521.0819058224843,0.0,0.0,0.0
2015-08-10 00:00:00,2686.0,2861,2554.265702092412,0.0,0.0,0.0
2015-08-10 01:00:00,2689.0,2851,2562.785677724572,0.0,0.0,0.0
2015-08-10 02:00:00,2636.0,2796,2517.5489856475087,0.0,0.0,0.0
2015-08-10 03:00:00,2546.0,2721,2431.247657809282,0.0,0.0,0.0
2015-08-10 04:00:00,2492.0,2657,2383.927885471317,0.0,0.0,0.0
2015-08-10 05:00:00,2335.0,2514,2219.985011309225,0.0,0.0,0.0
2015-08-10 06:00:00,2151.0,2311,2017.062582818448,0.0,0.0,0.0
2015-08-10 07:00:00,1995.0,2147,1861.2197428669092,0.0,0.0,0.0
2015-08-10 08:00:00,1914.0,2046,1766.286239169958,0.0,0.0,0.0
2015-08-10 09:00:00,1868.0,1991,1696.3029824181056,0.0,0.0,0.0
2015-08-10 10:00:00,1840.0,1963,1637.476774307177,0.0,0.0,0.0
2015-08-10 11:00:00,1841.0,1952,1615.3149526833233,0.0,0.0,0.0
2015-08-10 12:00:00,1894.0,1998,1652.0528103854394,0.0,0.0,0.0
2015-08-10 13:00:00,2011.0,2101,1741.9584192910986,0.0,0.0,0.0
2015-08-10 14:00:00,2130.0,2210,1840.8924497808368,0.0,0.0,0.0
2015-08-10 15:00:00,2239.0,2436,1943.0530642204671,0.0,0.0,0.0
2015-08-10 16:00:00,2366.0,2568,2024.4627200064092,0.0,0.0,0.0
2015-08-10 17:00:00,2480.0,2698,2096.489960901554,0.0,0.0,0.0
2015-08-10 18:00:00,2607.0,2846,2168.7082967869305,0.0,0.0,0.0
2015-08-10 19:00:00,2739.0,2974,2225.5171110106908,0.0,0.0,0.0
2015-08-10 20:00:00,2847.0,3096,2300.965126157348,0.0,0.0,0.0
2015-08-10 21:00:00,2924.0,3204,2367.0300904104997,0.0,0.0,0.0
2015-08-10 22:00:00,2926.0,3282,2415.078770838987,0.0,0.0,0.0
2015-08-10 23:00:00,2876.0,3337,2450.847524633316,0.0,0.0,0.0
2015-08-11 00:00:00,2880.0,3401,2484.423244745969,0.0,0.0,0.0
2015-08-11 01:00:00,2896.0,3388,2493.2067508318764,0.0,0.0,0.0
2015-08-11 02:00:00,2857.0,3321,2447.9968023803963,0.0,0.0,0.0
2015-08-11 03:00:00,2756.0,3207,2361.719955679809,0.0,0.0,0.0
2015-08-11 04:00:00,2694.0,3086,2314.038518458175,0.0,0.0,0.0
2015-08-11 05:00:00,2501.0,2892,2149.8873713116254,0.0,0.0,0.0
2015-08-11 06:00:00,2290.0,2613,1946.722341409339,0.0,0.0,0.0
2015-08-11 07:00:00,2120.0,2401,1790.9901453495638,0.0,0.0,0.0
2015-08-11 08:00:00,2024.0,2226,1696.1290628390125,0.0,0.0,0.0
2015-08-11 09:00:00,1938.0,1986,1625.7959369434734,0.0,0.0,0.0
2015-08-11 10:00:00,1889.0,1943,1566.8005914845578,0.0,0.0,0.0
2015-08-11 11:00:00,1880.0,1927,1544.4578707972578,0.0,0.0,0.0
2015-08-11 12:00:00,1909.0,1972,1581.0814048128634,0.0,0.0,0.0
2015-08-11 13:00:00,2021.0,2072,1671.123887980477,0.0,0.0,0.0
2015-08-11 14:00:00,2117.0,2191,1770.3009255056222,0.0,0.0,0.0
2015-08-11 15:00:00,2239.0,2326,1872.6073510403664,0.0,0.0,0.0
2015-08-11 16:00:00,2378.0,2482,1954.3467735737256,0.0,0.0,0.0
