Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,97380.0,97168,97752.74163494664,0.0,0.0,0.0
2015-07-16 02:00:00,95540.0,95375,95839.45319746301,0.0,0.0,0.0
2015-07-16 03:00:00,92567.0,92893,93227.10463030325,0.0,0.0,0.0
2015-07-16 04:00:00,86118.0,86628,86380.86295914177,0.0,0.0,0.0
2015-07-16 05:00:00,79340.0,80767,79413.45545925025,0.0,0.0,0.0
2015-07-16 06:00:00,74516.0,75659,74448.67712187402,0.0,0.0,0.0
2015-07-16 07:00:00,71130.0,72632,70868.42865389977,0.0,0.0,0.0
2015-07-16 08:00:00,68975.0,70567,68541.09735929195,0.0,0.0,0.0
2015-07-16 09:00:00,68016.0,69688,67428.29096796604,0.0,0.0,0.0
2015-07-16 10:00:00,68835.0,70467,67946.50657105072,0.0,0.0,0.0
2015-07-16 11:00:00,71732.0,73114,70583.96552906865,0.0,0.0,0.0
2015-07-16 12:00:00,75506.0,76950,74227.8770429297,0.0,0.0,0.0
2015-07-16 13:00:00,80078.0,80765,79040.93989003931,0.0,0.0,0.0
2015-07-16 14:00:00,84487.0,83881,83502.41806812843,0.0,0.0,0.0
2015-07-16 15:00:00,88561.0,87819,87915.19216211511,0.0,0.0,0.0
2015-07-16 16:00:00,92539.0,91637,91912.91245485088,0.0,0.0,0.0
2015-07-16 17:00:00,95761.0,94870,95628.62382057225,0.0,0.0,0.0
2015-07-16 18:00:00,98323.0,97667,98618.7071262692,0.0,0.0,0.0
2015-07-16 19:00:00,100905.0,100142,101095.15679745734,0.0,0.0,0.0
2015-07-16 20:00:00,102538.0,101628,102850.14266379381,0.0,0.0,0.0
2015-07-16 21:00:00,103337.0,102494,103472.4921829402,0.0,0.0,0.0
2015-07-16 22:00:00,103576.0,102629,103530.16572535891,0.0,0.0,0.0
2015-07-16 23:00:00,102590.0,101521,101305.20929502623,0.0,0.0,0.0
2015-07-17 00:00:00,100815.0,99289,99798.178099354,0.0,0.0,0.0
2015-07-17 01:00:00,98525.0,96579,97316.3402522002,0.0,0.0,0.0
2015-07-17 02:00:00,97319.0,95243,95213.63243368908,0.0,0.0,0.0
2015-07-17 03:00:00,94288.0,92881,92135.79244895118,0.0,0.0,0.0
2015-07-17 04:00:00,88164.0,86984,85463.55352934822,0.0,0.0,0.0
2015-07-17 05:00:00,81992.0,81391,78533.0264662805,0.0,0.0,0.0
