Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,1459.0,1415,1431.994041659328,0.0,0.0,0.0
2015-08-07 02:00:00,1427.0,1395,1394.5946313098916,0.0,0.0,0.0
2015-08-07 03:00:00,1383.0,1375,1363.0828183755018,0.0,0.0,0.0
2015-08-07 04:00:00,1379.0,1355,1345.2123686661212,0.0,0.0,0.0
2015-08-07 05:00:00,1293.0,1250,1263.0870894134027,0.0,0.0,0.0
2015-08-07 06:00:00,1216.0,1145,1174.2020612682527,0.0,0.0,0.0
2015-08-07 07:00:00,1145.0,1115,1119.068583402891,0.0,0.0,0.0
2015-08-07 08:00:00,1109.0,1075,1081.1956028376526,0.0,0.0,0.0
2015-08-07 09:00:00,1081.0,1045,1055.8053666387586,0.0,0.0,0.0
2015-08-07 10:00:00,1068.0,1030,1041.0035599338755,0.0,0.0,0.0
2015-08-07 11:00:00,1068.0,1040,1041.6200079515936,0.0,0.0,0.0
2015-08-07 12:00:00,1088.0,1090,1089.6878094186063,0.0,0.0,0.0
2015-08-07 13:00:00,1148.0,1150,1150.2496789979002,0.0,0.0,0.0
2015-08-07 14:00:00,1217.0,1250,1225.0008748611692,0.0,0.0,0.0
2015-08-07 15:00:00,1262.0,1285,1268.5287431316651,0.0,0.0,0.0
2015-08-07 16:00:00,1285.0,1325,1305.618811905772,0.0,0.0,0.0
2015-08-07 17:00:00,1319.0,1365,1345.3611566870666,0.0,0.0,0.0
2015-08-07 18:00:00,1342.0,1385,1362.4512455465972,0.0,0.0,0.0
2015-08-07 19:00:00,1377.0,1415,1381.125112476744,0.0,0.0,0.0
2015-08-07 20:00:00,1409.0,1450,1403.923317453207,0.0,0.0,0.0
2015-08-07 21:00:00,1414.0,1470,1417.7215229359895,0.0,0.0,0.0
2015-08-07 22:00:00,1434.0,1490,1447.6656724920347,0.0,0.0,0.0
2015-08-07 23:00:00,1461.0,1500,1446.4296349857666,0.0,0.0,0.0
2015-08-08 00:00:00,1454.0,1500,1432.631429078735,0.0,0.0,0.0
2015-08-08 01:00:00,1439.0,1470,1396.1556718350405,0.0,0.0,0.0
2015-08-08 02:00:00,1410.0,1435,1357.7628849051878,0.0,0.0,0.0
2015-08-08 03:00:00,1373.0,1390,1330.6483690554956,0.0,0.0,0.0
2015-08-08 04:00:00,1349.0,1340,1315.0203212633749,0.0,0.0,0.0
2015-08-08 05:00:00,1281.0,1285,1238.672615601992,0.0,0.0,0.0
2015-08-08 06:00:00,1199.0,1175,1153.1815019170756,0.0,0.0,0.0
2015-08-08 07:00:00,1139.0,1095,1097.3350475297611,0.0,0.0,0.0
2015-08-08 08:00:00,1090.0,1070,1059.0315666335448,0.0,0.0,0.0
2015-08-08 09:00:00,1070.0,1040,1033.7903933590017,0.0,0.0,0.0
2015-08-08 10:00:00,1055.0,1000,1017.384955388196,0.0,0.0,0.0
2015-08-08 11:00:00,1061.0,995,1018.1479130846353,0.0,0.0,0.0
2015-08-08 12:00:00,1077.0,1010,1070.0096285015572,0.0,0.0,0.0
2015-08-08 13:00:00,1100.0,1035,1131.8847995539745,0.0,0.0,0.0
2015-08-08 14:00:00,1142.0,1095,1201.383295963004,0.0,0.0,0.0
2015-08-08 15:00:00,1192.0,1155,1244.327547149547,0.0,0.0,0.0
2015-08-08 16:00:00,1242.0,1220,1282.1471739059295,0.0,0.0,0.0
2015-08-08 17:00:00,1260.0,1270,1324.661807147472,0.0,0.0,0.0
2015-08-08 18:00:00,1263.0,1300,1342.481446317022,0.0,0.0,0.0
2015-08-08 19:00:00,1281.0,1375,1360.1339461235864,0.0,0.0,0.0
2015-08-08 20:00:00,1266.0,1395,1384.5371581588104,0.0,0.0,0.0
2015-08-08 21:00:00,1269.0,1405,1399.9403705069494,0.0,0.0,0.0
2015-08-08 22:00:00,1267.0,1440,1431.0517977397005,0.0,0.0,0.0
2015-08-08 23:00:00,1276.0,1445,1429.523940859046,0.0,0.0,0.0
2015-08-09 00:00:00,1284.0,1445,1414.1207282487126,0.0,0.0,0.0
2015-08-09 01:00:00,1279.0,1435,1377.0604628250103,0.0,0.0,0.0
2015-08-09 02:00:00,1276.0,1415,1339.0471271569747,0.0,0.0,0.0
2015-08-09 03:00:00,1263.0,1370,1310.2529261201482,0.0,0.0,0.0
2015-08-09 04:00:00,1273.0,1355,1293.7683227641264,0.0,0.0,0.0
2015-08-09 05:00:00,1224.0,1285,1215.2136921231427,0.0,0.0,0.0
2015-08-09 06:00:00,1157.0,1175,1128.426166634463,0.0,0.0,0.0
2015-08-09 07:00:00,1103.0,1125,1072.8520559345618,0.0,0.0,0.0
2015-08-09 08:00:00,1067.0,1065,1034.7130181075931,0.0,0.0,0.0
2015-08-09 09:00:00,1033.0,1015,1009.4149055857896,0.0,0.0,0.0
2015-08-09 10:00:00,1024.0,1005,993.6220247452196,0.0,0.0,0.0
2015-08-09 11:00:00,1009.0,1000,994.3290184864427,0.0,0.0,0.0
2015-08-09 12:00:00,1025.0,1005,1044.7415297808825,0.0,0.0,0.0
2015-08-09 13:00:00,1035.0,1025,1106.1150442501398,0.0,0.0,0.0
2015-08-09 14:00:00,1080.0,1085,1177.6199735418734,0.0,0.0,0.0
2015-08-09 15:00:00,1142.0,1130,1220.7871555315876,0.0,0.0,0.0
2015-08-09 16:00:00,1211.0,1190,1258.32810479305,0.0,0.0,0.0
2015-08-09 17:00:00,1228.0,1235,1299.7837757285554,0.0,0.0,0.0
2015-08-09 18:00:00,1264.0,1280,1317.3247403338435,0.0,0.0,0.0
2015-08-09 19:00:00,1299.0,1330,1335.367383265847,0.0,0.0,0.0
2015-08-09 20:00:00,1330.0,1375,1359.1575126437199,0.0,0.0,0.0
2015-08-09 21:00:00,1354.0,1400,1373.9476424083855,0.0,0.0,0.0
2015-08-09 22:00:00,1386.0,1445,1404.6131914152465,0.0,0.0,0.0
2015-08-09 23:00:00,1416.0,1460,1403.1968040739555,0.0,0.0,0.0
2015-08-10 00:00:00,1446.0,1470,1388.4066739851944,0.0,0.0,0.0
2015-08-10 01:00:00,1443.0,1455,1351.5696797466785,0.0,0.0,0.0
2015-08-10 02:00:00,1413.0,1415,1313.4114007983874,0.0,0.0,0.0
2015-08-10 03:00:00,1391.0,1395,1285.2588080662842,0.0,0.0,0.0
2015-08-10 04:00:00,1383.0,1360,1269.101392904494,0.0,0.0,0.0
2015-08-10 05:00:00,1286.0,1275,1191.3897663012074,0.0,0.0,0.0
2015-08-10 06:00:00,1188.0,1175,1105.097445858096,0.0,0.0,0.0
2015-08-10 07:00:00,1122.0,1135,1049.419304966751,0.0,0.0,0.0
2015-08-10 08:00:00,1070.0,1065,1011.2174529650242,0.0,0.0,0.0
2015-08-10 09:00:00,1043.0,1055,985.941090170007,0.0,0.0,0.0
2015-08-10 10:00:00,1044.0,1045,969.9142239702237,0.0,0.0,0.0
2015-08-10 11:00:00,1035.0,1050,970.6425948949254,0.0,0.0,0.0
2015-08-10 12:00:00,1070.0,1085,1021.608675041044,0.0,0.0,0.0
2015-08-10 13:00:00,1145.0,1145,1083.1738129361315,0.0,0.0,0.0
2015-08-10 14:00:00,1223.0,1240,1153.9123224188002,0.0,0.0,0.0
2015-08-10 15:00:00,1301.0,1310,1196.9943490140456,0.0,0.0,0.0
2015-08-10 16:00:00,1343.0,1345,1234.6417478628766,0.0,0.0,0.0
2015-08-10 17:00:00,1380.0,1395,1276.5019225798924,0.0,0.0,0.0
2015-08-10 18:00:00,1428.0,1425,1294.149335653093,0.0,0.0,0.0
2015-08-10 19:00:00,1488.0,1485,1312.0429512130447,0.0,0.0,0.0
2015-08-10 20:00:00,1531.0,1565,1336.0672666916535,0.0,0.0,0.0
2015-08-10 21:00:00,1552.0,1580,1351.0915825288346,0.0,0.0,0.0
2015-08-10 22:00:00,1594.0,1595,1381.927448672989,0.0,0.0,0.0
2015-08-10 23:00:00,1619.0,1585,1380.4684820539098,0.0,0.0,0.0
2015-08-11 00:00:00,1599.0,1575,1365.444165916278,0.0,0.0,0.0
2015-08-11 01:00:00,1528.0,1550,1328.5218862637344,0.0,0.0,0.0
2015-08-11 02:00:00,1469.0,1530,1290.418972935762,0.0,0.0,0.0
2015-08-11 03:00:00,1456.0,1495,1262.0212978395093,0.0,0.0,0.0
2015-08-11 04:00:00,1413.0,1450,1245.7389029111328,0.0,0.0,0.0
2015-08-11 05:00:00,1320.0,1370,1167.7052645429958,0.0,0.0,0.0
2015-08-11 06:00:00,1215.0,1235,1081.2237850406684,0.0,0.0,0.0
2015-08-11 07:00:00,1172.0,1095,1025.5853817354398,0.0,0.0,0.0
2015-08-11 08:00:00,1131.0,1055,987.4075235728488,0.0,0.0,0.0
2015-08-11 09:00:00,1117.0,1030,962.122852789264,0.0,0.0,0.0
2015-08-11 10:00:00,1083.0,1010,946.1853646174617,0.0,0.0,0.0
2015-08-11 11:00:00,1075.0,1015,946.9055698581673,0.0,0.0,0.0
2015-08-11 12:00:00,1119.0,1045,997.6601970634644,0.0,0.0,0.0
2015-08-11 13:00:00,1187.0,1130,1059.152138396283,0.0,0.0,0.0
2015-08-11 14:00:00,1243.0,1210,1130.1834059018042,0.0,0.0,0.0
2015-08-11 15:00:00,1343.0,1295,1173.29796026398,0.0,0.0,0.0
2015-08-11 16:00:00,1383.0,1395,1210.9046973627326,0.0,0.0,0.0
2015-08-11 17:00:00,1418.0,1430,1252.6103592058494,0.0,0.0,0.0
2015-08-11 18:00:00,1478.0,1450,1270.2171109565822,0.0,0.0,0.0
2015-08-11 19:00:00,1540.0,1470,1288.1676521834816,0.0,0.0,0.0
2015-08-11 20:00:00,1585.0,1480,1312.102512954605,0.0,0.0,0.0
2015-08-11 21:00:00,1640.0,1495,1327.0373740950802,0.0,0.0,0.0
2015-08-11 22:00:00,1675.0,1510,1357.808182280421,0.0,0.0,0.0
2015-08-11 23:00:00,1724.0,1530,1356.3654801485493,0.0,0.0,0.0
2015-08-12 00:00:00,1710.0,1540,1341.4306186985914,0.0,0.0,0.0
2015-08-12 01:00:00,1693.0,1530,1304.540916478016,0.0,0.0,0.0
2015-08-12 02:00:00,1637.0,1495,1266.4168545192972,0.0,0.0,0.0
2015-08-12 03:00:00,1584.0,1445,1238.1127962992211,0.0,0.0,0.0
2015-08-12 04:00:00,1543.0,1370,1221.8781413025765,0.0,0.0,0.0
2015-08-12 05:00:00,1429.0,1320,1143.9675054018833,0.0,0.0,0.0
2015-08-12 06:00:00,1301.0,1250,1057.558281119901,0.0,0.0,0.0
2015-08-12 07:00:00,1231.0,1125,1001.9046988004993,0.0,0.0,0.0
2015-08-12 08:00:00,1174.0,1095,963.717675440424,0.0,0.0,0.0
2015-08-12 09:00:00,1134.0,1065,938.4361781529808,0.0,0.0,0.0
2015-08-12 10:00:00,1131.0,1045,922.4645492472771,0.0,0.0,0.0
2015-08-12 11:00:00,1132.0,1050,923.187873626441,0.0,0.0,0.0
2015-08-12 12:00:00,1166.0,1085,974.0232718976074,0.0,0.0,0.0
2015-08-12 13:00:00,1235.0,1175,1035.5431729472757,0.0,0.0,0.0
2015-08-12 14:00:00,1290.0,1220,1106.462612367287,0.0,0.0,0.0
