Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,7415.0,7536,7394.446198818102,0.0,0.0,0.0
2015-07-16 02:00:00,7186.0,7355,7200.355543231549,0.0,0.0,0.0
2015-07-16 03:00:00,6872.0,7244,6857.910503099838,0.0,0.0,0.0
2015-07-16 04:00:00,6748.0,7062,6809.4944502387525,0.0,0.0,0.0
2015-07-16 05:00:00,6370.0,6721,6411.589302799903,0.0,0.0,0.0
2015-07-16 06:00:00,6217.0,6195,5918.358533067945,0.0,0.0,0.0
2015-07-16 08:00:00,5187.0,5443,5755.95892949059,0.0,0.0,0.0
2015-07-16 09:00:00,5019.0,5321,5240.133066134039,0.0,0.0,0.0
2015-07-16 10:00:00,5036.0,5196,5075.4914407545,0.0,0.0,0.0
2015-07-16 11:00:00,4937.0,5132,4973.8036552935055,0.0,0.0,0.0
2015-07-16 12:00:00,5078.0,5215,4940.7557735416385,0.0,0.0,0.0
2015-07-16 13:00:00,5251.0,5393,5087.9016200523465,0.0,0.0,0.0
2015-07-16 14:00:00,5530.0,5777,5260.873829606296,0.0,0.0,0.0
2015-07-16 15:00:00,5913.0,6192,5527.477784026261,0.0,0.0,0.0
2015-07-16 16:00:00,6240.0,6484,5850.512322460551,0.0,0.0,0.0
2015-07-16 17:00:00,6575.0,6784,6163.568566732969,0.0,0.0,0.0
2015-07-16 18:00:00,6835.0,7048,6409.066328255,0.0,0.0,0.0
2015-07-16 19:00:00,6993.0,7230,6663.066331712802,0.0,0.0,0.0
2015-07-16 20:00:00,7247.0,7476,6894.893169762381,0.0,0.0,0.0
2015-07-16 21:00:00,7425.0,7620,7063.351943205791,0.0,0.0,0.0
2015-07-16 22:00:00,7591.0,7693,7216.306588881199,0.0,0.0,0.0
2015-07-16 23:00:00,7704.0,7741,7366.882302107879,0.0,0.0,0.0
2015-07-17 00:00:00,7711.0,7721,7485.525106910802,0.0,0.0,0.0
2015-07-17 01:00:00,7628.0,7605,7456.083577053653,0.0,0.0,0.0
2015-07-17 02:00:00,7418.0,7415,7492.270681784993,0.0,0.0,0.0
2015-07-17 03:00:00,7112.0,7221,7269.785719242427,0.0,0.0,0.0
2015-07-17 04:00:00,6956.0,7019,6978.506181226674,0.0,0.0,0.0
2015-07-17 05:00:00,6540.0,6700,6865.0642387008065,0.0,0.0,0.0
2015-07-17 06:00:00,6017.0,6194,6465.719735816368,0.0,0.0,0.0
2015-07-17 07:00:00,5641.0,5077,6099.490243452912,0.0,0.0,0.0
2015-07-17 08:00:00,5334.0,5488,5715.4349319756775,0.0,0.0,0.0
2015-07-17 09:00:00,5182.0,5319,5214.427764024345,0.0,0.0,0.0
2015-07-17 10:00:00,5103.0,5200,5118.5440051640635,0.0,0.0,0.0
2015-07-17 11:00:00,5101.0,5108,5015.781204968641,0.0,0.0,0.0
2015-07-17 12:00:00,5181.0,5221,5036.999040601691,0.0,0.0,0.0
2015-07-17 13:00:00,5360.0,5425,5198.710668842412,0.0,0.0,0.0
2015-07-17 14:00:00,5625.0,5873,5415.624626516386,0.0,0.0,0.0
2015-07-17 15:00:00,6013.0,6202,5713.961841635483,0.0,0.0,0.0
2015-07-17 16:00:00,6304.0,6563,6014.622308563405,0.0,0.0,0.0
2015-07-17 17:00:00,6523.0,6793,6327.045565932975,0.0,0.0,0.0
2015-07-17 18:00:00,6687.0,6989,6564.46882330327,0.0,0.0,0.0
2015-07-17 19:00:00,6861.0,7100,6782.673470315247,0.0,0.0,0.0
2015-07-17 20:00:00,7038.0,7260,7022.249440301942,0.0,0.0,0.0
2015-07-17 21:00:00,7158.0,7368,7177.672697672433,0.0,0.0,0.0
2015-07-17 22:00:00,7216.0,7434,7351.825410288642,0.0,0.0,0.0
2015-07-17 23:00:00,7280.0,7465,7481.130835521064,0.0,0.0,0.0
2015-07-18 00:00:00,7074.0,7390,7549.589746012502,0.0,0.0,0.0
2015-07-18 01:00:00,7072.0,7269,7504.844782134721,0.0,0.0,0.0
2015-07-18 02:00:00,6530.0,7127,6918.170136113392,0.0,0.0,0.0
2015-07-18 03:00:00,6536.0,6919,6658.980676555321,0.0,0.0,0.0
2015-07-18 04:00:00,6281.0,6841,6409.232362633086,0.0,0.0,0.0
2015-07-18 05:00:00,6278.0,6510,6166.8083907560385,0.0,0.0,0.0
2015-07-18 06:00:00,5807.0,6096,5729.993573679237,0.0,0.0,0.0
2015-07-18 07:00:00,5472.0,5531,5486.535272423724,0.0,0.0,0.0
2015-07-18 08:00:00,5230.0,5358,4749.816813288586,0.0,0.0,0.0
2015-07-18 09:00:00,5085.0,5156,4588.307149238587,0.0,0.0,0.0
2015-07-18 10:00:00,4974.0,5027,4566.3652155149075,0.0,0.0,0.0
2015-07-18 11:00:00,4919.0,4944,4506.71279675031,0.0,0.0,0.0
2015-07-18 12:00:00,4947.0,4931,4622.968441783707,0.0,0.0,0.0
2015-07-18 13:00:00,4958.0,4963,4798.402312775977,0.0,0.0,0.0
2015-07-18 14:00:00,5080.0,5186,5071.7232804787545,0.0,0.0,0.0
2015-07-18 15:00:00,5352.0,5492,5456.751506299757,0.0,0.0,0.0
2015-07-18 16:00:00,5638.0,5753,5769.148280389782,0.0,0.0,0.0
2015-07-18 17:00:00,5890.0,5949,6057.093441346444,0.0,0.0,0.0
2015-07-18 18:00:00,6003.0,6165,6278.1515055864365,0.0,0.0,0.0
2015-07-18 19:00:00,6142.0,6301,6442.641828213105,0.0,0.0,0.0
2015-07-18 20:00:00,6274.0,6426,6665.407150572267,0.0,0.0,0.0
2015-07-18 21:00:00,6376.0,6571,6819.879731050596,0.0,0.0,0.0
2015-07-18 22:00:00,6489.0,6683,6942.070053320588,0.0,0.0,0.0
2015-07-18 23:00:00,6608.0,6775,7035.193440276418,0.0,0.0,0.0
2015-07-19 00:00:00,6653.0,6804,6955.791020308902,0.0,0.0,0.0
2015-07-19 01:00:00,6532.0,6722,6905.648278606407,0.0,0.0,0.0
2015-07-19 02:00:00,6345.0,6633,6148.420761416399,0.0,0.0,0.0
2015-07-19 03:00:00,6132.0,6477,6005.140196573289,0.0,0.0,0.0
2015-07-19 04:00:00,6105.0,6389,5797.507336236732,0.0,0.0,0.0
