Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 02:00:00,2006.0,2536,2037.4104218100906,0.0,0.0,0.0
2015-09-29 03:00:00,2085.0,2599,2172.586229336503,0.0,0.0,0.0
2015-09-29 04:00:00,2001.0,2531,2194.160782617223,0.0,0.0,0.0
2015-09-29 05:00:00,1826.0,2343,2035.0008726363887,0.0,0.0,0.0
2015-09-29 06:00:00,1568.0,2122,1808.4845306631878,0.0,0.0,0.0
2015-09-29 07:00:00,1324.0,1925,1666.9004993750061,0.0,0.0,0.0
2015-09-29 08:00:00,1210.0,1829,1573.1484080562275,0.0,0.0,0.0
2015-09-29 09:00:00,1182.0,1756,1534.396316682479,0.0,0.0,0.0
2015-09-29 10:00:00,1178.0,1703,1567.2959308973645,0.0,0.0,0.0
2015-09-29 11:00:00,1175.0,1679,1572.5605704910433,0.0,0.0,0.0
2015-09-29 12:00:00,1240.0,1753,1619.5940324194823,0.0,0.0,0.0
2015-09-29 13:00:00,1428.0,1964,1734.3164689668795,0.0,0.0,0.0
2015-09-29 14:00:00,1732.0,2300,1940.3659105880445,0.0,0.0,0.0
2015-09-29 15:00:00,1892.0,2490,2063.4913928196884,0.0,0.0,0.0
2015-09-29 16:00:00,1888.0,2499,2065.2267532259966,0.0,0.0,0.0
2015-09-29 17:00:00,1859.0,2495,2071.239677084908,0.0,0.0,0.0
2015-09-29 18:00:00,1844.0,2492,2059.1514638870103,0.0,0.0,0.0
2015-09-29 19:00:00,1852.0,2493,2046.4792202322699,0.0,0.0,0.0
2015-09-29 20:00:00,1872.0,2507,2051.6723775922837,0.0,0.0,0.0
2015-09-29 21:00:00,1911.0,2523,2053.361352211243,0.0,0.0,0.0
2015-09-29 22:00:00,1933.0,2545,2074.050326830202,0.0,0.0,0.0
2015-09-29 23:00:00,1963.0,2548,2097.386448657572,0.0,0.0,0.0
2015-09-30 00:00:00,1969.0,2576,2126.9537481501948,0.0,0.0,0.0
2015-09-30 01:00:00,1985.0,2583,2165.760590790181,0.0,0.0,0.0
2015-09-30 02:00:00,1976.0,2581,2220.9919241453167,0.0,0.0,0.0
2015-09-30 03:00:00,2030.0,2618,2351.518936120551,0.0,0.0,0.0
2015-09-30 04:00:00,1974.0,2554,2390.7411830913447,0.0,0.0,0.0
2015-09-30 05:00:00,1805.0,2369,2233.3116689648145,0.0,0.0,0.0
2015-09-30 06:00:00,1620.0,2158,1982.0519369368672,0.0,0.0,0.0
2015-09-30 07:00:00,1464.0,1963,1840.294875333662,0.0,0.0,0.0
2015-09-30 08:00:00,1340.0,1733,1746.0236920108537,0.0,0.0,0.0
2015-09-30 09:00:00,1283.0,1677,1706.7525086559408,0.0,0.0,0.0
2015-09-30 10:00:00,1240.0,1632,1714.7357077105478,0.0,0.0,0.0
2015-09-30 11:00:00,1246.0,1628,1723.6339911817606,0.0,0.0,0.0
2015-09-30 12:00:00,1291.0,1694,1778.9729248302642,0.0,0.0,0.0
2015-09-30 13:00:00,1488.0,1918,1907.5378142444367,0.0,0.0,0.0
2015-09-30 14:00:00,1796.0,2240,2167.226760724354,0.0,0.0,0.0
2015-09-30 15:00:00,1934.0,2433,2321.497761906241,0.0,0.0,0.0
2015-09-30 16:00:00,1874.0,2433,2319.599478435021,0.0,0.0,0.0
2015-09-30 17:00:00,1885.0,2394,2308.136305549629,0.0,0.0,0.0
2015-09-30 18:00:00,1868.0,2394,2294.836877725889,0.0,0.0,0.0
2015-09-30 19:00:00,1866.0,2398,2280.780388784472,0.0,0.0,0.0
2015-09-30 20:00:00,1873.0,2427,2292.548711256203,0.0,0.0,0.0
2015-09-30 21:00:00,1885.0,2448,2299.774667021872,0.0,0.0,0.0
