Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,2372.0,2304,2326.28795270337,0.0,0.0,0.0
2015-08-07 02:00:00,2289.0,2202,2244.0621279873167,0.0,0.0,0.0
2015-08-07 03:00:00,2283.0,2201,2236.899083469816,0.0,0.0,0.0
2015-08-07 04:00:00,2176.0,2121,2126.8942338357724,0.0,0.0,0.0
2015-08-07 05:00:00,1993.0,1946,1918.362769094772,0.0,0.0,0.0
2015-08-07 06:00:00,1803.0,1752,1706.5467319595364,0.0,0.0,0.0
2015-08-07 07:00:00,1687.0,1618,1573.1450023473774,0.0,0.0,0.0
2015-08-07 08:00:00,1602.0,1537,1484.9154724026246,0.0,0.0,0.0
2015-08-07 09:00:00,1531.0,1476,1436.4564342192834,0.0,0.0,0.0
2015-08-07 10:00:00,1492.0,1444,1400.1572622770175,0.0,0.0,0.0
2015-08-07 11:00:00,1485.0,1442,1395.099882693073,0.0,0.0,0.0
2015-08-07 12:00:00,1533.0,1480,1442.9277440838794,0.0,0.0,0.0
2015-08-07 13:00:00,1608.0,1549,1501.202367787275,0.0,0.0,0.0
2015-08-07 14:00:00,1677.0,1651,1582.2720212844413,0.0,0.0,0.0
2015-08-07 15:00:00,1770.0,1769,1684.1572622170415,0.0,0.0,0.0
2015-08-07 16:00:00,1859.0,1890,1807.431885921751,0.0,0.0,0.0
2015-08-07 17:00:00,1982.0,2012,2006.554625558727,0.0,0.0,0.0
2015-08-07 18:00:00,2076.0,2112,2035.4318859217499,0.0,0.0,0.0
2015-08-07 19:00:00,2165.0,2207,2146.2023677870197,0.0,0.0,0.0
2015-08-07 20:00:00,2230.0,2293,2255.788437087544,0.0,0.0,0.0
2015-08-07 21:00:00,2296.0,2373,2319.640846413891,0.0,0.0,0.0
2015-08-07 22:00:00,2366.0,2397,2376.2514636418105,0.0,0.0,0.0
2015-08-07 23:00:00,2378.0,2425,2404.263737605508,0.0,0.0,0.0
2015-08-08 00:00:00,2343.0,2410,2388.6325627349984,0.0,0.0,0.0
2015-08-08 01:00:00,2252.0,2324,2313.4856287504936,0.0,0.0,0.0
2015-08-08 02:00:00,2135.0,2227,2227.124445435588,0.0,0.0,0.0
2015-08-08 03:00:00,2162.0,2219,2219.5669352344867,0.0,0.0,0.0
2015-08-08 04:00:00,2061.0,2118,2105.7938894173253,0.0,0.0,0.0
2015-08-08 05:00:00,1912.0,1956,1897.041599214163,0.0,0.0,0.0
2015-08-08 06:00:00,1746.0,1734,1682.7823073324496,0.0,0.0,0.0
2015-08-08 07:00:00,1627.0,1603,1546.2707453653532,0.0,0.0,0.0
2015-08-08 08:00:00,1545.0,1514,1456.2641542997437,0.0,0.0,0.0
2015-08-08 09:00:00,1493.0,1457,1404.2509836443523,0.0,0.0,0.0
2015-08-08 10:00:00,1456.0,1420,1369.5067451994266,0.0,0.0,0.0
2015-08-08 11:00:00,1440.0,1390,1364.0050989674105,0.0,0.0,0.0
2015-08-08 12:00:00,1457.0,1407,1410.5001603467756,0.0,0.0,0.0
2015-08-08 13:00:00,1462.0,1431,1474.7723841195555,0.0,0.0,0.0
2015-08-08 14:00:00,1517.0,1492,1552.5100375786212,0.0,0.0,0.0
2015-08-08 15:00:00,1628.0,1601,1653.5067451677169,0.0,0.0,0.0
2015-08-08 16:00:00,1739.0,1725,1782.778968941192,0.0,0.0,0.0
2015-08-08 17:00:00,1828.0,1804,1944.139041478552,0.0,0.0,0.0
2015-08-08 18:00:00,1893.0,1878,2010.7789689411914,0.0,0.0,0.0
2015-08-08 19:00:00,1965.0,1964,2119.7723841194197,0.0,0.0,0.0
2015-08-08 20:00:00,2013.0,1999,2230.0248534275847,0.0,0.0,0.0
2015-08-08 21:00:00,2060.0,2062,2284.991929318728,0.0,0.0,0.0
2015-08-08 22:00:00,2104.0,2151,2334.716413134364,0.0,0.0,0.0
2015-08-08 23:00:00,2076.0,2180,2358.9524203881,0.0,0.0,0.0
2015-08-09 00:00:00,1959.0,2175,2338.434312128229,0.0,0.0,0.0
2015-08-09 01:00:00,1896.0,2129,2264.90627538946,0.0,0.0,0.0
2015-08-09 02:00:00,1866.0,2043,2180.4941288999744,0.0,0.0,0.0
2015-08-09 03:00:00,1923.0,1974,2173.1225344121835,0.0,0.0,0.0
2015-08-09 04:00:00,1879.0,1914,2061.125478016675,0.0,0.0,0.0
2015-08-09 05:00:00,1762.0,1794,1852.477265113572,0.0,0.0,0.0
2015-08-09 06:00:00,1635.0,1650,1639.3695041960868,0.0,0.0,0.0
2015-08-09 07:00:00,1531.0,1534,1504.3236380412802,0.0,0.0,0.0
2015-08-09 08:00:00,1467.0,1453,1415.1545940668789,0.0,0.0,0.0
2015-08-09 09:00:00,1425.0,1400,1364.8165224155666,0.0,0.0,0.0
2015-08-09 10:00:00,1395.0,1367,1329.3394279014633,0.0,0.0,0.0
2015-08-09 11:00:00,1385.0,1347,1324.0471690869344,0.0,0.0,0.0
2015-08-09 12:00:00,1395.0,1350,1371.1703927504461,0.0,0.0,0.0
2015-08-09 13:00:00,1390.0,1353,1432.6158862361322,0.0,0.0,0.0
2015-08-09 14:00:00,1440.0,1394,1511.9239454100398,0.0,0.0,0.0
2015-08-09 15:00:00,1549.0,1490,1613.3394278564322,0.0,0.0,0.0
2015-08-09 16:00:00,1647.0,1604,1739.7849213431048,0.0,0.0,0.0
2015-08-09 17:00:00,1746.0,1708,1918.9429253158787,0.0,0.0,0.0
2015-08-09 18:00:00,1835.0,1802,1967.7849213431039,0.0,0.0,0.0
2015-08-09 19:00:00,1923.0,1883,2077.6158862359407,0.0,0.0,0.0
2015-08-09 20:00:00,2007.0,1955,2187.554274401127,0.0,0.0,0.0
2015-08-09 21:00:00,2073.0,2025,2246.7090988653085,0.0,0.0,0.0
2015-08-09 22:00:00,2143.0,2064,2299.679087825049,0.0,0.0,0.0
2015-08-09 23:00:00,2207.0,2090,2325.694888222327,0.0,0.0,0.0
