Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,7168.0,7215,7121.740612999025,0.0,0.0,0.0
2015-08-07 02:00:00,6755.0,6947,6770.158053682977,0.0,0.0,0.0
2015-08-07 03:00:00,6600.0,6728,6543.602720009222,0.0,0.0,0.0
2015-08-07 04:00:00,6282.0,6387,6147.651219678779,0.0,0.0,0.0
2015-08-07 05:00:00,5640.0,5727,5442.342777837055,0.0,0.0,0.0
2015-08-07 06:00:00,5096.0,5107,4815.945229556436,0.0,0.0,0.0
2015-08-07 07:00:00,4686.0,4733,4349.436204737372,0.0,0.0,0.0
2015-08-07 08:00:00,4425.0,4453,4082.3260084322083,0.0,0.0,0.0
2015-08-07 09:00:00,4211.0,4269,3872.357824082981,0.0,0.0,0.0
2015-08-07 10:00:00,4187.0,4185,3760.664417651341,0.0,0.0,0.0
2015-08-07 11:00:00,4174.0,4220,3801.293761833913,0.0,0.0,0.0
2015-08-07 12:00:00,4401.0,4379,3981.2573718190165,0.0,0.0,0.0
2015-08-07 13:00:00,4593.0,4610,4220.187688959805,0.0,0.0,0.0
2015-08-07 14:00:00,4962.0,4969,4576.7744445539975,0.0,0.0,0.0
2015-08-07 15:00:00,5280.0,5367,4883.969840929375,0.0,0.0,0.0
2015-08-07 16:00:00,5644.0,5741,5242.262934270128,0.0,0.0,0.0
2015-08-07 17:00:00,5961.0,6129,5586.343223649563,0.0,0.0,0.0
2015-08-07 18:00:00,6265.0,6495,5980.791399388822,0.0,0.0,0.0
2015-08-07 19:00:00,6530.0,6785,6315.276648264487,0.0,0.0,0.0
2015-08-07 20:00:00,6756.0,7059,6605.364623906451,0.0,0.0,0.0
2015-08-07 21:00:00,6957.0,7229,6877.883728421187,0.0,0.0,0.0
2015-08-07 22:00:00,7108.0,7220,7010.309673534576,0.0,0.0,0.0
2015-08-07 23:00:00,7311.0,7172,7125.304753517983,0.0,0.0,0.0
