Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,3676.0,2676,3706.3182221231336,0.0,0.0,0.0
2015-07-16 02:00:00,3604.0,2689,3667.4086395972276,0.0,0.0,0.0
2015-07-16 03:00:00,3506.0,2583,3570.057343715156,0.0,0.0,0.0
2015-07-16 04:00:00,3435.0,2552,3491.2319644199797,0.0,0.0,0.0
2015-07-16 05:00:00,3422.0,2476,3404.869596526576,0.0,0.0,0.0
2015-07-16 06:00:00,3212.0,2601,3275.2305087618684,0.0,0.0,0.0
2015-07-16 07:00:00,2938.0,2576,2944.3072080129928,0.0,0.0,0.0
2015-07-16 08:00:00,2745.0,1724,2684.518400031969,0.0,0.0,0.0
2015-07-16 09:00:00,2478.0,1568,2572.0211849387515,0.0,0.0,0.0
2015-07-16 10:00:00,2332.0,1485,2498.1579030725047,0.0,0.0,0.0
2015-07-16 11:00:00,2228.0,1349,2460.451440622392,0.0,0.0,0.0
2015-07-16 12:00:00,2377.0,1467,2456.809326515846,0.0,0.0,0.0
2015-07-16 13:00:00,2520.0,1444,2543.884035544029,0.0,0.0,0.0
2015-07-16 14:00:00,2669.0,1447,2640.348592116677,0.0,0.0,0.0
2015-07-16 15:00:00,2881.0,1502,2873.741123156393,0.0,0.0,0.0
2015-07-16 16:00:00,3110.0,1708,3139.863461794913,0.0,0.0,0.0
2015-07-16 17:00:00,3155.0,1864,3255.931678843165,0.0,0.0,0.0
2015-07-16 18:00:00,3284.0,1862,3332.774666856468,0.0,0.0,0.0
2015-07-16 19:00:00,3323.0,1983,3391.4709318920063,0.0,0.0,0.0
2015-07-16 20:00:00,3377.0,2390,3463.4709318954547,0.0,0.0,0.0
2015-07-16 21:00:00,3414.0,2597,3496.743799677959,0.0,0.0,0.0
2015-07-16 22:00:00,3437.0,2708,3515.3989084448053,0.0,0.0,0.0
2015-07-16 23:00:00,3454.0,2791,3546.026956524415,0.0,0.0,0.0
2015-07-17 00:00:00,3409.0,2794,3591.723221549293,0.0,0.0,0.0
2015-07-17 01:00:00,3430.0,2794,3398.3318030714845,0.0,0.0,0.0
2015-07-17 02:00:00,3382.0,2791,3322.4474502391968,0.0,0.0,0.0
2015-07-17 03:00:00,3338.0,2457,3226.774094545996,0.0,0.0,0.0
2015-07-17 04:00:00,3252.0,2268,3150.719253407149,0.0,0.0,0.0
2015-07-17 05:00:00,3280.0,2120,3085.7382503451868,0.0,0.0,0.0
2015-07-17 06:00:00,3153.0,2162,2921.6781769342024,0.0,0.0,0.0
2015-07-17 07:00:00,2860.0,1967,2617.945117870336,0.0,0.0,0.0
2015-07-17 08:00:00,2602.0,1483,2408.1656496204723,0.0,0.0,0.0
2015-07-17 09:00:00,2448.0,1295,2226.468527352849,0.0,0.0,0.0
2015-07-17 10:00:00,2354.0,1288,2110.180852449656,0.0,0.0,0.0
2015-07-17 11:00:00,2328.0,1283,2033.976601994411,0.0,0.0,0.0
2015-07-17 12:00:00,2346.0,1278,2080.8984514782337,0.0,0.0,0.0
2015-07-17 13:00:00,2445.0,1302,2175.0159657155177,0.0,0.0,0.0
2015-07-17 14:00:00,2507.0,1372,2321.1405217591987,0.0,0.0,0.0
2015-07-17 15:00:00,2907.0,1802,2545.600758064873,0.0,0.0,0.0
2015-07-17 16:00:00,3129.0,2182,2762.140519999768,0.0,0.0,0.0
2015-07-17 17:00:00,3320.0,2294,2838.77035393297,0.0,0.0,0.0
2015-07-17 18:00:00,3404.0,2345,2941.891398759777,0.0,0.0,0.0
2015-07-17 19:00:00,3513.0,2394,2991.434676767232,0.0,0.0,0.0
2015-07-17 20:00:00,3521.0,2718,3054.0609951426945,0.0,0.0,0.0
2015-07-17 21:00:00,3535.0,2718,3079.559237303301,0.0,0.0,0.0
2015-07-17 22:00:00,3588.0,2719,3090.098999644742,0.0,0.0,0.0
2015-07-17 23:00:00,3629.0,2709,3117.163037753244,0.0,0.0,0.0
2015-07-18 00:00:00,3701.0,2708,3116.732349376986,0.0,0.0,0.0
2015-07-18 01:00:00,3746.0,2708,3732.107586411016,0.0,0.0,0.0
2015-07-18 02:00:00,3679.0,2709,3676.318765408805,0.0,0.0,0.0
2015-07-18 03:00:00,3561.0,2564,3606.573785097707,0.0,0.0,0.0
2015-07-18 04:00:00,3478.0,2475,3528.233550742361,0.0,0.0,0.0
2015-07-18 05:00:00,3440.0,2484,3535.9976052473608,0.0,0.0,0.0
2015-07-18 06:00:00,3284.0,2527,3367.931207311855,0.0,0.0,0.0
2015-07-18 07:00:00,3028.0,2042,3084.338317987982,0.0,0.0,0.0
2015-07-18 08:00:00,2762.0,1781,2858.510168283772,0.0,0.0,0.0
2015-07-18 09:00:00,2650.0,1515,2648.582192314703,0.0,0.0,0.0
2015-07-18 10:00:00,2564.0,1527,2528.845383258283,0.0,0.0,0.0
2015-07-18 11:00:00,2441.0,1449,2464.2401128526058,0.0,0.0,0.0
2015-07-18 12:00:00,2446.0,1454,2547.077190340373,0.0,0.0,0.0
2015-07-18 13:00:00,2481.0,1457,2667.8545290948696,0.0,0.0,0.0
2015-07-18 14:00:00,2331.0,1461,2772.9142660029493,0.0,0.0,0.0
2015-07-18 15:00:00,2531.0,1541,3079.865639480685,0.0,0.0,0.0
2015-07-18 16:00:00,2924.0,2189,3305.3302160101002,0.0,0.0,0.0
2015-07-18 17:00:00,3125.0,2424,3424.0690485786654,0.0,0.0,0.0
2015-07-18 18:00:00,3367.0,2430,3530.3413262127765,0.0,0.0,0.0
2015-07-18 19:00:00,3512.0,2519,3604.6955610050495,0.0,0.0,0.0
2015-07-18 20:00:00,3607.0,2644,3635.462778141664,0.0,0.0,0.0
2015-07-18 21:00:00,3709.0,2631,3660.846386709962,0.0,0.0,0.0
2015-07-18 22:00:00,3763.0,2614,3698.9982016208883,0.0,0.0,0.0
2015-07-18 23:00:00,3822.0,2599,3728.1196535496265,0.0,0.0,0.0
2015-07-19 00:00:00,3900.0,2598,3742.211731702228,0.0,0.0,0.0
2015-07-19 01:00:00,3947.0,2585,3945.1042478874233,0.0,0.0,0.0
2015-07-19 02:00:00,3938.0,2622,3887.7569209848857,0.0,0.0,0.0
2015-07-19 03:00:00,3887.0,2610,3800.529994766459,0.0,0.0,0.0
2015-07-19 04:00:00,3806.0,2587,3716.358630384048,0.0,0.0,0.0
2015-07-19 05:00:00,3782.0,2592,3705.514174382228,0.0,0.0,0.0
2015-07-19 06:00:00,3618.0,2581,3561.443219519323,0.0,0.0,0.0
2015-07-19 07:00:00,3326.0,2068,3290.2265013273072,0.0,0.0,0.0
2015-07-19 08:00:00,3087.0,1994,3027.516759185399,0.0,0.0,0.0
2015-07-19 09:00:00,2931.0,1728,2898.243297112329,0.0,0.0,0.0
2015-07-19 10:00:00,2857.0,1566,2808.953113778435,0.0,0.0,0.0
2015-07-19 11:00:00,2810.0,1566,2725.846616841155,0.0,0.0,0.0
2015-07-19 12:00:00,2778.0,1567,2736.19316882071,0.0,0.0,0.0
2015-07-19 13:00:00,2627.0,1407,2797.51465509513,0.0,0.0,0.0
2015-07-19 14:00:00,2629.0,1412,2734.7045783311883,0.0,0.0,0.0
2015-07-19 15:00:00,2839.0,1734,3016.9592228913625,0.0,0.0,0.0
2015-07-19 16:00:00,3121.0,2331,3339.6315017929546,0.0,0.0,0.0
2015-07-19 17:00:00,3516.0,2559,3536.518769564989,0.0,0.0,0.0
2015-07-19 18:00:00,3720.0,2572,3713.537600362866,0.0,0.0,0.0
2015-07-19 19:00:00,3859.0,3024,3843.731764342129,0.0,0.0,0.0
2015-07-19 20:00:00,3960.0,3072,3902.9509939586796,0.0,0.0,0.0
2015-07-19 21:00:00,4030.0,3078,3968.7589503524323,0.0,0.0,0.0
2015-07-19 22:00:00,4077.0,3091,4022.3476771296337,0.0,0.0,0.0
2015-07-19 23:00:00,4107.0,3123,4073.944759119265,0.0,0.0,0.0
2015-07-20 00:00:00,4158.0,3141,4149.477119782477,0.0,0.0,0.0
2015-07-20 01:00:00,4189.0,3186,4199.629622319129,0.0,0.0,0.0
2015-07-20 02:00:00,4134.0,3221,4160.69232723389,0.0,0.0,0.0
2015-07-20 03:00:00,4074.0,3263,4075.882808329668,0.0,0.0,0.0
2015-07-20 04:00:00,3969.0,3288,3993.851565673965,0.0,0.0,0.0
2015-07-20 05:00:00,3938.0,2853,3962.812316861562,0.0,0.0,0.0
2015-07-20 06:00:00,3704.0,2785,3802.831135500589,0.0,0.0,0.0
2015-07-20 07:00:00,3329.0,2478,3528.919584155637,0.0,0.0,0.0
2015-07-20 08:00:00,3082.0,1880,3276.353099766529,0.0,0.0,0.0
2015-07-20 09:00:00,2831.0,1693,3142.4613923730963,0.0,0.0,0.0
2015-07-20 10:00:00,2409.0,1330,3062.431855635449,0.0,0.0,0.0
2015-07-20 11:00:00,2379.0,1236,2977.244795515648,0.0,0.0,0.0
2015-07-20 12:00:00,2473.0,1218,2963.835864141713,0.0,0.0,0.0
2015-07-20 13:00:00,2693.0,1205,2906.29366873981,0.0,0.0,0.0
2015-07-20 14:00:00,2971.0,1199,2831.9195488474293,0.0,0.0,0.0
2015-07-20 15:00:00,3134.0,1842,3036.894935696493,0.0,0.0,0.0
2015-07-20 16:00:00,3353.0,2123,3374.668141669732,0.0,0.0,0.0
2015-07-20 17:00:00,3485.0,2251,3672.1906465452644,0.0,0.0,0.0
2015-07-20 18:00:00,3600.0,2326,3895.284176518095,0.0,0.0,0.0
2015-07-20 19:00:00,3726.0,2357,4037.298944408542,0.0,0.0,0.0
2015-07-20 20:00:00,3821.0,2814,4135.284176518095,0.0,0.0,0.0
2015-07-20 21:00:00,3877.0,2834,4221.3629386004795,0.0,0.0,0.0
2015-07-20 22:00:00,3912.0,2859,4271.880167806003,0.0,0.0,0.0
2015-07-20 23:00:00,3962.0,2893,4316.451545943164,0.0,0.0,0.0
2015-07-21 00:00:00,3996.0,2931,4381.0180014501775,0.0,0.0,0.0
2015-07-21 01:00:00,4045.0,2969,4026.914879010429,0.0,0.0,0.0
2015-07-21 02:00:00,4002.0,2992,3993.007473440585,0.0,0.0,0.0
