Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,3563.0,2221,3554.34055345806,0.0,0.0,0.0
2015-09-29 02:00:00,3619.0,2208,3646.6785792558203,0.0,0.0,0.0
2015-09-29 03:00:00,3756.0,2177,3818.466701388469,0.0,0.0,0.0
2015-09-29 04:00:00,3657.0,2141,3778.842519586985,0.0,0.0,0.0
2015-09-29 05:00:00,3400.0,2053,3629.1055527634917,0.0,0.0,0.0
2015-09-29 06:00:00,3114.0,2138,3421.7000835223635,0.0,0.0,0.0
2015-09-29 07:00:00,2879.0,2127,3240.5640195448473,0.0,0.0,0.0
2015-09-29 08:00:00,2718.0,1757,3037.049465462081,0.0,0.0,0.0
2015-09-29 09:00:00,2639.0,1676,2951.4754061879216,0.0,0.0,0.0
2015-09-29 10:00:00,2600.0,1642,2923.4865860859527,0.0,0.0,0.0
2015-09-29 11:00:00,2630.0,1651,2936.979031358357,0.0,0.0,0.0
2015-09-29 12:00:00,2746.0,1817,3026.9583462432647,0.0,0.0,0.0
2015-09-29 13:00:00,3041.0,2086,3279.7094730870976,0.0,0.0,0.0
2015-09-29 14:00:00,3421.0,1739,3591.0832208033885,0.0,0.0,0.0
2015-09-29 15:00:00,3613.0,1989,3797.2850818912016,0.0,0.0,0.0
2015-09-29 16:00:00,3590.0,2072,3890.83957839904,0.0,0.0,0.0
2015-09-29 17:00:00,3516.0,2100,3875.8979348877,0.0,0.0,0.0
2015-09-29 18:00:00,3505.0,2068,3870.9185982665294,0.0,0.0,0.0
2015-09-29 19:00:00,3475.0,2068,3867.103430534087,0.0,0.0,0.0
2015-09-29 20:00:00,3512.0,2067,3834.060060752464,0.0,0.0,0.0
2015-09-29 21:00:00,3511.0,2066,3799.541214156793,0.0,0.0,0.0
2015-09-29 22:00:00,3511.0,2066,3750.820505513551,0.0,0.0,0.0
2015-09-29 23:00:00,3509.0,2066,3732.2412593770655,0.0,0.0,0.0
2015-09-30 00:00:00,3519.0,2318,3772.0280441507452,0.0,0.0,0.0
2015-09-30 01:00:00,3563.0,2318,3833.0064166105217,0.0,0.0,0.0
2015-09-30 02:00:00,3569.0,2244,3920.1531703828005,0.0,0.0,0.0
2015-09-30 03:00:00,3719.0,2244,4083.1946098079975,0.0,0.0,0.0
2015-09-30 04:00:00,3598.0,2199,4037.9425008186495,0.0,0.0,0.0
2015-09-30 05:00:00,3340.0,2150,3875.472245857304,0.0,0.0,0.0
2015-09-30 06:00:00,3098.0,2181,3652.6694864072106,0.0,0.0,0.0
2015-09-30 07:00:00,2840.0,2019,3455.6020250513993,0.0,0.0,0.0
2015-09-30 08:00:00,2695.0,1852,3259.877541134592,0.0,0.0,0.0
2015-09-30 09:00:00,2601.0,1772,3177.490296564317,0.0,0.0,0.0
2015-09-30 10:00:00,2558.0,1768,3156.228834297077,0.0,0.0,0.0
2015-09-30 11:00:00,2569.0,1765,3180.8744356397187,0.0,0.0,0.0
2015-09-30 12:00:00,2675.0,1761,3289.796377735537,0.0,0.0,0.0
2015-09-30 13:00:00,2987.0,1975,3582.2030821140415,0.0,0.0,0.0
2015-09-30 14:00:00,3340.0,1747,3927.9213908622496,0.0,0.0,0.0
2015-09-30 15:00:00,3512.0,1931,4128.989271752408,0.0,0.0,0.0
