Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,3953.0,3939,3977.851413852565,0.0,0.0,0.0
2015-07-16 02:00:00,3855.0,3794,3828.247734954696,0.0,0.0,0.0
2015-07-16 03:00:00,3577.0,3510,3570.293172690571,0.0,0.0,0.0
2015-07-16 04:00:00,3259.0,3213,3269.498281181535,0.0,0.0,0.0
2015-07-16 05:00:00,2976.0,2925,3020.2699904953424,0.0,0.0,0.0
2015-07-16 06:00:00,2804.0,2762,2860.609411598213,0.0,0.0,0.0
2015-07-16 07:00:00,2653.0,2650,2724.5491041081805,0.0,0.0,0.0
2015-07-16 08:00:00,2571.0,2575,2631.445284463729,0.0,0.0,0.0
2015-07-16 09:00:00,2545.0,2548,2602.02885403092,0.0,0.0,0.0
2015-07-16 10:00:00,2596.0,2615,2650.047647053173,0.0,0.0,0.0
2015-07-16 11:00:00,2710.0,2723,2761.056912119595,0.0,0.0,0.0
2015-07-16 12:00:00,2834.0,2837,2878.8226573930797,0.0,0.0,0.0
2015-07-16 13:00:00,3032.0,3028,3072.421211514189,0.0,0.0,0.0
2015-07-16 14:00:00,3289.0,3259,3321.73202432002,0.0,0.0,0.0
2015-07-16 15:00:00,3590.0,3511,3583.898227846469,0.0,0.0,0.0
2015-07-16 16:00:00,3863.0,3745,3793.233192840121,0.0,0.0,0.0
2015-07-16 17:00:00,4101.0,3930,4001.548218423789,0.0,0.0,0.0
2015-07-16 18:00:00,4255.0,4095,4134.738147344854,0.0,0.0,0.0
2015-07-16 19:00:00,4368.0,4194,4273.988474131188,0.0,0.0,0.0
2015-07-16 20:00:00,4429.0,4239,4282.261929572782,0.0,0.0,0.0
2015-07-16 21:00:00,4423.0,4250,4275.161330493912,0.0,0.0,0.0
2015-07-16 22:00:00,4349.0,4223,4250.513779138332,0.0,0.0,0.0
2015-07-16 23:00:00,4263.0,4136,4155.866230775167,0.0,0.0,0.0
2015-07-17 00:00:00,4114.0,4014,4000.490668944175,0.0,0.0,0.0
2015-07-17 01:00:00,3993.0,3859,4002.596040924956,0.0,0.0,0.0
2015-07-17 02:00:00,3906.0,3744,3888.3700597153797,0.0,0.0,0.0
2015-07-17 03:00:00,3640.0,3483,3643.275135784041,0.0,0.0,0.0
2015-07-17 04:00:00,3353.0,3207,3344.4651356272857,0.0,0.0,0.0
2015-07-17 05:00:00,3118.0,2935,3081.8956859142686,0.0,0.0,0.0
2015-07-17 06:00:00,2913.0,2768,2912.255486735952,0.0,0.0,0.0
2015-07-17 07:00:00,2781.0,2661,2774.667741936723,0.0,0.0,0.0
2015-07-17 08:00:00,2709.0,2586,2692.6778499986067,0.0,0.0,0.0
2015-07-17 09:00:00,2681.0,2562,2671.7611106284216,0.0,0.0,0.0
2015-07-17 10:00:00,2743.0,2633,2711.220439094166,0.0,0.0,0.0
2015-07-17 11:00:00,2822.0,2735,2818.7574319134105,0.0,0.0,0.0
2015-07-17 12:00:00,2943.0,2814,2942.7578248406153,0.0,0.0,0.0
2015-07-17 13:00:00,3132.0,2977,3118.596083558259,0.0,0.0,0.0
2015-07-17 14:00:00,3316.0,3160,3370.055682090045,0.0,0.0,0.0
2015-07-17 15:00:00,3578.0,3404,3654.8959862522083,0.0,0.0,0.0
2015-07-17 16:00:00,3802.0,3634,3912.659684445926,0.0,0.0,0.0
2015-07-17 17:00:00,4006.0,3809,4156.200170166404,0.0,0.0,0.0
2015-07-17 18:00:00,4153.0,3953,4318.510891585366,0.0,0.0,0.0
2015-07-17 19:00:00,4194.0,4034,4446.285503424757,0.0,0.0,0.0
2015-07-17 20:00:00,4139.0,4055,4501.745025080174,0.0,0.0,0.0
2015-07-17 21:00:00,4082.0,4075,4520.677180566295,0.0,0.0,0.0
2015-07-17 22:00:00,4022.0,4049,4457.296431981823,0.0,0.0,0.0
2015-07-17 23:00:00,3964.0,3939,4355.13670179701,0.0,0.0,0.0
