Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,5202.0,5327,5196.428141176816,0.0,0.0,0.0
2015-09-29 02:00:00,5125.0,5082,4935.2042385312425,0.0,0.0,0.0
2015-09-29 03:00:00,4940.0,4845,4698.196395549925,0.0,0.0,0.0
2015-09-29 04:00:00,4640.0,4542,4397.8268943620815,0.0,0.0,0.0
2015-09-29 05:00:00,4298.0,4246,4101.665247397835,0.0,0.0,0.0
2015-09-29 06:00:00,3880.0,3901,3745.88666438134,0.0,0.0,0.0
2015-09-29 07:00:00,3485.0,3534,3433.8084266896185,0.0,0.0,0.0
2015-09-29 08:00:00,3227.0,3231,3179.9550298128856,0.0,0.0,0.0
2015-09-29 09:00:00,3036.0,3033,2988.8996527252775,0.0,0.0,0.0
2015-09-29 10:00:00,2905.0,2906,2846.8470214335653,0.0,0.0,0.0
2015-09-29 11:00:00,2834.0,2820,2767.439515688544,0.0,0.0,0.0
2015-09-29 12:00:00,2848.0,2846,2751.1169900078917,0.0,0.0,0.0
2015-09-29 13:00:00,2976.0,2961,2804.927065232109,0.0,0.0,0.0
2015-09-29 14:00:00,3116.0,3095,2875.428991058182,0.0,0.0,0.0
2015-09-29 15:00:00,3224.0,3259,3010.334253753219,0.0,0.0,0.0
2015-09-29 16:00:00,3453.0,3521,3288.315582490224,0.0,0.0,0.0
2015-09-29 17:00:00,3765.0,3869,3657.9839974524493,0.0,0.0,0.0
2015-09-29 18:00:00,4126.0,4211,4016.9461942552734,0.0,0.0,0.0
2015-09-29 19:00:00,4467.0,4512,4395.405999570468,0.0,0.0,0.0
2015-09-29 20:00:00,4833.0,4839,4745.154803798153,0.0,0.0,0.0
2015-09-29 21:00:00,5126.0,5136,5063.657195336695,0.0,0.0,0.0
2015-09-29 22:00:00,5355.0,5362,5279.074414405893,0.0,0.0,0.0
2015-09-29 23:00:00,5425.0,5479,5347.709809160047,0.0,0.0,0.0
2015-09-30 00:00:00,5468.0,5492,5333.477745690781,0.0,0.0,0.0
2015-09-30 01:00:00,5334.0,5338,5183.613599253962,0.0,0.0,0.0
2015-09-30 02:00:00,5194.0,5158,4928.343615344716,0.0,0.0,0.0
2015-09-30 03:00:00,4972.0,4893,4697.1924125793375,0.0,0.0,0.0
2015-09-30 04:00:00,4658.0,4556,4397.889753601103,0.0,0.0,0.0
2015-09-30 05:00:00,4291.0,4264,4090.094668431911,0.0,0.0,0.0
2015-09-30 06:00:00,3860.0,3872,3713.05515459419,0.0,0.0,0.0
2015-09-30 07:00:00,3487.0,3527,3396.5097510371447,0.0,0.0,0.0
2015-09-30 08:00:00,3213.0,3209,3141.2396302330244,0.0,0.0,0.0
2015-09-30 09:00:00,3007.0,3029,2956.062295077145,0.0,0.0,0.0
2015-09-30 10:00:00,2843.0,2902,2815.8343170686467,0.0,0.0,0.0
2015-09-30 11:00:00,2753.0,2817,2742.9136345178204,0.0,0.0,0.0
2015-09-30 12:00:00,2758.0,2829,2745.646366983916,0.0,0.0,0.0
2015-09-30 13:00:00,2897.0,2963,2833.309890309225,0.0,0.0,0.0
2015-09-30 14:00:00,3037.0,3114,2944.5575924667896,0.0,0.0,0.0
2015-09-30 15:00:00,3143.0,3233,3075.003118068405,0.0,0.0,0.0
2015-09-30 16:00:00,3350.0,3431,3326.42874326819,0.0,0.0,0.0
2015-09-30 17:00:00,3675.0,3749,3680.488080416193,0.0,0.0,0.0
2015-09-30 18:00:00,4042.0,4088,4029.111797162419,0.0,0.0,0.0
2015-09-30 19:00:00,4418.0,4447,4399.26027535423,0.0,0.0,0.0
2015-09-30 20:00:00,4820.0,4790,4750.022656061353,0.0,0.0,0.0
2015-09-30 21:00:00,5156.0,5111,5066.4978946437595,0.0,0.0,0.0
2015-09-30 22:00:00,5413.0,5377,5267.31961243252,0.0,0.0,0.0
2015-09-30 23:00:00,5476.0,5434,5305.953143443196,0.0,0.0,0.0
2015-10-01 00:00:00,5533.0,5418,5276.517432806665,0.0,0.0,0.0
2015-10-01 01:00:00,5382.0,5291,5126.3346465439145,0.0,0.0,0.0
2015-10-01 02:00:00,5218.0,5205,4868.383975301366,0.0,0.0,0.0
2015-10-01 03:00:00,4966.0,4993,4634.595883801383,0.0,0.0,0.0
2015-10-01 04:00:00,4668.0,4711,4334.812890689516,0.0,0.0,0.0
2015-10-01 05:00:00,4317.0,4355,4032.2556348928474,0.0,0.0,0.0
2015-10-01 06:00:00,3864.0,3918,3664.7886245558757,0.0,0.0,0.0
2015-10-01 07:00:00,3485.0,3507,3350.2545139776653,0.0,0.0,0.0
2015-10-01 08:00:00,3196.0,3206,3095.6222577557014,0.0,0.0,0.0
2015-10-01 09:00:00,2990.0,3012,2907.798397974811,0.0,0.0,0.0
2015-10-01 10:00:00,2854.0,2845,2766.748889616203,0.0,0.0,0.0
2015-10-01 11:00:00,2779.0,2755,2690.9075852799383,0.0,0.0,0.0
2015-10-01 12:00:00,2795.0,2769,2685.060894443677,0.0,0.0,0.0
