Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,40526.0,39942,40758.10546726172,0.0,0.0,0.0
2015-07-16 02:00:00,39017.0,38575,39161.42858095951,0.0,0.0,0.0
2015-07-16 03:00:00,37914.0,37521,38070.65518416022,0.0,0.0,0.0
2015-07-16 04:00:00,35416.0,35118,35660.53431032068,0.0,0.0,0.0
2015-07-16 05:00:00,32618.0,32316,32742.71671326732,0.0,0.0,0.0
2015-07-16 06:00:00,30502.0,30404,30505.38892098497,0.0,0.0,0.0
2015-07-16 07:00:00,28920.0,28802,28813.147519447233,0.0,0.0,0.0
2015-07-16 08:00:00,27735.0,27603,27531.13284734122,0.0,0.0,0.0
2015-07-16 09:00:00,26975.0,26817,26602.47860400472,0.0,0.0,0.0
2015-07-16 10:00:00,26679.0,26549,26168.02978222755,0.0,0.0,0.0
2015-07-16 11:00:00,27336.0,27059,26781.69777587138,0.0,0.0,0.0
2015-07-16 12:00:00,28287.0,28033,27649.920907822998,0.0,0.0,0.0
2015-07-16 13:00:00,29561.0,29550,28863.51725920977,0.0,0.0,0.0
2015-07-16 14:00:00,31474.0,31709,30551.209633298487,0.0,0.0,0.0
2015-07-16 15:00:00,33562.0,33814,32217.259856804136,0.0,0.0,0.0
2015-07-16 16:00:00,35874.0,35732,33954.84142084379,0.0,0.0,0.0
2015-07-16 17:00:00,38091.0,37724,35646.45660994041,0.0,0.0,0.0
2015-07-16 18:00:00,40020.0,39573,37209.759856786295,0.0,0.0,0.0
2015-07-16 19:00:00,41677.0,41196,38712.12825759706,0.0,0.0,0.0
2015-07-16 20:00:00,42743.0,42238,39771.03716115032,0.0,0.0,0.0
2015-07-16 21:00:00,43578.0,43315,40669.39231802971,0.0,0.0,0.0
2015-07-16 22:00:00,44024.0,43731,41114.877425845334,0.0,0.0,0.0
2015-07-16 23:00:00,43721.0,43353,41111.091233685234,0.0,0.0,0.0
2015-07-17 00:00:00,42921.0,42565,40478.48097523003,0.0,0.0,0.0
2015-07-17 01:00:00,41635.0,41480,41538.919799204836,0.0,0.0,0.0
2015-07-17 02:00:00,39999.0,40086,39903.35678744917,0.0,0.0,0.0
2015-07-17 03:00:00,39016.0,39012,38709.941828170464,0.0,0.0,0.0
2015-07-17 04:00:00,36613.0,36609,36156.45102024549,0.0,0.0,0.0
2015-07-17 05:00:00,33709.0,33697,33280.86682847196,0.0,0.0,0.0
2015-07-17 06:00:00,31413.0,31036,31097.526305143823,0.0,0.0,0.0
2015-07-17 07:00:00,29793.0,29408,29460.756589500477,0.0,0.0,0.0
