Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,32011.0,31341,31776.731522960683,0.0,0.0,0.0
2015-09-29 02:00:00,31047.0,30541,30783.431351797724,0.0,0.0,0.0
2015-09-29 03:00:00,29182.0,28792,28941.384728003097,0.0,0.0,0.0
2015-09-29 04:00:00,26749.0,26540,27090.580570806163,0.0,0.0,0.0
2015-09-29 05:00:00,24455.0,24331,25035.993136496603,0.0,0.0,0.0
2015-09-29 06:00:00,22784.0,22468,23538.91529607664,0.0,0.0,0.0
2015-09-29 07:00:00,21731.0,21438,22584.925460143197,0.0,0.0,0.0
2015-09-29 08:00:00,21050.0,20741,22018.536517700937,0.0,0.0,0.0
2015-09-29 09:00:00,20615.0,20409,21698.94751067853,0.0,0.0,0.0
2015-09-29 10:00:00,20711.0,20537,21837.112811806852,0.0,0.0,0.0
2015-09-29 11:00:00,21580.0,21384,22734.347546791694,0.0,0.0,0.0
2015-09-29 12:00:00,23569.0,23204,24596.20276663119,0.0,0.0,0.0
2015-09-29 13:00:00,24642.0,24226,25625.719404799263,0.0,0.0,0.0
2015-09-29 14:00:00,25205.0,24902,26193.911233879517,0.0,0.0,0.0
2015-09-29 15:00:00,26226.0,25996,27394.327667711026,0.0,0.0,0.0
2015-09-29 16:00:00,27410.0,27225,28846.726929865676,0.0,0.0,0.0
2015-09-29 17:00:00,28589.0,28424,30350.364844929234,0.0,0.0,0.0
2015-09-29 18:00:00,29693.0,29593,31908.17306447585,0.0,0.0,0.0
2015-09-29 19:00:00,30733.0,30694,33410.080811806765,0.0,0.0,0.0
2015-09-29 20:00:00,31327.0,31392,34383.14541231768,0.0,0.0,0.0
2015-09-29 21:00:00,31725.0,32042,35116.53578742858,0.0,0.0,0.0
2015-09-29 22:00:00,31847.0,32051,35591.43863478558,0.0,0.0,0.0
2015-09-29 23:00:00,31207.0,31395,35232.43280395788,0.0,0.0,0.0
2015-09-30 00:00:00,30250.0,30318,34130.5801635253,0.0,0.0,0.0
2015-09-30 01:00:00,29867.0,29688,33198.97003550866,0.0,0.0,0.0
2015-09-30 02:00:00,29285.0,29020,32224.789068975802,0.0,0.0,0.0
2015-09-30 03:00:00,27668.0,27406,30395.151798356488,0.0,0.0,0.0
2015-09-30 04:00:00,25501.0,25433,28554.10153675765,0.0,0.0,0.0
2015-09-30 05:00:00,23473.0,23382,26504.22187786053,0.0,0.0,0.0
2015-09-30 06:00:00,22106.0,21926,25012.523414946943,0.0,0.0,0.0
2015-09-30 07:00:00,21316.0,21014,24064.222794439676,0.0,0.0,0.0
2015-09-30 08:00:00,20720.0,20435,23503.181553789847,0.0,0.0,0.0
2015-09-30 09:00:00,20419.0,20142,23188.376686554337,0.0,0.0,0.0
2015-09-30 10:00:00,20585.0,20293,23332.252702670023,0.0,0.0,0.0
2015-09-30 11:00:00,21425.0,21245,24240.358322759806,0.0,0.0,0.0
2015-09-30 12:00:00,23329.0,23173,26121.462972422894,0.0,0.0,0.0
2015-09-30 13:00:00,24403.0,24180,27160.938592548442,0.0,0.0,0.0
2015-09-30 14:00:00,24607.0,24567,27725.430331528485,0.0,0.0,0.0
2015-09-30 15:00:00,25221.0,25376,28924.111341939577,0.0,0.0,0.0
2015-09-30 16:00:00,25933.0,26259,30379.144907577975,0.0,0.0,0.0
2015-09-30 17:00:00,26648.0,27118,31883.11236580499,0.0,0.0,0.0
2015-09-30 18:00:00,27305.0,28018,33441.2342184946,0.0,0.0,0.0
2015-09-30 19:00:00,28095.0,28901,34943.64494096416,0.0,0.0,0.0
2015-09-30 20:00:00,28703.0,29453,35914.815902172624,0.0,0.0,0.0
2015-09-30 21:00:00,29148.0,30056,36646.18150705114,0.0,0.0,0.0
2015-09-30 22:00:00,29519.0,30165,37119.8029288912,0.0,0.0,0.0
2015-09-30 23:00:00,29228.0,29716,36755.63672870144,0.0,0.0,0.0
2015-10-01 00:00:00,28405.0,28915,35649.99798210007,0.0,0.0,0.0
2015-10-01 01:00:00,28310.0,28691,34715.54352347344,0.0,0.0,0.0
2015-10-01 02:00:00,27750.0,28161,33739.4649424369,0.0,0.0,0.0
