Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,3405.0,3160,3384.0545112776763,0.0,0.0,0.0
2015-08-07 02:00:00,3230.0,2960,3187.123225432324,0.0,0.0,0.0
2015-08-07 03:00:00,2962.0,2690,2891.2636133061965,0.0,0.0,0.0
2015-08-07 04:00:00,2698.0,2450,2584.8771661793066,0.0,0.0,0.0
2015-08-07 05:00:00,2474.0,2270,2345.781813819941,0.0,0.0,0.0
2015-08-07 06:00:00,2313.0,2140,2170.1384231147813,0.0,0.0,0.0
2015-08-07 07:00:00,2190.0,2060,2050.057374220427,0.0,0.0,0.0
2015-08-07 08:00:00,2119.0,2010,1981.6151341751183,0.0,0.0,0.0
2015-08-07 09:00:00,2080.0,2030,1967.3219072222792,0.0,0.0,0.0
2015-08-07 10:00:00,2152.0,2150,2038.161381483716,0.0,0.0,0.0
2015-08-07 11:00:00,2304.0,2260,2206.4576987049327,0.0,0.0,0.0
2015-08-07 12:00:00,2383.0,2380,2284.4647847782644,0.0,0.0,0.0
2015-08-07 13:00:00,2552.0,2630,2450.5824283664488,0.0,0.0,0.0
2015-08-07 14:00:00,2787.0,2920,2701.140784739559,0.0,0.0,0.0
2015-08-07 15:00:00,3031.0,3210,3009.272585938191,0.0,0.0,0.0
2015-08-07 16:00:00,3216.0,3430,3279.5532028651646,0.0,0.0,0.0
2015-08-07 17:00:00,3265.0,3580,3522.651156905665,0.0,0.0,0.0
2015-08-07 18:00:00,3085.0,3690,3725.5405831447965,0.0,0.0,0.0
2015-08-07 19:00:00,2997.0,3780,3835.062266450221,0.0,0.0,0.0
2015-08-07 20:00:00,3025.0,3810,3849.8583119950335,0.0,0.0,0.0
2015-08-07 21:00:00,3108.0,3790,3832.5110638692963,0.0,0.0,0.0
2015-08-07 22:00:00,3209.0,3650,3815.8807694890334,0.0,0.0,0.0
2015-08-07 23:00:00,3221.0,3500,3722.2088170441866,0.0,0.0,0.0
2015-08-08 00:00:00,3108.0,3320,3551.694398223273,0.0,0.0,0.0
2015-08-08 01:00:00,3049.0,3260,3421.0970201139367,0.0,0.0,0.0
2015-08-08 02:00:00,2918.0,2950,3229.1938348699578,0.0,0.0,0.0
2015-08-08 03:00:00,2708.0,2680,2936.224987759021,0.0,0.0,0.0
2015-08-08 04:00:00,2500.0,2480,2628.736924906819,0.0,0.0,0.0
2015-08-08 05:00:00,2307.0,2290,2386.731527713443,0.0,0.0,0.0
2015-08-08 06:00:00,2142.0,2160,2208.4090936161115,0.0,0.0,0.0
2015-08-08 07:00:00,2031.0,2060,2091.733757779087,0.0,0.0,0.0
2015-08-08 08:00:00,1943.0,2000,2023.477875632859,0.0,0.0,0.0
2015-08-08 09:00:00,1900.0,1960,2008.8867645917126,0.0,0.0,0.0
2015-08-08 10:00:00,1911.0,1970,2084.8512701072905,0.0,0.0,0.0
2015-08-08 11:00:00,1978.0,1990,2252.179800402906,0.0,0.0,0.0
2015-08-08 12:00:00,2068.0,2150,2330.6053449160995,0.0,0.0,0.0
2015-08-08 13:00:00,2327.0,2420,2494.987609165177,0.0,0.0,0.0
2015-08-08 14:00:00,2575.0,2670,2750.3680328286796,0.0,0.0,0.0
2015-08-08 15:00:00,2762.0,2790,3052.1225507765557,0.0,0.0,0.0
2015-08-08 16:00:00,2861.0,2850,3326.49939104583,0.0,0.0,0.0
2015-08-08 17:00:00,2701.0,2820,3565.341572219512,0.0,0.0,0.0
2015-08-08 18:00:00,2574.0,2770,3765.7489054940806,0.0,0.0,0.0
2015-08-08 19:00:00,2523.0,2700,3874.2078277564256,0.0,0.0,0.0
2015-08-08 20:00:00,2569.0,2700,3884.032441843896,0.0,0.0,0.0
2015-08-08 21:00:00,2700.0,2740,3879.475010329599,0.0,0.0,0.0
2015-08-08 22:00:00,2788.0,2700,3861.4245569097247,0.0,0.0,0.0
2015-08-08 23:00:00,2766.0,2660,3761.7140634401594,0.0,0.0,0.0
2015-08-09 00:00:00,2699.0,2650,3585.516160199125,0.0,0.0,0.0
2015-08-09 01:00:00,2707.0,2700,3453.507724281548,0.0,0.0,0.0
2015-08-09 02:00:00,2623.0,2600,3259.4854511715002,0.0,0.0,0.0
2015-08-09 03:00:00,2452.0,2350,2965.2982940949933,0.0,0.0,0.0
2015-08-09 04:00:00,2271.0,2150,2658.274506060041,0.0,0.0,0.0
2015-08-09 05:00:00,2087.0,2080,2417.495544283935,0.0,0.0,0.0
2015-08-09 06:00:00,1939.0,1980,2240.302190283274,0.0,0.0,0.0
2015-08-09 07:00:00,1854.0,1880,2122.191520159667,0.0,0.0,0.0
2015-08-09 08:00:00,1821.0,1820,2053.8570976667766,0.0,0.0,0.0
