Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,2366.0,2082,2416.2108082960267,0.0,0.0,0.0
2015-07-16 02:00:00,2351.0,2017,2314.3812983246085,0.0,0.0,0.0
2015-07-16 03:00:00,2285.0,1993,2279.0853611222337,0.0,0.0,0.0
2015-07-16 04:00:00,2192.0,1966,2201.8081463234603,0.0,0.0,0.0
2015-07-16 05:00:00,2053.0,1865,2051.3791002597272,0.0,0.0,0.0
2015-07-16 06:00:00,1852.0,1722,1909.7629717605512,0.0,0.0,0.0
2015-07-16 07:00:00,1694.0,1595,1799.08135095258,0.0,0.0,0.0
2015-07-16 08:00:00,1616.0,1471,1714.0323326873654,0.0,0.0,0.0
2015-07-16 09:00:00,1572.0,1418,1636.7112468668604,0.0,0.0,0.0
2015-07-16 10:00:00,1521.0,1376,1597.1745928188316,0.0,0.0,0.0
2015-07-16 11:00:00,1522.0,1354,1575.1690559892884,0.0,0.0,0.0
2015-07-16 12:00:00,1539.0,1346,1582.8338845858368,0.0,0.0,0.0
2015-07-16 13:00:00,1562.0,1378,1615.0443326748195,0.0,0.0,0.0
2015-07-16 14:00:00,1617.0,1454,1648.7153445952624,0.0,0.0,0.0
2015-07-16 15:00:00,1684.0,1581,1716.7423866495515,0.0,0.0,0.0
2015-07-16 16:00:00,1824.0,1734,1740.1113705305133,0.0,0.0,0.0
2015-07-16 17:00:00,1979.0,1896,1858.4016214185228,0.0,0.0,0.0
2015-07-16 18:00:00,2105.0,2056,1987.3822341588366,0.0,0.0,0.0
2015-07-16 19:00:00,2262.0,2214,2135.1319395503206,0.0,0.0,0.0
2015-07-16 20:00:00,2385.0,2343,2313.5461573001035,0.0,0.0,0.0
2015-07-16 21:00:00,2528.0,2439,2421.270012192504,0.0,0.0,0.0
2015-07-16 22:00:00,2581.0,2364,2534.841690215345,0.0,0.0,0.0
2015-07-16 23:00:00,2660.0,2241,2528.89339091344,0.0,0.0,0.0
2015-07-17 00:00:00,2612.0,2176,2533.2547287911084,0.0,0.0,0.0
2015-07-17 01:00:00,2479.0,2082,2518.743886465337,0.0,0.0,0.0
2015-07-17 02:00:00,2344.0,2017,2428.4705320322023,0.0,0.0,0.0
2015-07-17 03:00:00,2277.0,1993,2394.586728691737,0.0,0.0,0.0
2015-07-17 04:00:00,2180.0,1966,2317.1150707612314,0.0,0.0,0.0
2015-07-17 05:00:00,1995.0,1865,2163.187982310268,0.0,0.0,0.0
2015-07-17 06:00:00,1853.0,1722,1983.337425150306,0.0,0.0,0.0
2015-07-17 07:00:00,1735.0,1595,1839.6246553304238,0.0,0.0,0.0
2015-07-17 08:00:00,1660.0,1471,1754.2097062785526,0.0,0.0,0.0
2015-07-17 09:00:00,1596.0,1418,1695.3839298251862,0.0,0.0,0.0
2015-07-17 10:00:00,1564.0,1376,1646.501601467799,0.0,0.0,0.0
2015-07-17 11:00:00,1548.0,1354,1631.0880560799346,0.0,0.0,0.0
2015-07-17 12:00:00,1584.0,1346,1641.7344312993914,0.0,0.0,0.0
2015-07-17 13:00:00,1639.0,1378,1676.3827088972098,0.0,0.0,0.0
2015-07-17 14:00:00,1687.0,1454,1722.9112295483535,0.0,0.0,0.0
2015-07-17 15:00:00,1745.0,1581,1764.496795132923,0.0,0.0,0.0
2015-07-17 16:00:00,1799.0,1734,1822.4293517957208,0.0,0.0,0.0
2015-07-17 17:00:00,1899.0,1896,1929.777287954852,0.0,0.0,0.0
2015-07-17 18:00:00,1976.0,2056,2044.6584730569625,0.0,0.0,0.0
2015-07-17 19:00:00,2075.0,2214,2207.4826141866142,0.0,0.0,0.0
2015-07-17 20:00:00,2194.0,2343,2369.133732608972,0.0,0.0,0.0
2015-07-17 21:00:00,2265.0,2439,2487.2487659527883,0.0,0.0,0.0
2015-07-17 22:00:00,2270.0,2364,2597.431242523893,0.0,0.0,0.0
2015-07-17 23:00:00,2267.0,2241,2665.312427635037,0.0,0.0,0.0
2015-07-18 00:00:00,2288.0,2176,2663.3760893173594,0.0,0.0,0.0
2015-07-18 01:00:00,2303.0,2082,2187.1542904745174,0.0,0.0,0.0
2015-07-18 02:00:00,2213.0,2017,2116.6897958179393,0.0,0.0,0.0
2015-07-18 03:00:00,2199.0,1993,2050.71891312114,0.0,0.0,0.0
2015-07-18 04:00:00,2114.0,1966,1955.9502927956146,0.0,0.0,0.0
2015-07-18 05:00:00,1990.0,1865,1795.0301103627935,0.0,0.0,0.0
2015-07-18 06:00:00,1836.0,1722,1622.2062955396395,0.0,0.0,0.0
2015-07-18 07:00:00,1730.0,1595,1483.3044354811675,0.0,0.0,0.0
2015-07-18 08:00:00,1635.0,1471,1406.7374120814636,0.0,0.0,0.0
2015-07-18 09:00:00,1590.0,1418,1353.190093005121,0.0,0.0,0.0
2015-07-18 10:00:00,1537.0,1376,1311.2603343121202,0.0,0.0,0.0
2015-07-18 11:00:00,1516.0,1354,1304.1449318044292,0.0,0.0,0.0
2015-07-18 12:00:00,1507.0,1346,1330.2151128910448,0.0,0.0,0.0
2015-07-18 13:00:00,1492.0,1378,1368.4912002515325,0.0,0.0,0.0
2015-07-18 14:00:00,1485.0,1454,1420.1495568395335,0.0,0.0,0.0
2015-07-18 15:00:00,1565.0,1581,1482.8531577732235,0.0,0.0,0.0
2015-07-18 16:00:00,1708.0,1734,1581.7986767977573,0.0,0.0,0.0
2015-07-18 17:00:00,1790.0,1896,1710.5429040699619,0.0,0.0,0.0
2015-07-18 18:00:00,1912.0,2056,1813.1513974527725,0.0,0.0,0.0
2015-07-18 19:00:00,2039.0,2214,1942.4634916588784,0.0,0.0,0.0
2015-07-18 20:00:00,2216.0,2343,2063.553980914608,0.0,0.0,0.0
2015-07-18 21:00:00,2137.0,2439,2172.182787514533,0.0,0.0,0.0
2015-07-18 22:00:00,2043.0,2364,2202.268658581131,0.0,0.0,0.0
2015-07-18 23:00:00,1961.0,2241,2242.1236883198817,0.0,0.0,0.0
2015-07-19 00:00:00,1945.0,2176,2227.0627486616686,0.0,0.0,0.0
2015-07-19 01:00:00,1904.0,2082,1886.2904142998764,0.0,0.0,0.0
2015-07-19 02:00:00,1877.0,2017,1773.923081627758,0.0,0.0,0.0
2015-07-19 03:00:00,1903.0,1993,1733.742725633648,0.0,0.0,0.0
2015-07-19 04:00:00,1851.0,1966,1642.8144176058206,0.0,0.0,0.0
2015-07-19 05:00:00,1782.0,1865,1488.7285718092817,0.0,0.0,0.0
2015-07-19 06:00:00,1674.0,1722,1340.646005063474,0.0,0.0,0.0
2015-07-19 07:00:00,1578.0,1595,1228.7278215205604,0.0,0.0,0.0
2015-07-19 08:00:00,1507.0,1471,1143.5911812180534,0.0,0.0,0.0
2015-07-19 09:00:00,1476.0,1418,1089.2209471682318,0.0,0.0,0.0
2015-07-19 10:00:00,1440.0,1376,1046.5775100420396,0.0,0.0,0.0
2015-07-19 11:00:00,1405.0,1354,1028.043358336186,0.0,0.0,0.0
2015-07-19 12:00:00,1410.0,1346,1041.2359974160433,0.0,0.0,0.0
2015-07-19 13:00:00,1403.0,1378,1060.7578805903042,0.0,0.0,0.0
2015-07-19 14:00:00,1359.0,1454,1080.8822173862463,0.0,0.0,0.0
2015-07-19 15:00:00,1427.0,1581,1150.0324826632334,0.0,0.0,0.0
2015-07-19 16:00:00,1557.0,1734,1249.1403740176995,0.0,0.0,0.0
2015-07-19 17:00:00,1644.0,1896,1340.0174296986306,0.0,0.0,0.0
2015-07-19 18:00:00,1777.0,2056,1439.8247904960215,0.0,0.0,0.0
2015-07-19 19:00:00,1913.0,2214,1553.016037214408,0.0,0.0,0.0
2015-07-19 20:00:00,2072.0,2343,1701.4121911310772,0.0,0.0,0.0
2015-07-19 21:00:00,2105.0,2439,1696.387655139689,0.0,0.0,0.0
2015-07-19 22:00:00,2175.0,2364,1651.211461385373,0.0,0.0,0.0
2015-07-19 23:00:00,2154.0,2241,1608.1718724299085,0.0,0.0,0.0
2015-07-20 00:00:00,2228.0,2176,1610.4191535520324,0.0,0.0,0.0
2015-07-20 01:00:00,2206.0,2082,2233.4364348540594,0.0,0.0,0.0
2015-07-20 02:00:00,2182.0,2017,2178.514123961528,0.0,0.0,0.0
2015-07-20 03:00:00,2163.0,1993,2185.0846377323905,0.0,0.0,0.0
2015-07-20 04:00:00,2075.0,1966,2116.4224975906573,0.0,0.0,0.0
2015-07-20 05:00:00,1950.0,1865,2019.2640404239155,0.0,0.0,0.0
2015-07-20 06:00:00,1815.0,1722,1887.673254624776,0.0,0.0,0.0
2015-07-20 07:00:00,1699.0,1595,1786.5453641112924,0.0,0.0,0.0
2015-07-20 08:00:00,1616.0,1471,1703.2293098429896,0.0,0.0,0.0
2015-07-20 09:00:00,1541.0,1418,1665.0445918924302,0.0,0.0,0.0
2015-07-20 10:00:00,1494.0,1376,1620.3200374616324,0.0,0.0,0.0
2015-07-20 11:00:00,1476.0,1354,1592.5050350171718,0.0,0.0,0.0
2015-07-20 12:00:00,1486.0,1346,1590.320057885351,0.0,0.0,0.0
2015-07-20 13:00:00,1526.0,1378,1579.2143553543174,0.0,0.0,0.0
2015-07-20 14:00:00,1570.0,1454,1554.203234509455,0.0,0.0,0.0
2015-07-20 15:00:00,1639.0,1581,1628.3617898921136,0.0,0.0,0.0
2015-07-20 16:00:00,1754.0,1734,1765.0335581707284,0.0,0.0,0.0
2015-07-20 17:00:00,1879.0,1896,1849.4674934581449,0.0,0.0,0.0
2015-07-20 18:00:00,1972.0,2056,1976.8221510828205,0.0,0.0,0.0
2015-07-20 19:00:00,2149.0,2214,2108.2032345933635,0.0,0.0,0.0
