Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-09-29 01:00:00,2477.0,2668,2475.003132225997,0.0,0.0,0.0
2015-09-29 02:00:00,2449.0,2566,2372.437430013165,0.0,0.0,0.0
2015-09-29 03:00:00,2294.0,2469,2235.948464533878,0.0,0.0,0.0
2015-09-29 04:00:00,2155.0,2403,2126.3037968589733,0.0,0.0,0.0
2015-09-29 05:00:00,1969.0,2311,1980.272026827449,0.0,0.0,0.0
2015-09-29 06:00:00,1768.0,2108,1813.6567808145533,0.0,0.0,0.0
2015-09-29 07:00:00,1651.0,1881,1688.3587370340247,0.0,0.0,0.0
2015-09-29 08:00:00,1561.0,1785,1612.8558889457956,0.0,0.0,0.0
2015-09-29 09:00:00,1502.0,1627,1550.929903601141,0.0,0.0,0.0
2015-09-29 10:00:00,1443.0,1547,1529.785949339864,0.0,0.0,0.0
2015-09-29 11:00:00,1407.0,1505,1514.8954427970612,0.0,0.0,0.0
2015-09-29 12:00:00,1451.0,1490,1530.7523964041147,0.0,0.0,0.0
2015-09-29 13:00:00,1553.0,1500,1605.4665182435156,0.0,0.0,0.0
2015-09-29 14:00:00,1603.0,1584,1628.4444197638454,0.0,0.0,0.0
2015-09-29 15:00:00,1673.0,1683,1723.4114966988732,0.0,0.0,0.0
2015-09-29 16:00:00,1792.0,1785,1841.0708006087846,0.0,0.0,0.0
2015-09-29 17:00:00,1915.0,1948,1999.3016324597022,0.0,0.0,0.0
2015-09-29 18:00:00,2036.0,2171,2161.1038541365447,0.0,0.0,0.0
2015-09-29 19:00:00,2218.0,2342,2309.455520496441,0.0,0.0,0.0
2015-09-29 20:00:00,2357.0,2482,2443.576491592529,0.0,0.0,0.0
2015-09-29 21:00:00,2462.0,2621,2560.972047710299,0.0,0.0,0.0
2015-09-29 22:00:00,2563.0,2710,2620.774269641581,0.0,0.0,0.0
2015-09-29 23:00:00,2593.0,2763,2657.8512138335755,0.0,0.0,0.0
2015-09-30 00:00:00,2581.0,2783,2625.994129800505,0.0,0.0,0.0
2015-09-30 01:00:00,2486.0,2758,2540.787375675341,0.0,0.0,0.0
2015-09-30 02:00:00,2398.0,2671,2435.5257081065256,0.0,0.0,0.0
2015-09-30 03:00:00,2260.0,2611,2298.126143903683,0.0,0.0,0.0
2015-09-30 04:00:00,2144.0,2541,2184.7262302059817,0.0,0.0,0.0
2015-09-30 05:00:00,1948.0,2403,2035.0795925132165,0.0,0.0,0.0
2015-09-30 06:00:00,1747.0,2195,1867.962180877879,0.0,0.0,0.0
2015-09-30 07:00:00,1613.0,1956,1742.4095804864576,0.0,0.0,0.0
2015-09-30 08:00:00,1543.0,1686,1673.6165843384888,0.0,0.0,0.0
2015-09-30 09:00:00,1484.0,1655,1609.850564047985,0.0,0.0,0.0
2015-09-30 10:00:00,1453.0,1556,1593.835757390928,0.0,0.0,0.0
