Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,2367.0,2082,2354.999233693156,0.0,0.0,0.0
2015-08-07 02:00:00,2349.0,2017,2286.279354523645,0.0,0.0,0.0
2015-08-07 03:00:00,2326.0,1993,2210.7084384981604,0.0,0.0,0.0
2015-08-07 04:00:00,2257.0,1966,2049.041019723067,0.0,0.0,0.0
2015-08-07 05:00:00,2091.0,1865,1863.1584244443295,0.0,0.0,0.0
2015-08-07 06:00:00,1942.0,1722,1665.8338687359992,0.0,0.0,0.0
2015-08-07 07:00:00,1809.0,1595,1518.2252325977936,0.0,0.0,0.0
2015-08-07 08:00:00,1713.0,1471,1407.0578583762024,0.0,0.0,0.0
2015-08-07 09:00:00,1651.0,1418,1320.6179244925816,0.0,0.0,0.0
2015-08-07 10:00:00,1624.0,1376,1277.7591385300802,0.0,0.0,0.0
2015-08-07 11:00:00,1597.0,1354,1259.8540758706954,0.0,0.0,0.0
2015-08-07 12:00:00,1651.0,1346,1284.8360406680094,0.0,0.0,0.0
2015-08-07 13:00:00,1703.0,1378,1322.5192880854268,0.0,0.0,0.0
2015-08-07 14:00:00,1775.0,1454,1379.8235899912372,0.0,0.0,0.0
2015-08-07 15:00:00,1867.0,1581,1440.6499104628913,0.0,0.0,0.0
2015-08-07 16:00:00,1942.0,1734,1491.8677644964655,0.0,0.0,0.0
2015-08-07 17:00:00,2036.0,1896,1597.2534199090096,0.0,0.0,0.0
2015-08-07 18:00:00,2152.0,2056,1714.428075254628,0.0,0.0,0.0
2015-08-07 19:00:00,2317.0,2214,1818.1247982777293,0.0,0.0,0.0
2015-08-07 20:00:00,2381.0,2343,1873.1257453311275,0.0,0.0,0.0
2015-08-07 21:00:00,2478.0,2439,1971.8470127364237,0.0,0.0,0.0
2015-08-07 22:00:00,2505.0,2364,2032.294500029409,0.0,0.0,0.0
2015-08-07 23:00:00,2393.0,2241,2110.785177385132,0.0,0.0,0.0
2015-08-08 00:00:00,2261.0,2176,2153.8028757969187,0.0,0.0,0.0
2015-08-08 01:00:00,2219.0,2082,2180.7897539551354,0.0,0.0,0.0
2015-08-08 02:00:00,2123.0,2017,2090.5356515382173,0.0,0.0,0.0
2015-08-08 03:00:00,2106.0,1993,2014.7461933252273,0.0,0.0,0.0
2015-08-08 04:00:00,2026.0,1966,1851.890738095834,0.0,0.0,0.0
2015-08-08 05:00:00,1908.0,1865,1671.5508950998362,0.0,0.0,0.0
2015-08-08 06:00:00,1760.0,1722,1477.4475788745285,0.0,0.0,0.0
2015-08-08 07:00:00,1641.0,1595,1335.7514840747015,0.0,0.0,0.0
2015-08-08 08:00:00,1555.0,1471,1230.271906502106,0.0,0.0,0.0
2015-08-08 09:00:00,1502.0,1418,1142.528072956039,0.0,0.0,0.0
2015-08-08 10:00:00,1467.0,1376,1109.7838165158164,0.0,0.0,0.0
2015-08-08 11:00:00,1446.0,1354,1089.2837868608096,0.0,0.0,0.0
2015-08-08 12:00:00,1440.0,1346,1114.784260046891,0.0,0.0,0.0
2015-08-08 13:00:00,1431.0,1378,1161.2873218052885,0.0,0.0,0.0
2015-08-08 14:00:00,1466.0,1454,1224.0391850242293,0.0,0.0,0.0
2015-08-08 15:00:00,1516.0,1581,1275.7861566865145,0.0,0.0,0.0
2015-08-08 16:00:00,1625.0,1734,1307.029469317003,0.0,0.0,0.0
2015-08-08 17:00:00,1726.0,1896,1387.7712144195666,0.0,0.0,0.0
2015-08-08 18:00:00,1901.0,2056,1472.2602641445305,0.0,0.0,0.0
2015-08-08 19:00:00,2033.0,2214,1528.7444464108078,0.0,0.0,0.0
2015-08-08 20:00:00,2168.0,2343,1541.9804536842748,0.0,0.0,0.0
2015-08-08 21:00:00,2266.0,2439,1606.719068262303,0.0,0.0,0.0
2015-08-08 22:00:00,2360.0,2364,1654.7148965043598,0.0,0.0,0.0
2015-08-08 23:00:00,2351.0,2241,1733.464983419742,0.0,0.0,0.0
2015-08-09 00:00:00,2205.0,2176,1817.7288024021786,0.0,0.0,0.0
2015-08-09 01:00:00,2143.0,2082,1858.983007756615,0.0,0.0,0.0
2015-08-09 02:00:00,2090.0,2017,1779.6967730223696,0.0,0.0,0.0
2015-08-09 03:00:00,2091.0,1993,1704.018623295788,0.0,0.0,0.0
2015-08-09 04:00:00,2002.0,1966,1541.7682619433947,0.0,0.0,0.0
2015-08-09 05:00:00,1892.0,1865,1358.6053696580645,0.0,0.0,0.0
2015-08-09 06:00:00,1778.0,1722,1162.8614031980999,0.0,0.0,0.0
2015-08-09 07:00:00,1663.0,1595,1018.1539171666217,0.0,0.0,0.0
2015-08-09 08:00:00,1576.0,1471,909.7774159234849,0.0,0.0,0.0
2015-08-09 09:00:00,1534.0,1418,822.6976880108036,0.0,0.0,0.0
2015-08-09 10:00:00,1490.0,1376,784.801872575473,0.0,0.0,0.0
2015-08-09 11:00:00,1462.0,1354,765.6235183912689,0.0,0.0,0.0
2015-08-09 12:00:00,1451.0,1346,790.8599035099509,0.0,0.0,0.0
2015-08-09 13:00:00,1437.0,1378,832.8708340423352,0.0,0.0,0.0
2015-08-09 14:00:00,1414.0,1454,892.8481308889851,0.0,0.0,0.0
2015-08-09 15:00:00,1473.0,1581,949.2194205608824,0.0,0.0,0.0
2015-08-09 16:00:00,1626.0,1734,990.636219581575,0.0,0.0,0.0
2015-08-09 17:00:00,1800.0,1896,1083.9296664269018,0.0,0.0,0.0
2015-08-09 18:00:00,1971.0,2056,1185.0662354729318,0.0,0.0,0.0
2015-08-09 19:00:00,2137.0,2214,1265.5968341822074,0.0,0.0,0.0
2015-08-09 20:00:00,2273.0,2343,1300.1046713247295,0.0,0.0,0.0
2015-08-09 21:00:00,2415.0,2439,1382.1514207462353,0.0,0.0,0.0
2015-08-09 22:00:00,2476.0,2364,1436.4891609918652,0.0,0.0,0.0
2015-08-09 23:00:00,2383.0,2241,1515.1071247424934,0.0,0.0,0.0
2015-08-10 00:00:00,2274.0,2176,1578.363360231203,0.0,0.0,0.0
2015-08-10 01:00:00,2272.0,2082,1612.3508926680374,0.0,0.0,0.0
2015-08-10 02:00:00,2152.0,2017,1527.478474484194,0.0,0.0,0.0
2015-08-10 03:00:00,2117.0,1993,1451.7436328241788,0.0,0.0,0.0
2015-08-10 04:00:00,2018.0,1966,1289.1850834539364,0.0,0.0,0.0
2015-08-10 05:00:00,1901.0,1865,1107.460034118005,0.0,0.0,0.0
2015-08-10 06:00:00,1735.0,1722,912.551687985764,0.0,0.0,0.0
2015-08-10 07:00:00,1626.0,1595,769.3779717211377,0.0,0.0,0.0
2015-08-10 08:00:00,1587.0,1471,662.4769393231159,0.0,0.0,0.0
2015-08-10 09:00:00,1526.0,1418,575.0589673683527,0.0,0.0,0.0
2015-08-10 10:00:00,1502.0,1376,539.7869576198435,0.0,0.0,0.0
2015-08-10 11:00:00,1493.0,1354,519.9354441804086,0.0,0.0,0.0
2015-08-10 12:00:00,1529.0,1346,545.3063353338117,0.0,0.0,0.0
2015-08-10 13:00:00,1599.0,1378,589.6052100531798,0.0,0.0,0.0
2015-08-10 14:00:00,1681.0,1454,650.9956564013677,0.0,0.0,0.0
2015-08-10 15:00:00,1669.0,1581,705.0116761631633,0.0,0.0,0.0
2015-08-10 16:00:00,1723.0,1734,741.2468881204513,0.0,0.0,0.0
2015-08-10 17:00:00,1860.0,1896,828.147468953136,0.0,0.0,0.0
2015-08-10 18:00:00,1979.0,2056,920.8050793174228,0.0,0.0,0.0
2015-08-10 19:00:00,2089.0,2214,989.0882934445308,0.0,0.0,0.0
2015-08-10 20:00:00,2239.0,2343,1012.7619057955818,0.0,0.0,0.0
2015-08-10 21:00:00,2335.0,2439,1085.993230085838,0.0,0.0,0.0
2015-08-10 22:00:00,2501.0,2364,1137.1008908941374,0.0,0.0,0.0
2015-08-10 23:00:00,2554.0,2241,1215.786147965364,0.0,0.0,0.0
2015-08-11 00:00:00,2461.0,2176,1289.742021581009,0.0,0.0,0.0
2015-08-11 01:00:00,2430.0,2082,1327.4306351359253,0.0,0.0,0.0
2015-08-11 02:00:00,2364.0,2017,1245.4033867184773,0.0,0.0,0.0
2015-08-11 03:00:00,2311.0,1993,1169.6974195443179,0.0,0.0,0.0
2015-08-11 04:00:00,2219.0,1966,1007.2958373124914,0.0,0.0,0.0
2015-08-11 05:00:00,2044.0,1865,824.8384619931109,0.0,0.0,0.0
2015-08-11 06:00:00,1870.0,1722,629.5045154998944,0.0,0.0,0.0
2015-08-11 07:00:00,1728.0,1595,485.5496155508025,0.0,0.0,0.0
2015-08-11 08:00:00,1639.0,1471,377.89709344835967,0.0,0.0,0.0
2015-08-11 09:00:00,1582.0,1418,290.6513968459687,0.0,0.0,0.0
2015-08-11 10:00:00,1545.0,1376,254.04302342798897,0.0,0.0,0.0
2015-08-11 11:00:00,1536.0,1354,234.53436524531966,0.0,0.0,0.0
2015-08-11 12:00:00,1562.0,1346,259.836749428474,0.0,0.0,0.0
2015-08-11 13:00:00,1624.0,1378,302.9703223480105,0.0,0.0,0.0
2015-08-11 14:00:00,1727.0,1454,363.64101964508865,0.0,0.0,0.0
2015-08-11 15:00:00,1798.0,1581,418.8566317225295,0.0,0.0,0.0
2015-08-11 16:00:00,1745.0,1734,457.7309433420037,0.0,0.0,0.0
2015-08-11 17:00:00,1702.0,1896,547.8875556430237,0.0,0.0,0.0
2015-08-11 18:00:00,1704.0,2056,644.8636917251772,0.0,0.0,0.0
2015-08-11 19:00:00,1820.0,2214,719.3847762417917,0.0,0.0,0.0
2015-08-11 20:00:00,2049.0,2343,748.5765046907379,0.0,0.0,0.0
2015-08-11 21:00:00,2150.0,2439,826.2977246830693,0.0,0.0,0.0
2015-08-11 22:00:00,2213.0,2364,879.0505381149918,0.0,0.0,0.0
2015-08-11 23:00:00,2348.0,2241,957.7015211737421,0.0,0.0,0.0
