Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,24356.0,25345,24929.689790208384,0.0,0.0,0.0
2015-07-16 02:00:00,23856.0,24832,24632.488497918668,0.0,0.0,0.0
2015-07-16 03:00:00,22633.0,23605,23721.232304962945,0.0,0.0,0.0
2015-07-16 04:00:00,20730.0,21557,22138.790765728638,0.0,0.0,0.0
2015-07-16 05:00:00,18846.0,19694,20614.08643653166,0.0,0.0,0.0
2015-07-16 06:00:00,17421.0,17450,19420.03282148069,0.0,0.0,0.0
2015-07-16 07:00:00,16401.0,16575,18652.623954730687,0.0,0.0,0.0
2015-07-16 08:00:00,15676.0,15904,18202.836756095632,0.0,0.0,0.0
2015-07-16 09:00:00,15434.0,15606,17895.31646538046,0.0,0.0,0.0
2015-07-16 10:00:00,15614.0,15689,17955.26700816381,0.0,0.0,0.0
2015-07-16 11:00:00,16165.0,16311,18693.720891561392,0.0,0.0,0.0
2015-07-16 12:00:00,17046.0,17088,19464.02449268544,0.0,0.0,0.0
2015-07-16 13:00:00,18327.0,18384,20675.30733497147,0.0,0.0,0.0
2015-07-16 14:00:00,19804.0,19812,21878.68271875633,0.0,0.0,0.0
2015-07-16 15:00:00,21514.0,21394,23274.397140946094,0.0,0.0,0.0
2015-07-16 16:00:00,23096.0,23059,24749.606218235465,0.0,0.0,0.0
2015-07-16 17:00:00,24239.0,24342,25960.78631477809,0.0,0.0,0.0
2015-07-16 18:00:00,25273.0,25393,27074.410999899246,0.0,0.0,0.0
2015-07-16 19:00:00,26200.0,26317,28016.86863781267,0.0,0.0,0.0
2015-07-16 20:00:00,26844.0,26941,28547.38790528542,0.0,0.0,0.0
2015-07-16 21:00:00,27255.0,27353,28660.73125734062,0.0,0.0,0.0
2015-07-16 22:00:00,27303.0,27400,28309.97833630926,0.0,0.0,0.0
2015-07-16 23:00:00,27109.0,27042,27647.17003022037,0.0,0.0,0.0
2015-07-17 00:00:00,26613.0,26294,26712.155284266406,0.0,0.0,0.0
2015-07-17 01:00:00,25480.0,25362,25745.886991546908,0.0,0.0,0.0
2015-07-17 02:00:00,24928.0,25015,25485.967941162806,0.0,0.0,0.0
2015-07-17 03:00:00,23597.0,23745,24506.64465892134,0.0,0.0,0.0
2015-07-17 04:00:00,21598.0,21637,22847.891556744897,0.0,0.0,0.0
2015-07-17 05:00:00,19608.0,19747,21166.626355512664,0.0,0.0,0.0
2015-07-17 06:00:00,18223.0,18124,19872.655196887714,0.0,0.0,0.0
2015-07-17 07:00:00,17200.0,17177,18990.64231075732,0.0,0.0,0.0
2015-07-17 08:00:00,16521.0,16463,18389.90555230174,0.0,0.0,0.0
2015-07-17 09:00:00,16115.0,16129,18152.840483574604,0.0,0.0,0.0
2015-07-17 10:00:00,16296.0,16231,18289.141270251803,0.0,0.0,0.0
2015-07-17 11:00:00,16816.0,16686,18901.316929500357,0.0,0.0,0.0
2015-07-17 12:00:00,17605.0,17533,19770.265214148854,0.0,0.0,0.0
2015-07-17 13:00:00,18840.0,18930,21025.537131461788,0.0,0.0,0.0
2015-07-17 14:00:00,20556.0,20591,22432.841793105006,0.0,0.0,0.0
2015-07-17 15:00:00,22532.0,22585,24039.192451484414,0.0,0.0,0.0
2015-07-17 16:00:00,24544.0,24536,25624.847986145065,0.0,0.0,0.0
2015-07-17 17:00:00,25910.0,25980,26794.52394447604,0.0,0.0,0.0
2015-07-17 18:00:00,26979.0,26957,27847.837349727335,0.0,0.0,0.0
2015-07-17 19:00:00,27832.0,27801,28783.023783651366,0.0,0.0,0.0
2015-07-17 20:00:00,28399.0,28414,29438.27743862688,0.0,0.0,0.0
2015-07-17 21:00:00,28708.0,28602,29848.868009637787,0.0,0.0,0.0
2015-07-17 22:00:00,28741.0,28567,29913.08921317052,0.0,0.0,0.0
2015-07-17 23:00:00,28359.0,28152,29651.113914878028,0.0,0.0,0.0
2015-07-18 00:00:00,27640.0,27276,29061.731657575277,0.0,0.0,0.0
2015-07-18 01:00:00,26448.0,26094,26369.37687948075,0.0,0.0,0.0
2015-07-18 02:00:00,25871.0,25643,25770.77687608649,0.0,0.0,0.0
2015-07-18 03:00:00,24613.0,24453,24430.20628885173,0.0,0.0,0.0
2015-07-18 04:00:00,22592.0,22606,22431.14703409395,0.0,0.0,0.0
2015-07-18 05:00:00,20958.0,20710,20453.58613784597,0.0,0.0,0.0
2015-07-18 06:00:00,19346.0,19170,19040.8727753477,0.0,0.0,0.0
2015-07-18 07:00:00,18175.0,18050,18008.418089842344,0.0,0.0,0.0
2015-07-18 08:00:00,17345.0,17296,17307.463622395484,0.0,0.0,0.0
2015-07-18 09:00:00,16809.0,16737,16948.79115841059,0.0,0.0,0.0
2015-07-18 10:00:00,16512.0,16497,17125.942753778545,0.0,0.0,0.0
2015-07-18 11:00:00,16427.0,16417,17653.38519777546,0.0,0.0,0.0
2015-07-18 12:00:00,16574.0,16566,18470.05886208068,0.0,0.0,0.0
2015-07-18 13:00:00,17912.0,17873,19718.557424053277,0.0,0.0,0.0
2015-07-18 14:00:00,20082.0,19894,21357.375983887043,0.0,0.0,0.0
2015-07-18 15:00:00,22161.0,22093,23247.821980952438,0.0,0.0,0.0
2015-07-18 16:00:00,24146.0,24085,25122.05484690081,0.0,0.0,0.0
2015-07-18 17:00:00,25538.0,25453,26416.53578468319,0.0,0.0,0.0
