Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-07-16 01:00:00,3270.0,3486,3239.586176253767,0.0,0.0,0.0
2015-07-16 02:00:00,3197.0,3413,3151.5857876148298,0.0,0.0,0.0
2015-07-16 03:00:00,3179.0,3362,3120.9543593462904,0.0,0.0,0.0
2015-07-16 04:00:00,3126.0,3311,3027.646434109144,0.0,0.0,0.0
2015-07-16 05:00:00,2933.0,3180,2809.8753241939744,0.0,0.0,0.0
2015-07-16 06:00:00,2880.0,3135,2737.907873240187,0.0,0.0,0.0
2015-07-16 07:00:00,2761.0,2964,2589.829873739024,0.0,0.0,0.0
2015-07-16 08:00:00,2677.0,2789,2512.486129316456,0.0,0.0,0.0
2015-07-16 09:00:00,2618.0,2846,2497.595259379584,0.0,0.0,0.0
2015-07-16 10:00:00,2585.0,2815,2453.846287346524,0.0,0.0,0.0
2015-07-16 11:00:00,2627.0,2817,2472.025685886579,0.0,0.0,0.0
2015-07-16 12:00:00,2685.0,2865,2534.541375092177,0.0,0.0,0.0
2015-07-16 13:00:00,2774.0,2822,2663.798535655608,0.0,0.0,0.0
2015-07-16 14:00:00,2929.0,2946,2781.6116341427946,0.0,0.0,0.0
2015-07-16 15:00:00,2962.0,2972,2855.776027945631,0.0,0.0,0.0
2015-07-16 16:00:00,3082.0,3119,2878.094577056035,0.0,0.0,0.0
2015-07-16 17:00:00,3186.0,3230,2999.610266179269,0.0,0.0,0.0
2015-07-16 18:00:00,3280.0,3330,3103.946556357222,0.0,0.0,0.0
2015-07-16 19:00:00,3362.0,3429,3162.525001973537,0.0,0.0,0.0
2015-07-16 20:00:00,3362.0,3494,3230.665520101432,0.0,0.0,0.0
2015-07-16 21:00:00,3497.0,3555,3280.125955302537,0.0,0.0,0.0
2015-07-16 22:00:00,3572.0,3597,3266.0004423164323,0.0,0.0,0.0
2015-07-16 23:00:00,3611.0,3626,3216.5475096862206,0.0,0.0,0.0
2015-07-17 00:00:00,3610.0,3614,3163.368110740905,0.0,0.0,0.0
2015-07-17 01:00:00,3511.0,3553,3540.557797447876,0.0,0.0,0.0
2015-07-17 02:00:00,3422.0,3468,3465.6635374442217,0.0,0.0,0.0
2015-07-17 03:00:00,3366.0,3419,3447.8646047786156,0.0,0.0,0.0
2015-07-17 04:00:00,3304.0,3375,3389.442268421708,0.0,0.0,0.0
2015-07-17 05:00:00,3087.0,3222,3195.0364764918813,0.0,0.0,0.0
2015-07-17 06:00:00,3011.0,3166,3140.6306844887263,0.0,0.0,0.0
2015-07-17 07:00:00,2860.0,2968,3020.1244787696724,0.0,0.0,0.0
