Date,Demand,US Forecast,Prediction,RF Prediction,MLP Prediction,SVM Prediction
2015-08-07 01:00:00,1278.0,1264,1302.8749225644947,0.0,0.0,0.0
2015-08-07 02:00:00,1255.0,1197,1266.5351309063874,0.0,0.0,0.0
2015-08-07 03:00:00,1210.0,1148,1234.1411916824293,0.0,0.0,0.0
2015-08-07 04:00:00,1167.0,1143,1231.4077007696367,0.0,0.0,0.0
2015-08-07 05:00:00,1123.0,1098,1151.1257582226915,0.0,0.0,0.0
2015-08-07 06:00:00,1196.0,1163,1126.1984860651285,0.0,0.0,0.0
2015-08-07 07:00:00,1146.0,1116,1044.1698433591773,0.0,0.0,0.0
2015-08-07 08:00:00,1089.0,1059,988.2689717594387,0.0,0.0,0.0
2015-08-07 09:00:00,1060.0,1032,946.1984860652907,0.0,0.0,0.0
2015-08-07 10:00:00,1049.0,999,903.6346005121077,0.0,0.0,0.0
2015-08-07 11:00:00,1029.0,984,894.9870289828473,0.0,0.0,0.0
2015-08-07 12:00:00,1038.0,987,885.8042146065128,0.0,0.0,0.0
2015-08-07 13:00:00,1047.0,1014,901.7337289123648,0.0,0.0,0.0
2015-08-07 14:00:00,1087.0,1032,916.8879005825901,0.0,0.0,0.0
2015-08-07 15:00:00,1126.0,1070,957.8592578764805,0.0,0.0,0.0
2015-08-07 16:00:00,1176.0,1125,1022.2953723232972,0.0,0.0,0.0
2015-08-07 17:00:00,1231.0,1204,1099.9429438525576,0.0,0.0,0.0
2015-08-07 18:00:00,1282.0,1276,1166.2226444868982,0.0,0.0,0.0
2015-08-07 19:00:00,1344.0,1348,1221.9825446983455,0.0,0.0,0.0
2015-08-07 20:00:00,1226.0,1261,1184.2490450507566,0.0,0.0,0.0
2015-08-07 21:00:00,1239.0,1300,1222.4450597090206,0.0,0.0,0.0
2015-08-07 22:00:00,1289.0,1319,1243.108073662461,0.0,0.0,0.0
2015-08-07 23:00:00,1283.0,1297,1255.5023451212394,0.0,0.0,0.0
2015-08-08 00:00:00,1238.0,1256,1267.2776877568665,0.0,0.0,0.0
2015-08-08 01:00:00,1186.0,1175,1250.2812266483295,0.0,0.0,0.0
2015-08-08 02:00:00,1152.0,1136,1211.775569829202,0.0,0.0,0.0
2015-08-08 03:00:00,1122.0,1107,1180.0294738303228,0.0,0.0,0.0
2015-08-08 04:00:00,1079.0,1077,1169.7360064661145,0.0,0.0,0.0
