Authority,Demand_API
LGEE,"""EBA.LGEE-ALL.D.H"""
DOPD,"""EBA.DOPD-ALL.D.H"""
PACE,"""EBA.PACE-ALL.D.H"""
AEC,"""EBA.AEC-ALL.D.H"""
IPCO,"""EBA.IPCO-ALL.D.H"""
WACM,"""EBA.WACM-ALL.D.H"""
TEPC,"""EBA.TEPC-ALL.D.H"""
PGE,"""EBA.PGE-ALL.D.H"""
TIDC,"""EBA.TIDC-ALL.D.H"""
BANC,"""EBA.BANC-ALL.D.H"""
ISNE,"""EBA.ISNE-ALL.D.H"""
PSCO,"""EBA.PSCO-ALL.D.H"""
EPE,"""EBA.EPE-ALL.D.H"""
FMPP,"""EBA.FMPP-ALL.D.H"""
WWA,"""EBA.WWA-ALL.D.H"""
HST,"""EBA.HST-ALL.D.H"""
MISO,"""EBA.MISO-ALL.D.H"""
WAUW,"""EBA.WAUW-ALL.D.H"""
CISO,"""EBA.CISO-ALL.D.H"""
CHPD,"""EBA.CHPD-ALL.D.H"""
SEC,"""EBA.SEC-ALL.D.H"""
SRP,"""EBA.SRP-ALL.D.H"""
FPL,"""EBA.FPL-ALL.D.H"""
PJM,"""EBA.PJM-ALL.D.H"""
NEVP,"""EBA.NEVP-ALL.D.H"""
SCEG,"""EBA.SCEG-ALL.D.H"""
AECI,"""EBA.AECI-ALL.D.H"""
EEI,"""EBA.EEI-ALL.D.H"""
NYIS,"""EBA.NYIS-ALL.D.H"""
IID,"""EBA.IID-ALL.D.H"""
PACW,"""EBA.PACW-ALL.D.H"""
TAL,"""EBA.TAL-ALL.D.H"""
SOCO,"""EBA.SOCO-ALL.D.H"""
AVA,"""EBA.AVA-ALL.D.H"""
WALC,"""EBA.WALC-ALL.D.H"""
GVL,"""EBA.GVL-ALL.D.H"""
OVEC,"""EBA.OVEC-ALL.D.H"""
CPLE,"""EBA.CPLE-ALL.D.H"""
NSB,"""EBA.NSB-ALL.D.H"""
CPLW,"""EBA.CPLW-ALL.D.H"""
SC,"""EBA.SC-ALL.D.H"""
TPWR,"""EBA.TPWR-ALL.D.H"""
DUK,"""EBA.DUK-ALL.D.H"""
AZPS,"""EBA.AZPS-ALL.D.H"""
JEA,"""EBA.JEA-ALL.D.H"""
PNM,"""EBA.PNM-ALL.D.H"""
SCL,"""EBA.SCL-ALL.D.H"""
NWMT,"""EBA.NWMT-ALL.D.H"""
GCPD,"""EBA.GCPD-ALL.D.H"""
SPA,"""EBA.SPA-ALL.D.H"""
LDWP,"""EBA.LDWP-ALL.D.H"""
TVA,"""EBA.TVA-ALL.D.H"""
PSEI,"""EBA.PSEI-ALL.D.H"""
FPC,"""EBA.FPC-ALL.D.H"""
BPAT,"""EBA.BPAT-ALL.D.H"""
SWPP,"""EBA.SWPP-ALL.D.H"""
TEC,"""EBA.TEC-ALL.D.H"""
ERCO,"""EBA.ERCO-ALL.D.H"""
