BA,Demand_API,Name,TimeZone,Region,State
DUK,"""EBA.DUK-ALL.D.H""",Duke Energy Carolinas,Eastern,Carolinas,North Carolina
GCPD,"""EBA.GCPD-ALL.D.H""","Public Utility District No. 2 of Grant County, Washington",Pacific,Northwest,Washington
TAL,"""EBA.TAL-ALL.D.H""","Tallahassee, City of",Eastern,Florida,Florida
SEC,"""EBA.SEC-ALL.D.H""",Seminole Electric Cooperative,Eastern,Florida,Florida
SCEG,"""EBA.SCEG-ALL.D.H""",South Carolina Electric & Gas Company,Eastern,Carolinas,South Carolina
CPLW,"""EBA.CPLW-ALL.D.H""",Duke Energy Progress West,Eastern,Carolinas,North Carolina
CISO,"""EBA.CISO-ALL.D.H""",California Independent System Operator,Pacific,California,California
EEI,"""EBA.EEI-ALL.D.H""","Electric Energy, Inc.",Central,Midwest,Illinois
FPC,"""EBA.FPC-ALL.D.H""","Duke Energy Florida, Inc.",Eastern,Florida,Florida
TPWR,"""EBA.TPWR-ALL.D.H""","City of Tacoma, Department of Public Utilities, Light Division",Pacific,Northwest,Washington
AZPS,"""EBA.AZPS-ALL.D.H""",Arizona Public Service Company,Arizona,Southwest,Arizona
LDWP,"""EBA.LDWP-ALL.D.H""",Los Angeles Department of Water and Power,Pacific,California,California
AVA,"""EBA.AVA-ALL.D.H""",Avista Corporation,Pacific,Northwest,Washington
OVEC,"""EBA.OVEC-ALL.D.H""",Ohio Valley Electric Corporation,Eastern,Mid-Atlantic,Ohio
PSCO,"""EBA.PSCO-ALL.D.H""",Public Service Company of Colorado,Mountain,Northwest,Colorado
SOCO,"""EBA.SOCO-ALL.D.H""","Southern Company Services, Inc. - Trans",Central,Southeast,Georgia
CHPD,"""EBA.CHPD-ALL.D.H""",Public Utility District No. 1 of Chelan County,Pacific,Northwest,Washington
JEA,"""EBA.JEA-ALL.D.H""","JEA (Jacksonville, FL)",Eastern,Florida,Florida
WWA,"""EBA.WWA-ALL.D.H""","NaturEner Wind Watch, LLC",Mountain,Northwest,California
TEPC,"""EBA.TEPC-ALL.D.H""",Tucson Electric Power,Arizona,Southwest,Arizona
WALC,"""EBA.WALC-ALL.D.H""",Western Area Power Administration - Desert Southwest Region,Arizona,Southwest,Arizona
PACE,"""EBA.PACE-ALL.D.H""",PacifiCorp East,Mountain,Northwest,Oregon
CPLE,"""EBA.CPLE-ALL.D.H""",Duke Energy Progress East,Eastern,Carolinas,North Carolina
SCL,"""EBA.SCL-ALL.D.H""",Seattle City Light,Pacific,Northwest,Washington
